     71,045,060  99% - ...
     71,045,060  99%  - #<primitive-function call-interactively>
     71,045,060  99%   - funcall-interactively
     71,045,060  99%    - smex
     71,045,060  99%     - smex-read-and-run
     71,045,060  99%      - execute-extended-command
     71,045,060  99%       - command-execute
     71,045,060  99%        - call-interactively
     71,045,060  99%         - apply
     71,045,060  99%          - call-interactively@ido-cr+-record-current-command
     71,045,060  99%           - #<primitive-function call-interactively>
     71,045,060  99%            - funcall-interactively
     71,045,060  99%             - pel-profile-all
     71,045,060  99%              - pel-profile-dir
     71,045,060  99%               - pel-profile-indent
     71,045,060  99%                - pel-profile-indentation-test-of
     69,475,528  97%                 - call-interactively
     69,475,528  97%                  - apply
     69,475,528  97%                   - call-interactively@ido-cr+-record-current-command
     69,475,528  97%                    - #<primitive-function call-interactively>
     69,475,528  97%                     - funcall-interactively
     69,475,512  97%                      - seed7-complete-statement-or-indent
     69,475,512  97%                       - seed7-indent-region
     69,475,512  97%                        - seed7--indent-one-line
     69,475,512  97%                         - seed7-calc-indent
     16,951,697  23%                          - seed7-line-inside-a-block-cached
     16,951,697  23%                           - seed7-line-inside-a-block
     11,098,465  15%                            - seed7--safe-enclosing-block-bounds
     11,098,465  15%                             - seed7--block-end-pos-for
     10,950,697  15%                              - seed7-to-block-forward
      6,464,303   9%                               - seed7-end-of-defun
      6,060,713   8%                                - seed7-top-block-name
      5,929,288   8%                                 - seed7--to-top
      5,758,920   8%                                  - seed7-re-search-backward
      5,409,168   7%                                   - run-with-timer
      5,409,168   7%                                    - run-at-time
      2,637,536   3%                                     - timer-activate
      2,637,536   3%                                      - timer--activate
      2,637,536   3%                                         timer--time-less-p
      1,698,736   2%                                       timer-relative-time
      1,072,896   1%                                     - timer-set-time
      1,072,896   1%                                        timer--time-setter
        304,184   0%                                   - seed7-inside-comment-p
        304,184   0%                                    - syntax-ppss
        304,184   0%                                     - syntax-propertize
        304,184   0%                                        seed7-mode-syntax-propertize
         45,568   0%                                     re-search-backward
        170,368   0%                                  - run-with-timer
        170,368   0%                                   - run-at-time
         83,072   0%                                    - timer-activate
         83,072   0%                                     - timer--activate
         83,072   0%                                        timer--time-less-p
         53,504   0%                                      timer-relative-time
         33,792   0%                                    - timer-set-time
         33,792   0%                                       timer--time-setter
        131,425   0%                                 - seed7--block-name
         81,361   0%                                    seed7-re-search-forward
          9,144   0%                                    match-string
        170,368   0%                                - seed7-re-search-backward
        170,368   0%                                 - run-with-timer
        170,368   0%                                  - run-at-time
         83,072   0%                                   - timer-activate
         83,072   0%                                    - timer--activate
         83,072   0%                                       timer--time-less-p
         53,504   0%                                     timer-relative-time
         33,792   0%                                   - timer-set-time
         33,792   0%                                      timer--time-setter
        127,966   0%                                  seed7-re-search-forward
         36,632   0%                                  match-string
      2,255,609   3%                                 seed7-re-search-forward
      1,163,368   1%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
      1,042,865   1%                               - seed7--current-line-nth-word
      1,042,865   1%                                - thing-at-point
        696,977   0%                                 - bounds-of-thing-at-point
        393,105   0%                                  - #<byte-code-function 8D0>
        393,105   0%                                   - forward-thing
        392,832   0%                                      format
            273   0%                                      intern-soft
        261,888   0%                                  - #<byte-code-function F2F>
        261,888   0%                                   - forward-thing
        261,888   0%                                      format
         41,984   0%                                    re-search-forward
         24,552   0%                                 seed7--end-regexp-for
         90,424   0%                              - seed7--line-ends-a-statement-p
         57,656   0%                                 looking-at
         32,768   0%                               - forward-sexp
         32,768   0%                                  seed7--forward-sexp-function
      3,946,320   5%                            - seed7-re-search-backward
      2,418,064   3%                             - run-with-timer
      2,418,064   3%                              - run-at-time
      1,179,056   1%                               - timer-activate
      1,179,056   1%                                - timer--activate
      1,179,056   1%                                   timer--time-less-p
        759,392   1%                                 timer-relative-time
        479,616   0%                               - timer-set-time
        479,616   0%                                  timer--time-setter
      1,528,256   2%                               re-search-backward
      1,302,624   1%                            - replace-regexp-in-string
         32,736   0%                               concat
        306,416   0%                              seed7--indent-offset-for
        163,912   0%                              match-string
         27,568   0%                            - seed7-calc-indent
          4,096   0%                             - seed7-line-is-defun-end
          3,072   0%                                looking-back
          1,024   0%                              - seed7-move-to-line
          1,024   0%                                 seed7-to-previous-non-empty-line
          2,960   0%                             - seed7-line-inside-a-block-cached
          2,960   0%                              - seed7-line-inside-a-block
          2,960   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,960   0%                             - seed7-line-at-endof-array-definition-block
          2,960   0%                              - seed7-line-code-ends-with
          2,960   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,528   0%                               seed7-line-after-short-func-end
          1,992   0%                             - seed7-line-inside-array-definition-block
          1,992   0%                              - seed7-re-search-backward
          1,024   0%                                 re-search-backward
            968   0%                               - run-with-timer
            968   0%                                - run-at-time
            472   0%                                 - timer-activate
            472   0%                                  - timer--activate
            472   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,992   0%                             - seed7-line-inside-set-definition-block
          1,992   0%                              - seed7-re-search-backward
          1,024   0%                                 re-search-backward
            968   0%                               - run-with-timer
            968   0%                                - run-at-time
            472   0%                                 - timer-activate
            472   0%                                  - timer--activate
            472   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,992   0%                             - seed7-line-inside-assign-statement-continuation
          1,992   0%                              - seed7-assign-op-pos
          1,992   0%                               - seed7-re-search-backward
          1,024   0%                                  re-search-backward
            968   0%                                - run-with-timer
            968   0%                                 - run-at-time
            472   0%                                  - timer-activate
            472   0%                                   - timer--activate
            472   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,992   0%                             - seed7-line-inside-parens-pair-column
          1,992   0%                              - seed7-line-inside-parens-pair
          1,992   0%                               - seed7-re-search-backward
          1,024   0%                                  re-search-backward
            968   0%                                - run-with-timer
            968   0%                                 - run-at-time
            472   0%                                  - timer-activate
            472   0%                                   - timer--activate
            472   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,936   0%                             - seed7-line-at-endof-set-definition-block
          1,936   0%                              - seed7-line-code-ends-with
          1,936   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
