        4120  91% - ...
        4120  91%  - pel-profile-all
        4120  91%   - pel-profile-dir
        4120  91%    - pel-profile-indent
        4120  91%     - pel-profile-indentation-test-of
        4120  91%      - call-interactively
        4120  91%       - apply
        4120  91%        - call-interactively@ido-cr+-record-current-command
        4120  91%         - #<primitive-function call-interactively>
        4120  91%          - funcall-interactively
        3794  84%           - pel-profile-all
        3794  84%            - pel-profile-dir
        3794  84%             - pel-profile-indent
        3794  84%              - pel-profile-indentation-test-of
        3794  84%               - call-interactively
        3794  84%                - apply
        3794  84%                 - call-interactively@ido-cr+-record-current-command
        3794  84%                  - #<primitive-function call-interactively>
        3794  84%                   - funcall-interactively
        3794  84%                    - seed7-complete-statement-or-indent
        3794  84%                     - seed7-indent-region
        3794  84%                      - seed7--indent-one-line
        3793  84%                       - seed7-calc-indent
        2986  66%                        - seed7--indent-search-boundary
        2985  66%                         - seed7--indent-search-boundary-uncached
        2965  65%                          - syntax-ppss
        2956  65%                             parse-partial-sexp
           2   0%                             make-closure
           1   0%                             #<byte-code-function 4C4>
           1   0%                             syntax-propertize
           1   0%                             syntax-ppss--update-stats
           1   0%                            seed7-to-indent
         418   9%                        - seed7-line-inside-parens-pair-column
         418   9%                         - seed7-line-inside-parens-pair
         400   8%                          - seed7-re-search-backward
         261   5%                           - seed7-inside-comment-p
         261   5%                            - syntax-ppss
         257   5%                               parse-partial-sexp
           1   0%                               #<byte-code-function 2F9>
           1   0%                               syntax-ppss-toplevel-pos
         114   2%                           - run-with-timer
         114   2%                            - run-at-time
          68   1%                             - timer-activate
          68   1%                              - timer--activate
          67   1%                               - timer--time-less-p
           1   0%                                  timer--time
          31   0%                             - timer-set-time
          31   0%                                timer--time-setter
          15   0%                               timer-relative-time
          20   0%                           - seed7-inside-string-p
          18   0%                            - syntax-ppss
          16   0%                               parse-partial-sexp
           1   0%                               make-closure
           3   0%                             re-search-backward
           1   0%                           - #<byte-code-function 1CC>
           1   0%                              cancel-timer
           5   0%                          - forward-sexp
           5   0%                             seed7--forward-sexp-function
           2   0%                          - seed7-line-inside-syntax-parens-pair
           2   0%                           - syntax-ppss
           2   0%                              parse-partial-sexp
         268   5%                        - seed7-line-inside-a-block-cached
         268   5%                         - seed7-line-inside-a-block
         191   4%                          - seed7--safe-enclosing-block-bounds
         191   4%                           - seed7--block-end-pos-for
         190   4%                            - seed7-to-block-forward
         146   3%                             - seed7-end-of-defun
         135   2%                              - seed7-top-block-name
         134   2%                               - seed7--to-top
         133   2%                                - seed7-re-search-backward
         101   2%                                 - seed7-inside-comment-p
         101   2%                                  - syntax-ppss
          98   2%                                     parse-partial-sexp
