     56,939,229  99% - ...
     56,939,229  99%  - #<primitive-function call-interactively>
     56,939,229  99%   - funcall-interactively
     56,939,229  99%    - smex
     56,939,229  99%     - smex-read-and-run
     56,939,229  99%      - execute-extended-command
     56,939,229  99%       - command-execute
     56,939,229  99%        - call-interactively
     56,939,229  99%         - apply
     56,939,229  99%          - call-interactively@ido-cr+-record-current-command
     56,939,229  99%           - #<primitive-function call-interactively>
     56,939,229  99%            - funcall-interactively
     56,939,229  99%             - pel-profile-all
     56,939,229  99%              - pel-profile-dir
     56,939,229  99%               - pel-profile-indent
     56,939,229  99%                - pel-profile-indentation-test-of
     55,369,697  97%                 - call-interactively
     55,369,697  97%                  - apply
     55,369,697  97%                   - call-interactively@ido-cr+-record-current-command
     55,369,697  97%                    - #<primitive-function call-interactively>
     55,369,697  97%                     - funcall-interactively
     55,369,681  97%                      - seed7-complete-statement-or-indent
     55,369,681  97%                       - seed7-indent-region
     55,369,681  97%                        - seed7--indent-one-line
     55,336,529  97%                         - seed7-calc-indent
     14,170,915  24%                          - seed7-line-inside-a-block-cached
     14,162,627  24%                           - seed7-line-inside-a-block
     10,163,872  17%                            - seed7--safe-enclosing-block-bounds
     10,151,440  17%                             - seed7--block-end-pos-for
      9,972,760  17%                              - seed7-to-block-forward
      6,751,278  11%                               - seed7-end-of-defun
      6,386,304  11%                                - seed7-top-block-name
      6,274,315  11%                                 - seed7--to-top
      6,119,163  10%                                  - seed7-re-search-backward
      5,331,800   9%                                   - run-with-timer
      5,331,800   9%                                    - run-at-time
      2,605,736   4%                                     - timer-activate
      2,605,736   4%                                      - timer--activate
      2,605,736   4%                                         timer--time-less-p
      1,576,832   2%                                       timer-relative-time
      1,033,200   1%                                     - timer-set-time
      1,033,200   1%                                        timer--time-setter
        116,032   0%                                       timer-create
        377,104   0%                                   - seed7-inside-string-p
         78,736   0%                                    - syntax-ppss
         58,016   0%                                       make-closure
         20,720   0%                                     - parse-partial-sexp
         20,720   0%                                      - internal--syntax-propertize
         20,720   0%                                       - syntax-propertize
          8,288   0%                                          seed7-mode-syntax-propertize
        293,939   0%                                   - seed7-inside-comment-p
        269,075   0%                                    - syntax-ppss
        169,619   0%                                     - syntax-propertize
        169,619   0%                                        seed7-mode-syntax-propertize
         99,456   0%                                       make-closure
         74,592   0%                                     make-closure
         41,728   0%                                     re-search-backward
        155,152   0%                                  - run-with-timer
        155,152   0%                                   - run-at-time
         73,632   0%                                    - timer-activate
         73,632   0%                                     - timer--activate
         73,632   0%                                        timer--time-less-p
         47,424   0%                                      timer-relative-time
         29,952   0%                                    - timer-set-time
