        2708  92% - ...
        2708  92%  - pel-profile-indent
        2708  92%   - pel-profile-indentation-test-of
        2708  92%    - call-interactively
        2708  92%     - apply
        2708  92%      - call-interactively@ido-cr+-record-current-command
        2708  92%       - #<primitive-function call-interactively>
        2708  92%        - funcall-interactively
        2295  78%         - pel-profile-all
        2295  78%          - pel-profile-dir
        2295  78%           - pel-profile-indent
        2295  78%            - pel-profile-indentation-test-of
        2295  78%             - call-interactively
        2295  78%              - apply
        2295  78%               - call-interactively@ido-cr+-record-current-command
        2295  78%                - #<primitive-function call-interactively>
        2295  78%                 - funcall-interactively
        2295  78%                  - seed7-complete-statement-or-indent
        2295  78%                   - seed7-indent-region
        2294  78%                    - seed7--indent-one-line
        2294  78%                     - seed7-calc-indent
        1574  53%                      - seed7--indent-search-boundary
        1574  53%                       - seed7--indent-search-boundary-uncached
        1557  53%                        - syntax-ppss
        1556  53%                           parse-partial-sexp
           1   0%                           #<byte-code-function CD7>
           3   0%                          seed7-to-indent
         321  10%                      - seed7-line-inside-a-block-cached
         321  10%                       - seed7-line-inside-a-block
         201   6%                        - seed7--safe-enclosing-block-bounds
         201   6%                         - seed7--block-end-pos-for
         201   6%                          - seed7-to-block-forward
         191   6%                           - seed7-end-of-defun
         189   6%                            - seed7-top-block-name
         189   6%                             - seed7--to-top
         188   6%                              - seed7-re-search-backward
          90   3%                               - seed7-inside-comment-p
          90   3%                                - syntax-ppss
          89   3%                                   parse-partial-sexp
           1   0%                                 - syntax-propertize
           1   0%                                    seed7-mode-syntax-propertize
          86   2%                               - run-with-timer
          86   2%                                - run-at-time
          55   1%                                 - timer-activate
          55   1%                                  - timer--activate
          55   1%                                     timer--time-less-p
          30   1%                                 - timer-set-time
          30   1%                                    timer--time-setter
           1   0%                                   timer-relative-time
          11   0%                                 re-search-backward
           1   0%                               - seed7-inside-string-p
           1   0%                                  syntax-ppss
           1   0%                              - run-with-timer
           1   0%                               - run-at-time
           1   0%                                - timer-activate
           1   0%                                 - timer--activate
           1   0%                                    timer--time-less-p
           2   0%                            - seed7-re-search-forward
           2   0%                             - seed7-inside-comment-p
           2   0%                              - syntax-ppss
           2   0%                                 parse-partial-sexp
           5   0%                           - seed7-re-search-forward
           4   0%                            - seed7-inside-string-p
           4   0%                             - syntax-ppss
           4   0%                                parse-partial-sexp
           1   0%                            - seed7-inside-comment-p
           1   0%                             - syntax-ppss
           1   0%                                parse-partial-sexp
           3   0%                           - seed7-inside-comment-p
           3   0%                            - syntax-ppss
           3   0%                               parse-partial-sexp
           2   0%                           - seed7--current-line-nth-word
           1   0%                              thing-at-point
          77   2%                        - seed7-calc-indent
          46   1%                         - seed7-line-inside-parens-pair-column
          46   1%                          - seed7-line-inside-parens-pair
          45   1%                           - seed7-re-search-backward
          25   0%                            - run-with-timer
          25   0%                             - run-at-time
          19   0%                              - timer-activate
          19   0%                               - timer--activate
          19   0%                                  timer--time-less-p
           6   0%                              - timer-set-time
           6   0%                                 timer--time-setter
          20   0%                            - seed7-inside-comment-p
          20   0%                             - syntax-ppss
          20   0%                                parse-partial-sexp
           1   0%                           - forward-sexp
           1   0%                              seed7--forward-sexp-function
          18   0%                         - seed7-line-is-defun-end
          14   0%                          - seed7-end-of-defun
          13   0%                           - seed7-top-block-name
          13   0%                            - seed7--to-top
          13   0%                             - seed7-re-search-backward
           7   0%                              - seed7-inside-comment-p
           7   0%                               - syntax-ppss
           7   0%                                  parse-partial-sexp
           6   0%                              - run-with-timer
           6   0%                               - run-at-time
           5   0%                                - timer-activate
           5   0%                                 - timer--activate
           5   0%                                    timer--time-less-p
           1   0%                                - timer-set-time
           1   0%                                   timer--time-setter
           1   0%                           - seed7-re-search-forward
           1   0%                            - seed7-inside-comment-p
           1   0%                             - syntax-ppss
           1   0%                                parse-partial-sexp
           4   0%                          - seed7-beg-of-defun
           3   0%                           - seed7-re-search-backward
           3   0%                            - run-with-timer
           3   0%                             - run-at-time
           2   0%                              - timer-activate
           2   0%                               - timer--activate
           2   0%                                  timer--time-less-p
           1   0%                              - timer-set-time
           1   0%                                 timer--time-setter
           1   0%                           - seed7-top-block-name
           1   0%                            - seed7--to-top
           1   0%                             - seed7-re-search-backward
           1   0%                                re-search-backward
          12   0%                         - seed7-line-inside-a-block-cached
          12   0%                          - seed7-line-inside-a-block
          12   0%                           - seed7--safe-enclosing-block-bounds
          12   0%                            - seed7--block-end-pos-for
          12   0%                             - seed7-to-block-forward
          11   0%                              - seed7-end-of-defun
          11   0%                               - seed7-top-block-name
          11   0%                                - seed7--to-top
          11   0%                                 - seed7-re-search-backward
           7   0%                                  - run-with-timer
           7   0%                                   - run-at-time
           4   0%                                    - timer-activate
           4   0%                                     - timer--activate
           4   0%                                        timer--time-less-p
           2   0%                                    - timer-set-time
           2   0%                                       timer--time-setter
           1   0%                                      timer-relative-time
           4   0%                                  - seed7-inside-comment-p
           4   0%                                   - syntax-ppss
           4   0%                                      parse-partial-sexp
           1   0%                                seed7-re-search-forward
           1   0%                         - seed7-line-after-func-return-logic-operator-column
           1   0%                          - seed7-move-to-line
           1   0%                           - seed7-to-previous-non-empty-line
           1   0%                            - seed7-inside-comment-p
           1   0%                             - syntax-ppss
           1   0%                                parse-partial-sexp
          43   1%                        - seed7-re-search-backward
          22   0%                         - run-with-timer
          22   0%                          - run-at-time
          13   0%                           - timer-activate
          13   0%                            - timer--activate
          13   0%                               timer--time-less-p
           8   0%                           - timer-set-time
           8   0%                              timer--time-setter
           1   0%                             timer-relative-time
          20   0%                         - seed7-inside-comment-p
          20   0%                          - syntax-ppss
          20   0%                             parse-partial-sexp
           1   0%                           re-search-backward
         117   3%                      - seed7-line-inside-parens-pair-column
         117   3%                       - seed7-line-inside-parens-pair
         113   3%                        - seed7-re-search-backward
          71   2%                         - run-with-timer
          71   2%                          - run-at-time
          54   1%                           - timer-activate
          54   1%                            - timer--activate
          54   1%                               timer--time-less-p
          14   0%                           - timer-set-time
          14   0%                              timer--time-setter
           3   0%                             timer-relative-time
          40   1%                         - seed7-inside-comment-p
          40   1%                          - syntax-ppss
          40   1%                             parse-partial-sexp
