      9,283,963  99% - ...
      9,283,963  99%  - #<primitive-function call-interactively>
      9,283,963  99%   - funcall-interactively
      9,283,963  99%    - smex
      9,283,963  99%     - smex-read-and-run
      9,283,963  99%      - execute-extended-command
      9,283,963  99%       - command-execute
      9,283,963  99%        - call-interactively
      9,283,963  99%         - apply
      9,283,963  99%          - call-interactively@ido-cr+-record-current-command
      9,283,963  99%           - #<primitive-function call-interactively>
      9,283,963  99%            - funcall-interactively
      9,283,963  99%             - pel-profile-all
      9,283,963  99%              - pel-profile-dir
      9,283,963  99%               - pel-profile-indent
      9,283,963  99%                - pel-profile-indentation-test-of
      7,722,879  83%                 - call-interactively
      7,722,879  83%                  - apply
      7,722,879  83%                   - call-interactively@ido-cr+-record-current-command
      7,722,879  83%                    - #<primitive-function call-interactively>
      7,722,879  83%                     - funcall-interactively
      7,722,863  83%                      - seed7-complete-statement-or-indent
      7,722,863  83%                       - seed7-indent-region
      7,722,863  83%                        - seed7--indent-one-line
      7,722,863  83%                         - seed7-calc-indent
      2,167,483  23%                          - seed7-line-inside-a-block-cached
      2,167,483  23%                           - seed7-line-inside-a-block
        801,265   8%                            - seed7-calc-indent
        774,401   8%                             - seed7-line-at-endof-array-definition-block
        774,401   8%                              - seed7-line-code-ends-with
        774,401   8%                               - seed7-re-search-backward
        773,377   8%                                - run-with-timer
        773,377   8%                                 - run-at-time
        772,385   8%                                  - timer-activate
        772,385   8%                                   - timer--activate
        772,385   8%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          4,096   0%                             - seed7-line-is-defun-end
          3,072   0%                                looking-back
          1,024   0%                              - seed7-move-to-line
          1,024   0%                                 seed7-to-previous-non-empty-line
          2,960   0%                             - seed7-line-inside-a-block-cached
          2,960   0%                              - seed7-line-inside-a-block
          2,960   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,656   0%                               seed7-line-after-short-func-end
          2,184   0%                             - seed7-line-inside-array-definition-block
          2,184   0%                              - seed7-re-search-backward
          1,216   0%                                 re-search-backward
            968   0%                               - run-with-timer
            968   0%                                - run-at-time
            472   0%                                 - timer-activate
            472   0%                                  - timer--activate
            472   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,992   0%                             - seed7-line-inside-set-definition-block
          1,992   0%                              - seed7-re-search-backward
          1,024   0%                                 re-search-backward
            968   0%                               - run-with-timer
            968   0%                                - run-at-time
            472   0%                                 - timer-activate
            472   0%                                  - timer--activate
            472   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,992   0%                             - seed7-line-inside-assign-statement-continuation
          1,992   0%                              - seed7-assign-op-pos
          1,992   0%                               - seed7-re-search-backward
          1,024   0%                                  re-search-backward
            968   0%                                - run-with-timer
            968   0%                                 - run-at-time
            472   0%                                  - timer-activate
            472   0%                                   - timer--activate
            472   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,992   0%                             - seed7-line-inside-parens-pair-column
          1,992   0%                              - seed7-line-inside-parens-pair
          1,992   0%                               - seed7-re-search-backward
          1,024   0%                                  re-search-backward
            968   0%                                - run-with-timer
            968   0%                                 - run-at-time
            472   0%                                  - timer-activate
            472   0%                                   - timer--activate
            472   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,936   0%                             - seed7-line-at-endof-set-definition-block
          1,936   0%                              - seed7-line-code-ends-with
          1,936   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,936   0%                             - seed7-line-at-endof-parenthesized-statement
          1,936   0%                              - seed7-line-code-ends-with
          1,936   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                             - seed7-line-isa-string
          1,024   0%                                seed7-line-starts-with
          1,024   0%                               seed7-line-starts-with
          1,024   0%                               seed7-line-after-func-return-logic-operator-column
          1,024   0%                             - seed7-line-starts-with-open-paren-after-logic-operator
          1,024   0%                                seed7-line-starts-with
          1,024   0%                               seed7-line-indent-step
        615,876   6%                            - seed7--safe-enclosing-block-bounds
