          91  77% - ...
          91  77%  - apply
          91  77%   - call-interactively@ido-cr+-record-current-command
          91  77%    - #<primitive-function call-interactively>
          91  77%     - funcall-interactively
          90  76%      - pel-profile-all
          90  76%       - pel-profile-dir
          90  76%        - pel-profile-indent
          90  76%         - pel-profile-indentation-test-of
          90  76%          - call-interactively
          90  76%           - apply
          90  76%            - call-interactively@ido-cr+-record-current-command
          90  76%             - #<primitive-function call-interactively>
          90  76%              - funcall-interactively
          90  76%               - seed7-complete-statement-or-indent
          90  76%                - seed7-indent-region
          90  76%                 - seed7--indent-one-line
          90  76%                  - seed7-calc-indent
          29  24%                   - seed7-comment-column
          27  23%                    - seed7-calc-indent
           6   5%                     - seed7-line-is-defun-end
           6   5%                      - seed7-move-to-line
           6   5%                       - seed7-to-previous-non-empty-line
           6   5%                        - seed7-inside-comment-p
           6   5%                         - syntax-ppss
           6   5%                            parse-partial-sexp
           5   4%                     - seed7-line-at-endof-set-definition-block
           5   4%                      - seed7-move-to-line
           5   4%                       - seed7-to-previous-non-empty-line
           5   4%                        - seed7-inside-comment-p
           4   3%                         - syntax-ppss
           4   3%                            parse-partial-sexp
           4   3%                     - seed7-line-starts-with-open-paren-after-logic-operator
           4   3%                      - seed7-move-to-line
           4   3%                       - seed7-to-previous-non-empty-line
           4   3%                        - seed7-inside-comment-p
           4   3%                         - syntax-ppss
           4   3%                            parse-partial-sexp
           3   2%                     - seed7-line-inside-parens-pair-column
           3   2%                      - seed7-line-inside-parens-pair
           3   2%                       - seed7-re-search-backward
           3   2%                        - seed7-inside-comment-p
           3   2%                         - syntax-ppss
           3   2%                            parse-partial-sexp
           2   1%                     - seed7-line-after-short-func-end
           2   1%                      - seed7-move-to-line
           2   1%                       - seed7-to-previous-non-empty-line
           2   1%                        - seed7-inside-comment-p
           2   1%                         - syntax-ppss
           2   1%                            parse-partial-sexp
           2   1%                     - seed7-line-at-endof-parenthesized-statement
           2   1%                      - seed7-move-to-line
           2   1%                       - seed7-to-previous-non-empty-line
           2   1%                        - seed7-inside-comment-p
           2   1%                         - syntax-ppss
           2   1%                            parse-partial-sexp
           2   1%                     - seed7-line-after-func-return-logic-operator-column
           2   1%                      - seed7-move-to-line
           2   1%                       - seed7-to-previous-non-empty-line
           2   1%                        - seed7-inside-comment-p
           2   1%                         - syntax-ppss
           2   1%                            parse-partial-sexp
           1   0%                       seed7-line-inside-array-definition-block
           1   0%                     - seed7-line-at-endof-array-definition-block
           1   0%                      - seed7-move-to-line
           1   0%                       - seed7-to-previous-non-empty-line
           1   0%                        - seed7-inside-comment-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           1   0%                     - seed7-current-line-start-inside-comment-p
           1   0%                      - seed7-inside-comment-p
           1   0%                       - syntax-ppss
           1   0%                          parse-partial-sexp
           2   1%                    - seed7-line-code-ends-with
           2   1%                     - seed7-move-to-line
           2   1%                      - seed7-to-previous-non-empty-line
           1   0%                       - seed7-inside-comment-p
           1   0%                        - syntax-ppss
           1   0%                           parse-partial-sexp
          25  21%                   - seed7--indent-search-boundary
          25  21%                    - seed7--indent-search-boundary-uncached
          22  18%                     - syntax-ppss
          22  18%                        parse-partial-sexp
          16  13%                   - seed7-line-inside-a-block-cached
          16  13%                    - seed7-line-inside-a-block
           8   6%                     - seed7--safe-enclosing-block-bounds
           8   6%                      - seed7--block-end-pos-for
           8   6%                       - seed7-to-block-forward
           3   2%                        - seed7-end-of-defun
           3   2%                         - seed7-top-block-name
           3   2%                          - seed7--to-top
           3   2%                           - seed7-re-search-backward
           1   0%                            - seed7-inside-comment-p
           1   0%                             - syntax-ppss
           1   0%                                parse-partial-sexp
           1   0%                              re-search-backward
           2   1%                        - seed7--current-line-nth-word
           2   1%                         - thing-at-point
           2   1%                          - bounds-of-thing-at-point
           1   0%                             make-closure
