     33,524,378  99% - ...
     33,524,378  99%  - #<primitive-function call-interactively>
     33,524,378  99%   - funcall-interactively
     33,524,378  99%    - smex
     33,524,378  99%     - smex-read-and-run
     33,524,378  99%      - execute-extended-command
     33,524,378  99%       - command-execute
     33,524,378  99%        - call-interactively
     33,524,378  99%         - apply
     33,524,378  99%          - call-interactively@ido-cr+-record-current-command
     33,524,378  99%           - #<primitive-function call-interactively>
     33,524,378  99%            - funcall-interactively
     33,524,378  99%             - pel-profile-all
     33,524,378  99%              - pel-profile-dir
     33,524,378  99%               - pel-profile-indent
     33,524,378  99%                - pel-profile-indentation-test-of
     31,938,270  95%                 - call-interactively
     31,938,270  95%                  - apply
     31,938,270  95%                   - call-interactively@ido-cr+-record-current-command
     31,938,270  95%                    - #<primitive-function call-interactively>
     31,938,270  95%                     - funcall-interactively
     31,938,254  95%                      - seed7-complete-statement-or-indent
     31,938,254  95%                       - seed7-indent-region
     31,938,254  95%                        - seed7--indent-one-line
     31,905,102  95%                         - seed7-calc-indent
      9,207,511  27%                          - seed7-line-is-defun-end
      4,292,023  12%                           - seed7-end-of-defun
      3,406,287  10%                            - seed7-top-block-name
      3,340,087   9%                             - seed7--to-top
      3,195,191   9%                              - seed7-re-search-backward
      2,500,736   7%                               - run-with-timer
      2,500,736   7%                                - run-at-time
      1,248,656   3%                                 - timer-activate
      1,248,656   3%                                  - timer--activate
      1,248,656   3%                                     timer--time-less-p
        675,984   2%                                   timer-relative-time
        451,776   1%                                 - timer-set-time
        451,776   1%                                    timer--time-setter
        124,320   0%                                   timer-create
        443,408   1%                               - seed7-inside-string-p
         82,880   0%                                - syntax-ppss
         82,880   0%                                   make-closure
        176,455   0%                               - seed7-inside-comment-p
        101,863   0%                                - syntax-ppss
         82,880   0%                                   make-closure
         18,983   0%                                 - syntax-propertize
         14,839   0%                                    seed7-mode-syntax-propertize
         74,592   0%                                 make-closure
        136,608   0%                              - run-with-timer
        136,608   0%                               - run-at-time
         66,816   0%                                - timer-activate
