         167  78% - ...
         167  78%  - pel-profile-all
         167  78%   - pel-profile-dir
         167  78%    - pel-profile-indent
         167  78%     - pel-profile-indentation-test-of
         167  78%      - call-interactively
         167  78%       - apply
         167  78%        - call-interactively@ido-cr+-record-current-command
         167  78%         - #<primitive-function call-interactively>
         167  78%          - funcall-interactively
          94  44%           - seed7-complete-statement-or-indent
          94  44%            - seed7-indent-region
          94  44%             - seed7--indent-one-line
          94  44%              - seed7-calc-indent
          27  12%               - seed7-comment-column
          25  11%                - seed7-calc-indent
           5   2%                 - seed7-line-after-func-return-logic-operator-column
           5   2%                  - seed7-move-to-line
           5   2%                   - seed7-to-previous-non-empty-line
           5   2%                    - seed7-inside-comment-p
           5   2%                     - syntax-ppss
           4   1%                        parse-partial-sexp
           1   0%                        make-closure
           3   1%                 - seed7-line-inside-parens-pair-column
           3   1%                  - seed7-line-inside-parens-pair
           3   1%                   - seed7-re-search-backward
           3   1%                    - seed7-inside-comment-p
           3   1%                     - syntax-ppss
           3   1%                        parse-partial-sexp
           3   1%                 - seed7-line-after-short-func-end
           3   1%                  - seed7-move-to-line
           3   1%                   - seed7-to-previous-non-empty-line
           2   0%                    - seed7-inside-comment-p
           2   0%                     - syntax-ppss
           2   0%                        parse-partial-sexp
           3   1%                 - seed7-line-at-endof-set-definition-block
           3   1%                  - seed7-move-to-line
           3   1%                   - seed7-to-previous-non-empty-line
           3   1%                    - seed7-inside-comment-p
           3   1%                     - syntax-ppss
           3   1%                        parse-partial-sexp
           3   1%                 - seed7-line-starts-with-open-paren-after-logic-operator
           3   1%                  - seed7-move-to-line
           3   1%                   - seed7-to-previous-non-empty-line
           2   0%                    - seed7-inside-comment-p
           2   0%                     - syntax-ppss
           2   0%                        parse-partial-sexp
           2   0%                 - seed7-line-is-defun-end
           2   0%                  - seed7-move-to-line
           2   0%                   - seed7-to-previous-non-empty-line
           2   0%                    - seed7-inside-comment-p
           2   0%                     - syntax-ppss
           1   0%                        parse-partial-sexp
           2   0%                 - seed7-line-at-endof-array-definition-block
           2   0%                  - seed7-move-to-line
           2   0%                   - seed7-to-previous-non-empty-line
           2   0%                    - seed7-inside-comment-p
           2   0%                     - syntax-ppss
           2   0%                        parse-partial-sexp
           2   0%                 - seed7-line-at-endof-parenthesized-statement
           2   0%                  - seed7-move-to-line
           2   0%                   - seed7-to-previous-non-empty-line
           2   0%                    - seed7-inside-comment-p
           2   0%                     - syntax-ppss
           1   0%                        parse-partial-sexp
           1   0%                        syntax-propertize
           1   0%                 - seed7-line-inside-a-block-cached
           1   0%                  - seed7-line-inside-a-block
           1   0%                   - seed7-re-search-backward
           1   0%                      re-search-backward
           1   0%                 - seed7--indent-search-boundary
           1   0%                  - seed7--indent-search-boundary-uncached
           1   0%                   - syntax-ppss
           1   0%                      parse-partial-sexp
           2   0%                - seed7-line-code-ends-with
           2   0%                 - seed7-move-to-line
           2   0%                  - seed7-to-previous-non-empty-line
           2   0%                   - seed7-inside-comment-p
           2   0%                    - syntax-ppss
           2   0%                       parse-partial-sexp
          25  11%               - seed7--indent-search-boundary
          25  11%                - seed7--indent-search-boundary-uncached
          25  11%                 - syntax-ppss
          25  11%                    parse-partial-sexp
          14   6%               - seed7-line-at-endof-parenthesized-statement
           6   2%                - backward-sexp
           6   2%                 - forward-sexp
           6   2%                  - seed7--forward-sexp-function
           4   1%                   - seed7--at-set-definition-end-line-p
           4   1%                    - seed7-line-code-ends-with
           4   1%                     - seed7-re-search-backward
           4   1%                      - seed7-inside-comment-p
           4   1%                       - syntax-ppss
           3   1%                          parse-partial-sexp
           1   0%                          make-closure
           2   0%                   - seed7--at-array-definition-end-line-p
           2   0%                    - seed7-line-code-ends-with
           2   0%                     - seed7-re-search-backward
           2   0%                      - seed7-inside-comment-p
           1   0%                       - syntax-ppss
           1   0%                          parse-partial-sexp
           4   1%                - seed7-move-to-line
           4   1%                 - seed7-to-previous-non-empty-line
           4   1%                  - seed7-inside-comment-p
           4   1%                   - syntax-ppss
           4   1%                      parse-partial-sexp
           3   1%                - seed7-line-code-ends-with
           3   1%                 - seed7-re-search-backward
           1   0%                  - seed7-inside-comment-p
           1   0%                   - syntax-ppss
           1   0%                      parse-partial-sexp
           1   0%                  - seed7-inside-string-p
           1   0%                   - syntax-ppss
           1   0%                      syntax-table
           1   0%                  - run-with-timer
           1   0%                   - run-at-time
           1   0%                    - timer-activate
           1   0%                     - timer--activate
           1   0%                        timer--time-less-p
           1   0%                - seed7-re-search-backward
           1   0%                 - seed7-inside-comment-p
           1   0%                  - syntax-ppss
           1   0%                     parse-partial-sexp
           9   4%               - seed7-line-at-endof-array-definition-block
           6   2%                - backward-sexp
           6   2%                 - forward-sexp
           6   2%                  - seed7--forward-sexp-function
           3   1%                   - seed7--at-array-definition-end-line-p
           3   1%                    - seed7-line-code-ends-with
           3   1%                     - seed7-re-search-backward
           3   1%                      - seed7-inside-comment-p
           3   1%                       - syntax-ppss
           3   1%                          parse-partial-sexp
           3   1%                   - seed7--at-set-definition-end-line-p
           3   1%                    - seed7-line-code-ends-with
           3   1%                     - seed7-re-search-backward
           2   0%                      - seed7-inside-comment-p
           2   0%                       - syntax-ppss
           2   0%                          parse-partial-sexp
           1   0%                      - run-with-timer
           1   0%                       - run-at-time
           1   0%                        - timer-activate
           1   0%                         - timer--activate
           1   0%                            timer--time-less-p
           3   1%                - seed7-line-code-ends-with
           3   1%                 - seed7-re-search-backward
           3   1%                  - seed7-inside-comment-p
           3   1%                   - syntax-ppss
           3   1%                      parse-partial-sexp
           7   3%               - seed7-line-is-defun-end
           5   2%                - seed7-beg-of-defun
           3   1%                 - seed7-re-search-backward-closest
           3   1%                  - seed7-re-search-backward
           3   1%                   - run-with-timer
           3   1%                    - run-at-time
           2   0%                     - timer-activate
           2   0%                      - timer--activate
           2   0%                         timer--time-less-p
           1   0%                     - timer-set-time
           1   0%                        timer--time-setter
           2   0%                 - seed7-re-search-backward
           2   0%                    re-search-backward
           1   0%                - seed7-move-to-line
           1   0%                 - seed7-to-previous-non-empty-line
           1   0%                    seed7-inside-comment-p
           1   0%                - seed7-line-starts-with-any
           1   0%                   seed7-line-starts-with
           6   2%               - seed7-line-inside-a-block-cached
           6   2%                - seed7-line-inside-a-block
           3   1%                 - seed7-re-search-backward
           3   1%                  - seed7-inside-comment-p
           3   1%                   - syntax-ppss
           3   1%                      parse-partial-sexp
           2   0%                 - seed7--safe-enclosing-block-bounds
           2   0%                  - seed7--block-end-pos-for
           2   0%                   - seed7-to-block-forward
           2   0%                    - seed7-re-search-forward
           1   0%                     - seed7-inside-string-p
           1   0%                      - syntax-ppss
           1   0%                         parse-partial-sexp
           1   0%                     - seed7-inside-comment-p
           1   0%                      - syntax-ppss
           1   0%                         parse-partial-sexp
           1   0%                 - seed7-calc-indent
           1   0%                  - seed7-line-inside-parens-pair-column
           1   0%                   - seed7-line-inside-parens-pair
           1   0%                    - seed7-re-search-backward
           1   0%                     - run-with-timer
           1   0%                      - run-at-time
           1   0%                       - timer-activate
           1   0%                        - timer--activate
           1   0%                           timer--time-less-p
           4   1%               - seed7-line-at-endof-set-definition-block
           4   1%                - seed7-line-code-ends-with
           4   1%                 - seed7-re-search-backward
           2   0%                  - seed7-inside-comment-p
           2   0%                   - syntax-ppss
           2   0%                      parse-partial-sexp
           1   0%                  - run-with-timer
           1   0%                   - run-at-time
           1   0%                    - timer-activate
           1   0%                     - timer--activate
           1   0%                        timer--time-less-p
           1   0%                  - seed7-inside-string-p
           1   0%                   - syntax-ppss
           1   0%                      parse-partial-sexp
           1   0%               - seed7-line-after-short-func-end
           1   0%                - seed7-move-to-line
           1   0%                 - seed7-to-previous-non-empty-line
           1   0%                  - seed7-inside-comment-p
           1   0%                   - syntax-ppss
           1   0%                      parse-partial-sexp
           1   0%               - seed7-line-inside-assign-statement-continuation
           1   0%                - seed7-assign-op-pos
           1   0%                 - seed7-re-search-backward
           1   0%                    re-search-backward
          73  34%           - pel-profile-all
          73  34%            - pel-profile-dir
          73  34%             - pel-profile-indent
          73  34%              - pel-profile-indentation-test-of
          73  34%               - call-interactively
          73  34%                - apply
          73  34%                 - call-interactively@ido-cr+-record-current-command
          73  34%                  - #<primitive-function call-interactively>
          73  34%                   - funcall-interactively
          73  34%                    - seed7-complete-statement-or-indent
          73  34%                     - seed7-indent-region
          73  34%                      - seed7--indent-one-line
          73  34%                       - seed7-calc-indent
          69  32%                        - seed7-line-inside-parens-pair-column
          69  32%                         - seed7-line-inside-parens-pair
          63  29%                          - seed7-re-search-backward
          29  13%                           - seed7-inside-comment-p
          28  13%                            - syntax-ppss
          25  11%                               parse-partial-sexp
           2   0%                               make-closure
           1   0%                               #<byte-code-function 939>
          29  13%                           - run-with-timer
          29  13%                            - run-at-time
          13   6%                             - timer-activate
          13   6%                              - timer--activate
          13   6%                                 timer--time-less-p
           9   4%                             - timer-set-time
           9   4%                                timer--time-setter
           6   2%                               timer-relative-time
           1   0%                               timer-create
           5   2%                           - seed7-inside-string-p
           3   1%                            - syntax-ppss
           2   0%                               parse-partial-sexp
           1   0%                               syntax-ppss--data
           1   0%                            - #<byte-code-function 9DF>
           1   0%                               set-match-data
           1   0%                          - seed7-line-inside-syntax-parens-pair
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           1   0%                          - forward-sexp
           1   0%                             seed7--forward-sexp-function
           2   0%                        - seed7-line-inside-array-definition-block
           2   0%                         - seed7-re-search-backward
           1   0%                          - run-with-timer
           1   0%                           - run-at-time
           1   0%                            - timer-activate
           1   0%                             - timer--activate
           1   0%                                timer--time-less-p
           1   0%                            re-search-backward
           1   0%                          seed7-line-starts-with-open-paren-after-logic-operator
           1   0%                          seed7--indent-search-boundary
          45  21%   Automatic GC
