     27,733,791  99% - ...
     27,733,791  99%  - #<primitive-function call-interactively>
     27,733,791  99%   - funcall-interactively
     27,733,791  99%    - smex
     27,733,791  99%     - smex-read-and-run
     27,733,791  99%      - execute-extended-command
     27,733,791  99%       - command-execute
     27,733,791  99%        - call-interactively
     27,733,791  99%         - apply
     27,733,791  99%          - call-interactively@ido-cr+-record-current-command
     27,733,791  99%           - #<primitive-function call-interactively>
     27,733,791  99%            - funcall-interactively
     27,733,791  99%             - pel-profile-all
     27,733,791  99%              - pel-profile-dir
     27,733,791  99%               - pel-profile-indent
     27,733,791  99%                - pel-profile-indentation-test-of
     26,164,259  94%                 - call-interactively
     26,164,259  94%                  - apply
     26,164,259  94%                   - call-interactively@ido-cr+-record-current-command
     26,164,259  94%                    - #<primitive-function call-interactively>
     26,164,259  94%                     - funcall-interactively
     26,164,243  94%                      - seed7-complete-statement-or-indent
     26,164,243  94%                       - seed7-indent-region
     26,164,243  94%                        - seed7--indent-one-line
     26,164,243  94%                         - seed7-calc-indent
     10,311,888  37%                          - seed7-line-inside-a-block-cached
     10,311,888  37%                           - seed7-line-inside-a-block
      6,257,134  22%                            - seed7--safe-enclosing-block-bounds
      6,257,134  22%                             - seed7--block-end-pos-for
      5,999,022  21%                              - seed7-to-block-forward
      5,457,548  19%                               - seed7-end-of-defun
      5,015,715  18%                                - seed7-top-block-name
      4,979,312  17%                                 - seed7--to-top
      4,774,096  17%                                  - seed7-re-search-backward
      4,731,584  17%                                   - run-with-timer
      4,731,584  17%                                    - run-at-time
      2,307,136   8%                                     - timer-activate
      2,307,136   8%                                      - timer--activate
      2,307,136   8%                                         timer--time-less-p
      1,485,952   5%                                       timer-relative-time
        938,496   3%                                     - timer-set-time
        938,496   3%                                        timer--time-setter
         22,008   0%                                     re-search-backward
         20,504   0%                                   - seed7-inside-comment-p
         20,504   0%                                    - syntax-ppss
         20,504   0%                                     - syntax-propertize
         20,504   0%                                        seed7-mode-syntax-propertize
        205,216   0%                                  - run-with-timer
        205,216   0%                                   - run-at-time
        100,064   0%                                    - timer-activate
        100,064   0%                                     - timer--activate
        100,064   0%                                        timer--time-less-p
         64,448   0%                                      timer-relative-time
         40,704   0%                                    - timer-set-time
         40,704   0%                                       timer--time-setter
         36,403   0%                                 - seed7--block-name
         36,403   0%                                    seed7-re-search-forward
        205,216   0%                                - seed7-re-search-backward
        205,216   0%                                 - run-with-timer
        205,216   0%                                  - run-at-time
        100,064   0%                                   - timer-activate
        100,064   0%                                    - timer--activate
        100,064   0%                                       timer--time-less-p
