         516  86% - ...
         516  86%  - pel-profile-dir
         516  86%   - pel-profile-indent
         516  86%    - pel-profile-indentation-test-of
         516  86%     - call-interactively
         516  86%      - apply
         516  86%       - call-interactively@ido-cr+-record-current-command
         516  86%        - #<primitive-function call-interactively>
         516  86%         - funcall-interactively
         443  74%          - pel-profile-all
         443  74%           - pel-profile-dir
         443  74%            - pel-profile-indent
         443  74%             - pel-profile-indentation-test-of
         443  74%              - call-interactively
         443  74%               - apply
         443  74%                - call-interactively@ido-cr+-record-current-command
         443  74%                 - #<primitive-function call-interactively>
         443  74%                  - funcall-interactively
         443  74%                   - seed7-complete-statement-or-indent
         443  74%                    - seed7-indent-region
         443  74%                     - seed7--indent-one-line
         443  74%                      - seed7-calc-indent
         228  38%                       - seed7--indent-search-boundary
         228  38%                        - seed7--indent-search-boundary-uncached
         225  37%                         - syntax-ppss
         223  37%                            parse-partial-sexp
           1   0%                            #<byte-code-function C4A>
         137  22%                       - seed7-line-is-defun-end
         114  19%                        - seed7-end-of-defun
         102  17%                         - seed7-top-block-name
         101  16%                          - seed7--to-top
         101  16%                           - seed7-re-search-backward
          78  13%                            - seed7-inside-comment-p
          78  13%                             - syntax-ppss
          78  13%                                parse-partial-sexp
          19   3%                            - run-with-timer
          19   3%                             - run-at-time
          13   2%                              - timer-activate
          13   2%                               - timer--activate
          12   2%                                  timer--time-less-p
           5   0%                              - timer-set-time
           5   0%                                 timer--time-setter
           1   0%                                timer-relative-time
           4   0%                              re-search-backward
           1   0%                          - seed7--block-name
           1   0%                           - seed7-re-search-forward
           1   0%                            - seed7-inside-string-p
           1   0%                               syntax-ppss
          11   1%                         - seed7-re-search-forward
           8   1%                          - seed7-inside-comment-p
           8   1%                           - syntax-ppss
           6   1%                              parse-partial-sexp
           1   0%                            - syntax-propertize
           1   0%                               seed7-mode-syntax-propertize
           1   0%                              syntax-ppss--update-stats
           2   0%                          - seed7-inside-string-p
           2   0%                           - syntax-ppss
           2   0%                              parse-partial-sexp
           1   0%                         - seed7-re-search-backward
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
          19   3%                        - seed7-beg-of-defun
          14   2%                         - seed7-re-search-backward
           6   1%                          - seed7-inside-comment-p
