  1,864,906,036  99% - ...
  1,864,906,036  99%  - #<primitive-function call-interactively>
  1,864,906,036  99%   - funcall-interactively
  1,864,906,036  99%    - smex
  1,864,906,036  99%     - smex-read-and-run
  1,864,906,036  99%      - execute-extended-command
  1,864,906,036  99%       - command-execute
  1,864,906,036  99%        - call-interactively
  1,864,906,036  99%         - apply
  1,864,906,036  99%          - call-interactively@ido-cr+-record-current-command
  1,864,906,036  99%           - #<primitive-function call-interactively>
  1,864,906,036  99%            - funcall-interactively
  1,864,906,036  99%             - pel-profile-all
  1,864,906,036  99%              - pel-profile-dir
  1,864,906,036  99%               - pel-profile-indent
  1,864,906,036  99%                - pel-profile-indentation-test-of
  1,863,325,240  99%                 - call-interactively
  1,863,325,240  99%                  - apply
  1,863,325,240  99%                   - call-interactively@ido-cr+-record-current-command
  1,863,325,240  99%                    - #<primitive-function call-interactively>
  1,863,325,240  99%                     - funcall-interactively
  1,863,325,224  99%                      - seed7-complete-statement-or-indent
  1,863,325,224  99%                       - seed7-indent-region
  1,863,325,224  99%                        - seed7--indent-one-line
  1,863,292,432  99%                         - seed7-calc-indent
  1,599,282,687  85%                          - seed7-line-inside-parens-pair-column
  1,599,282,687  85%                           - seed7-line-inside-parens-pair
  1,586,445,359  84%                            - seed7-re-search-backward
  1,579,588,078  84%                             - run-with-timer
  1,579,588,078  84%                              - run-at-time
    770,347,886  41%                               - timer-activate
    770,347,886  41%                                - timer--activate
    770,315,094  41%                                 - timer--time-less-p
        296,078   0%                                    timer--time
    496,011,231  26%                                 timer-relative-time
    313,228,312  16%                               - timer-set-time
    313,228,032  16%                                  timer--time-setter
            649   0%                                 timer-set-function
      6,326,385   0%                               re-search-backward
        364,373   0%                             - seed7-inside-string-p
        331,581   0%                              - syntax-ppss
        327,920   0%                                 parse-partial-sexp
            361   0%                                 #<byte-code-function 87A>
        165,392   0%                             - seed7-inside-comment-p
        165,392   0%                              - syntax-ppss
        163,960   0%                                 parse-partial-sexp
            772   0%                                 syntax-table
            660   0%                                 #<byte-code-function 25C>
          1,131   0%                               make-closure
     12,800,440   0%                            - forward-sexp
     12,798,552   0%                               seed7--forward-sexp-function
         36,888   0%                            - seed7-line-inside-syntax-parens-pair
         32,792   0%                             - syntax-ppss
         32,792   0%                                parse-partial-sexp
          4,096   0%                             - forward-sexp
          4,096   0%                                seed7--forward-sexp-function
     74,014,326   3%                          - seed7-line-inside-a-block-cached
     74,014,326   3%                           - seed7-line-inside-a-block
     51,392,570   2%                            - seed7--safe-enclosing-block-bounds
     51,392,570   2%                             - seed7--block-end-pos-for
     50,950,154   2%                              - seed7-to-block-forward
     28,175,820   1%                               - seed7-re-search-forward
     20,823,665   1%                                - seed7-inside-comment-p
     20,823,665   1%                                 - syntax-ppss
     20,823,665   1%                                  - syntax-propertize
     20,823,665   1%                                     seed7-mode-syntax-propertize
         32,792   0%                                  seed7-inside-string-p
     13,680,044   0%                               - seed7-end-of-defun
     12,812,559   0%                                - seed7-top-block-name
     12,575,069   0%                                 - seed7--to-top
     12,304,029   0%                                  - seed7-re-search-backward
      8,264,544   0%                                   - run-with-timer
      8,264,544   0%                                    - run-at-time
      4,030,632   0%                                     - timer-activate
      4,030,632   0%                                      - timer--activate
      4,030,632   0%                                       - timer--time-less-p
         32,792   0%                                          timer--time
      2,574,880   0%                                       timer-relative-time
      1,659,032   0%                                     - timer-set-time
      1,659,032   0%                                        timer--time-setter
      3,831,288   0%                                   - seed7-inside-comment-p
      3,831,288   0%                                    - syntax-ppss
      3,732,912   0%                                     - syntax-propertize
      3,732,912   0%                                        seed7-mode-syntax-propertize
         98,376   0%                                       parse-partial-sexp
        131,168   0%                                   - seed7-inside-string-p
         98,376   0%                                    - syntax-ppss
         98,376   0%                                       parse-partial-sexp
         77,029   0%                                     re-search-backward
        271,040   0%                                  - run-with-timer
        271,040   0%                                   - run-at-time
        132,160   0%                                    - timer-activate
        132,160   0%                                     - timer--activate
        132,160   0%                                        timer--time-less-p
         85,120   0%                                      timer-relative-time
         53,760   0%                                    - timer-set-time
         53,760   0%                                       timer--time-setter
        237,490   0%                                 - seed7--block-name
        210,962   0%                                    seed7-re-search-forward
         10,160   0%                                    match-string
        408,959   0%                                - seed7-re-search-forward
         51,526   0%                                 - seed7-inside-comment-p
         51,526   0%                                  - syntax-ppss
         51,526   0%                                   - syntax-propertize
         51,526   0%                                      seed7-mode-syntax-propertize
        271,040   0%                                - seed7-re-search-backward
        271,040   0%                                 - run-with-timer
        271,040   0%                                  - run-at-time
        132,160   0%                                   - timer-activate
        132,160   0%                                    - timer--activate
        132,160   0%                                       timer--time-less-p
         85,120   0%                                     timer-relative-time
         53,760   0%                                   - timer-set-time
         53,760   0%                                      timer--time-setter
         46,848   0%                                  match-string
      6,685,416   0%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
      2,261,562   0%                               - seed7--current-line-nth-word
      2,261,562   0%                                - thing-at-point
      1,338,834   0%                                 - bounds-of-thing-at-point
        965,712   0%                                  - #<byte-code-function 741>
        965,712   0%                                   - forward-thing
        965,712   0%                                      format
        298,346   0%                                  - #<byte-code-function 839>
        298,346   0%                                   - forward-thing
        294,624   0%                                      format
          3,722   0%                                      intern-soft
         41,984   0%                                    re-search-forward
        147,312   0%                                 seed7--end-regexp-for
        336,312   0%                              - seed7--line-ends-a-statement-p
        231,224   0%                                 looking-at
        105,088   0%                               - forward-sexp
        105,088   0%                                  seed7--forward-sexp-function
     14,654,956   0%                            - seed7-re-search-backward
      7,748,516   0%                               re-search-backward
      6,906,440   0%                             - run-with-timer
      6,906,440   0%                              - run-at-time
      3,368,416   0%                               - timer-activate
      3,368,416   0%                                - timer--activate
      3,368,416   0%                                 - timer--time-less-p
         32,792   0%                                    timer--time
      2,148,368   0%                                 timer-relative-time
      1,389,656   0%                               - timer-set-time
      1,389,656   0%                                  timer--time-setter
      7,017,488   0%                            - replace-regexp-in-string
         40,920   0%                               concat
        519,000   0%                              match-string
         47,488   0%                              seed7--indent-offset-for
         30,912   0%                            - seed7-calc-indent
          4,480   0%                             - seed7-line-is-defun-end
          3,328   0%                                looking-back
          1,152   0%                              - seed7-move-to-line
          1,152   0%                                 seed7-to-previous-non-empty-line
          3,088   0%                             - seed7-line-at-endof-array-definition-block
          3,088   0%                              - seed7-line-code-ends-with
          3,088   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,152   0%                                  re-search-backward
          2,960   0%                             - seed7-line-inside-a-block-cached
          2,960   0%                              - seed7-line-inside-a-block
          2,960   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,528   0%                               seed7-line-after-short-func-end
          2,312   0%                             - seed7-line-inside-array-definition-block
          2,312   0%                              - seed7-re-search-backward
          1,344   0%                                 re-search-backward
            968   0%                               - run-with-timer
            968   0%                                - run-at-time
            472   0%                                 - timer-activate
            472   0%                                  - timer--activate
            472   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          2,312   0%                             - seed7-line-inside-set-definition-block
          2,312   0%                              - seed7-re-search-backward
          1,344   0%                                 re-search-backward
            968   0%                               - run-with-timer
            968   0%                                - run-at-time
            472   0%                                 - timer-activate
            472   0%                                  - timer--activate
            472   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          2,120   0%                             - seed7-line-inside-assign-statement-continuation
          2,120   0%                              - seed7-assign-op-pos
          2,120   0%                               - seed7-re-search-backward
          1,152   0%                                  re-search-backward
            968   0%                                - run-with-timer
            968   0%                                 - run-at-time
            472   0%                                  - timer-activate
            472   0%                                   - timer--activate
            472   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,992   0%                             - seed7-line-inside-parens-pair-column
          1,992   0%                              - seed7-line-inside-parens-pair
          1,992   0%                               - seed7-re-search-backward
          1,024   0%                                  re-search-backward
            968   0%                                - run-with-timer
            968   0%                                 - run-at-time
            472   0%                                  - timer-activate
            472   0%                                   - timer--activate
            472   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,936   0%                             - seed7-line-at-endof-set-definition-block
          1,936   0%                              - seed7-line-code-ends-with
          1,936   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,936   0%                             - seed7-line-at-endof-parenthesized-statement
          1,936   0%                              - seed7-line-code-ends-with
          1,936   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,152   0%                               seed7-line-starts-with
          1,024   0%                             - seed7-line-isa-string
          1,024   0%                                seed7-line-starts-with
          1,024   0%                               seed7-line-after-func-return-logic-operator-column
          1,024   0%                             - seed7-line-starts-with-open-paren-after-logic-operator
          1,024   0%                                seed7-line-starts-with
          1,024   0%                               seed7-line-indent-step
     50,486,855   2%                          - seed7--current-line-nth-word
     50,486,855   2%                           - thing-at-point
     50,098,591   2%                            - bounds-of-thing-at-point
     50,072,887   2%                             - #<byte-code-function 6A6>
     50,072,887   2%                              - forward-thing
     49,418,167   2%                               - forward-word
     49,418,167   2%                                - internal--syntax-propertize
     49,418,167   2%                                 - syntax-propertize
     49,418,167   2%                                    seed7-mode-syntax-propertize
        654,720   0%                                 format
         24,552   0%                             - #<byte-code-function 979>
         24,552   0%                              - forward-thing
         24,552   0%                                 format
          1,152   0%                               re-search-forward
     41,087,651   2%                          - seed7-line-is-defun-end
     25,223,886   1%                             looking-back
      6,621,168   0%                           - seed7-move-to-line
      6,621,168   0%                              seed7-to-previous-non-empty-line
      4,298,490   0%                           - seed7-beg-of-defun
      3,112,743   0%                            - seed7-re-search-backward
      2,981,304   0%                             - run-with-timer
      2,981,304   0%                              - run-at-time
      1,470,504   0%                               - timer-activate
      1,470,504   0%                                - timer--activate
      1,470,504   0%                                 - timer--time-less-p
         32,792   0%                                    timer--time
        925,968   0%                                 timer-relative-time
        584,832   0%                               - timer-set-time
        584,832   0%                                  timer--time-setter
        131,439   0%                               re-search-backward
        453,598   0%                            - seed7-re-search-backward-closest
        453,598   0%                             - seed7-re-search-backward
        294,846   0%                                re-search-backward
        158,752   0%                              - run-with-timer
        158,752   0%                               - run-at-time
         77,408   0%                                - timer-activate
         77,408   0%                                 - timer--activate
         77,408   0%                                    timer--time-less-p
         49,856   0%                                  timer-relative-time
         31,488   0%                                - timer-set-time
         31,488   0%                                   timer--time-setter
        163,680   0%                              match-string-no-properties
         96,744   0%                              match-string
         22,969   0%                            - seed7-top-block-name
         11,840   0%                             - seed7--to-top
          7,968   0%                              - seed7-re-search-backward
          4,096   0%                                 re-search-backward
          3,872   0%                               - run-with-timer
          3,872   0%                                - run-at-time
          1,888   0%                                 - timer-activate
          1,888   0%                                  - timer--activate
          1,888   0%                                     timer--time-less-p
          1,216   0%                                   timer-relative-time
            768   0%                                 - timer-set-time
            768   0%                                    timer--time-setter
          3,872   0%                              - run-with-timer
          3,872   0%                               - run-at-time
          1,888   0%                                - timer-activate
          1,888   0%                                 - timer--activate
          1,888   0%                                    timer--time-less-p
          1,216   0%                                  timer-relative-time
            768   0%                                - timer-set-time
            768   0%                                   timer--time-setter
         11,129   0%                             - seed7--block-name
         11,129   0%                                seed7-re-search-forward
         16,368   0%                              seed7--no-defun-found-msg-for
      2,504,779   0%                           - seed7-line-starts-with-any
      2,504,779   0%                              seed7-line-starts-with
      1,706,466   0%                           - seed7--current-line-nth-word
      1,706,466   0%                            - thing-at-point
      1,410,306   0%                             - bounds-of-thing-at-point
        990,264   0%                              - #<byte-code-function A2B>
        990,264   0%                               - forward-thing
        990,264   0%                                  format
        417,994   0%                              - #<byte-code-function 5CE>
        417,384   0%                               - forward-thing
        417,384   0%                                  format
          2,048   0%                                re-search-forward
        544,412   0%                           - seed7-end-of-defun
        484,000   0%                            - seed7-top-block-name
        484,000   0%                             - seed7--to-top
        468,512   0%                              - seed7-re-search-backward
        468,512   0%                               - run-with-timer
        468,512   0%                                - run-at-time
        228,448   0%                                 - timer-activate
        228,448   0%                                  - timer--activate
        228,448   0%                                     timer--time-less-p
        147,136   0%                                   timer-relative-time
         92,928   0%                                 - timer-set-time
         92,928   0%                                    timer--time-setter
         15,488   0%                              - run-with-timer
         15,488   0%                               - run-at-time
          7,552   0%                                - timer-activate
          7,552   0%                                 - timer--activate
          7,552   0%                                    timer--time-less-p
          4,864   0%                                  timer-relative-time
          3,072   0%                                - timer-set-time
          3,072   0%                                   timer--time-setter
         34,852   0%                            - seed7-re-search-forward
         26,660   0%                             - seed7-inside-comment-p
         26,660   0%                              - syntax-ppss
