     64,782,571  99% - ...
     64,782,571  99%  - #<primitive-function call-interactively>
     64,782,571  99%   - funcall-interactively
     64,782,571  99%    - smex
     64,782,571  99%     - smex-read-and-run
     64,782,571  99%      - execute-extended-command
     64,782,571  99%       - command-execute
     64,782,571  99%        - call-interactively
     64,782,571  99%         - apply
     64,782,571  99%          - call-interactively@ido-cr+-record-current-command
     64,782,571  99%           - #<primitive-function call-interactively>
     64,782,571  99%            - funcall-interactively
     64,782,571  99%             - pel-profile-all
     64,782,571  99%              - pel-profile-dir
     64,782,571  99%               - pel-profile-indent
     64,782,571  99%                - pel-profile-indentation-test-of
     63,218,671  97%                 - call-interactively
     63,218,671  97%                  - apply
     63,218,671  97%                   - call-interactively@ido-cr+-record-current-command
     63,218,671  97%                    - #<primitive-function call-interactively>
     63,218,671  97%                     - funcall-interactively
     63,218,655  97%                      - seed7-complete-statement-or-indent
     63,218,655  97%                       - seed7-indent-region
     63,218,655  97%                        - seed7--indent-one-line
     63,218,655  97%                         - seed7-calc-indent
     21,691,968  33%                          - seed7-line-inside-parens-pair-column
     21,691,968  33%                           - seed7-line-inside-parens-pair
     19,961,320  30%                            - seed7-re-search-backward
     19,594,472  30%                             - run-with-timer
     19,594,472  30%                              - run-at-time
     10,978,472  16%                               - timer-activate
     10,978,472  16%                                - timer--activate
     10,978,472  16%                                   timer--time-less-p
      5,280,768   8%                                 timer-relative-time
      3,335,232   5%                               - timer-set-time
      3,335,232   5%                                  timer--time-setter
        366,848   0%                               re-search-backward
      1,730,648   2%                            - forward-sexp
      1,730,648   2%                               seed7--forward-sexp-function
     10,774,481  16%                          - seed7-line-is-defun-end
      3,437,016   5%                             looking-back
      2,861,400   4%                           - seed7-end-of-defun
      2,405,925   3%                            - seed7-top-block-name
      2,397,741   3%                             - seed7--to-top
      2,266,893   3%                              - seed7-re-search-backward
      2,259,152   3%                               - run-with-timer
      2,259,152   3%                                - run-at-time
      1,389,168   2%                                 - timer-activate
      1,389,168   2%                                  - timer--activate
      1,389,168   2%                                     timer--time-less-p
        533,216   0%                                   timer-relative-time
        336,768   0%                                 - timer-set-time
        336,768   0%                                    timer--time-setter
          7,741   0%                               - seed7-inside-comment-p
          7,741   0%                                - syntax-ppss
          7,741   0%                                 - syntax-propertize
          7,741   0%                                    seed7-mode-syntax-propertize
        130,848   0%                              - run-with-timer
        130,848   0%                               - run-at-time
         73,312   0%                                - timer-activate
         73,312   0%                                 - timer--activate
         73,312   0%                                    timer--time-less-p
         35,264   0%                                  timer-relative-time
         22,272   0%                                - timer-set-time
         22,272   0%                                   timer--time-setter
          8,184   0%                               seed7--block-name
        149,777   0%                            - seed7-re-search-forward
         71,825   0%                             - seed7-inside-comment-p
         71,825   0%                              - syntax-ppss
         71,825   0%                               - syntax-propertize
         71,825   0%                                  seed7-mode-syntax-propertize
        130,848   0%                            - seed7-re-search-backward
        130,848   0%                             - run-with-timer
        130,848   0%                              - run-at-time
         73,312   0%                               - timer-activate
         73,312   0%                                - timer--activate
         73,312   0%                                   timer--time-less-p
         35,264   0%                                 timer-relative-time
         22,272   0%                               - timer-set-time
