    614,261,466  99% - ...
    614,261,466  99%  - #<primitive-function call-interactively>
    614,261,466  99%   - funcall-interactively
    614,261,466  99%    - smex
    614,261,466  99%     - smex-read-and-run
    614,261,466  99%      - execute-extended-command
    614,261,466  99%       - command-execute
    614,261,466  99%        - call-interactively
    614,261,466  99%         - apply
    614,261,466  99%          - call-interactively@ido-cr+-record-current-command
    614,261,466  99%           - #<primitive-function call-interactively>
    614,261,466  99%            - funcall-interactively
    614,261,466  99%             - pel-profile-all
    614,261,466  99%              - pel-profile-dir
    614,261,466  99%               - pel-profile-indent
    614,261,466  99%                - pel-profile-indentation-test-of
    612,680,670  99%                 - call-interactively
    612,680,670  99%                  - apply
    612,680,670  99%                   - call-interactively@ido-cr+-record-current-command
    612,680,670  99%                    - #<primitive-function call-interactively>
    612,680,670  99%                     - funcall-interactively
    612,680,654  99%                      - seed7-complete-statement-or-indent
    612,680,654  99%                       - seed7-indent-region
    612,680,654  99%                        - seed7--indent-one-line
    612,680,654  99%                         - seed7-calc-indent
    337,320,896  54%                          - seed7-line-inside-parens-pair-column
    337,320,896  54%                           - seed7-line-inside-parens-pair
    330,221,888  53%                            - seed7-re-search-backward
    328,446,370  53%                             - run-with-timer
    328,446,370  53%                              - run-at-time
    184,023,894  29%                               - timer-activate
    184,023,894  29%                                - timer--activate
    184,023,894  29%                                 - timer--time-less-p
          1,694   0%                                    timer--time
     88,516,320  14%                                 timer-relative-time
     55,905,632   9%                               - timer-set-time
     55,905,216   9%                                  timer--time-setter
            524   0%                                 timer-set-function
      1,774,696   0%                               re-search-backward
            528   0%                               make-closure
            248   0%                             - seed7-inside-comment-p
            248   0%                              - syntax-ppss
            248   0%                                 #<byte-code-function 804>
             46   0%                             - seed7-inside-string-p
             46   0%                              - syntax-ppss
             46   0%                                 #<byte-code-function E2B>
      7,099,008   1%                            - forward-sexp
      7,098,520   1%                               seed7--forward-sexp-function
    144,473,375  23%                          - seed7-line-inside-a-block-cached
    144,472,766  23%                           - seed7-line-inside-a-block
     72,423,645  11%                            - seed7--safe-enclosing-block-bounds
     72,423,645  11%                             - seed7--block-end-pos-for
     71,168,877  11%                              - seed7-to-block-forward
     53,520,314   8%                               - seed7-end-of-defun
     52,845,134   8%                                - seed7-top-block-name
     52,701,051   8%                                 - seed7--to-top
     52,430,331   8%                                  - seed7-re-search-backward
     52,242,555   8%                                   - run-with-timer
     52,242,555   8%                                    - run-at-time
     32,123,763   5%                                     - timer-activate
     32,123,763   5%                                      - timer--activate
     32,123,763   5%                                         timer--time-less-p
     12,330,224   2%                                       timer-relative-time
      7,787,520   1%                                     - timer-set-time
      7,787,520   1%                                        timer--time-setter
          1,048   0%                                       timer-set-function
        141,659   0%                                   - seed7-inside-comment-p
        141,659   0%                                    - syntax-ppss
        140,849   0%                                     - syntax-propertize
        140,849   0%                                        seed7-mode-syntax-propertize
            294   0%                                       #<byte-code-function 50E>
         45,979   0%                                     re-search-backward
            138   0%                                     make-closure
        270,720   0%                                  - run-with-timer
        270,720   0%                                   - run-at-time
        151,680   0%                                    - timer-activate
        151,680   0%                                     - timer--activate
        151,680   0%                                        timer--time-less-p
         72,960   0%                                      timer-relative-time
         46,080   0%                                    - timer-set-time
         46,080   0%                                       timer--time-setter
        144,083   0%                                 - seed7--block-name
        141,035   0%                                    seed7-re-search-forward
          3,048   0%                                    match-string
        270,720   0%                                - seed7-re-search-backward
        270,720   0%                                 - run-with-timer
        270,720   0%                                  - run-at-time
        151,680   0%                                   - timer-activate
        151,680   0%                                    - timer--activate
        151,680   0%                                       timer--time-less-p
         72,960   0%                                     timer-relative-time
         46,080   0%                                   - timer-set-time
         46,080   0%                                      timer--time-setter
        251,548   0%                                - seed7-re-search-forward
        108,407   0%                                 - seed7-inside-comment-p
        108,407   0%                                  - syntax-ppss
        108,407   0%                                   - syntax-propertize
        108,407   0%                                      seed7-mode-syntax-propertize
         43,856   0%                                  match-string
      9,527,683   1%                               - seed7-re-search-forward
      2,824,512   0%                                - seed7-inside-comment-p
      2,824,512   0%                                 - syntax-ppss
      2,824,512   0%                                  - syntax-propertize
      2,824,512   0%                                     seed7-mode-syntax-propertize
      3,987,792   0%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
      3,707,520   0%                               - seed7--current-line-nth-word
      3,707,520   0%                                - thing-at-point
      2,049,096   0%                                 - bounds-of-thing-at-point
      1,350,360   0%                                  - #<byte-code-function 065>
      1,350,360   0%                                   - forward-thing
      1,350,360   0%                                      format
        671,088   0%                                  - #<byte-code-function 973>
        671,088   0%                                   - forward-thing
        671,088   0%                                      format
         27,648   0%                                    re-search-forward
        425,568   0%                                 seed7--end-regexp-for
      1,187,056   0%                              - seed7--line-ends-a-statement-p
        742,648   0%                                 looking-at
        444,408   0%                               - forward-sexp
        444,408   0%                                  seed7--forward-sexp-function
         26,752   0%                              - seed7-to-next-line-starts-with
         26,752   0%                                 seed7-re-search-forward
     50,569,236   8%                            - seed7-calc-indent
     34,311,284   5%                             - seed7-line-inside-parens-pair-column
     34,311,284   5%                              - seed7-line-inside-parens-pair
     34,307,188   5%                               - seed7-re-search-backward
     34,099,440   5%                                - run-with-timer
     34,099,440   5%                                 - run-at-time
     19,105,392   3%                                  - timer-activate
     19,105,392   3%                                   - timer--activate
     19,105,392   3%                                      timer--time-less-p
      9,189,888   1%                                    timer-relative-time
      5,804,160   0%                                  - timer-set-time
      5,804,160   0%                                     timer--time-setter
        207,748   0%                                  re-search-backward
          4,096   0%                               - forward-sexp
          4,096   0%                                  seed7--forward-sexp-function
      5,879,483   0%                             - seed7-line-is-defun-end
      2,664,486   0%                              - seed7-beg-of-defun
      1,014,178   0%                               - seed7-re-search-backward-closest
      1,014,178   0%                                - seed7-re-search-backward
        569,746   0%                                   re-search-backward
        444,432   0%                                 - run-with-timer
        444,432   0%                                  - run-at-time
        249,008   0%                                   - timer-activate
        249,008   0%                                    - timer--activate
        249,008   0%                                       timer--time-less-p
        119,776   0%                                     timer-relative-time
         75,648   0%                                   - timer-set-time
         75,648   0%                                      timer--time-setter
        621,156   0%                               - seed7-re-search-backward
        321,480   0%                                - run-with-timer
        321,480   0%                                 - run-at-time
        180,120   0%                                  - timer-activate
        180,120   0%                                   - timer--activate
        180,120   0%                                      timer--time-less-p
         86,640   0%                                    timer-relative-time
         54,720   0%                                  - timer-set-time
         54,720   0%                                     timer--time-setter
        299,676   0%                                  re-search-backward
         81,840   0%                                 seed7--no-defun-found-msg-for
          1,016   0%                                 match-string
      2,500,589   0%                              - seed7-line-starts-with-any
      2,500,589   0%                                 seed7-line-starts-with
        699,952   0%                                looking-back
          8,184   0%                              - seed7--current-line-nth-word
          8,184   0%                               - thing-at-point
