  2,782,853,184  99% - ...
  2,782,853,184  99%  - #<primitive-function call-interactively>
  2,782,853,184  99%   - funcall-interactively
  2,782,853,184  99%    - smex
  2,782,853,184  99%     - smex-read-and-run
  2,782,853,184  99%      - execute-extended-command
  2,782,853,184  99%       - command-execute
  2,782,853,184  99%        - call-interactively
  2,782,853,184  99%         - apply
  2,782,853,184  99%          - call-interactively@ido-cr+-record-current-command
  2,782,853,184  99%           - #<primitive-function call-interactively>
  2,782,853,184  99%            - funcall-interactively
  2,782,853,184  99%             - pel-profile-all
  2,782,853,184  99%              - pel-profile-dir
  2,782,853,184  99%               - pel-profile-indent
  2,782,853,184  99%                - pel-profile-indentation-test-of
  2,781,272,388  99%                 - call-interactively
  2,781,272,388  99%                  - apply
  2,781,272,388  99%                   - call-interactively@ido-cr+-record-current-command
  2,781,272,388  99%                    - #<primitive-function call-interactively>
  2,781,272,388  99%                     - funcall-interactively
  2,781,272,372  99%                      - seed7-complete-statement-or-indent
  2,781,272,372  99%                       - seed7-indent-region
  2,781,272,372  99%                        - seed7--indent-one-line
  2,781,272,372  99%                         - seed7-calc-indent
  1,877,254,829  67%                          - seed7-line-inside-parens-pair-column
  1,877,254,829  67%                           - seed7-line-inside-parens-pair
  1,872,577,464  67%                            - seed7-re-search-backward
  1,860,627,737  66%                             - run-with-timer
  1,860,627,737  66%                              - run-at-time
  1,140,253,119  40%                                 timer-relative-time
    720,153,113  25%                               - timer-set-time
    720,150,968  25%                                  timer--time-setter
        216,927   0%                               - timer-activate
        216,927   0%                                - timer--activate
        184,135   0%                                 - timer--time-less-p
        184,135   0%                                    timer--time
          4,578   0%                                 timer-set-function
     11,724,107   0%                               re-search-backward
        136,443   0%                             - seed7-inside-comment-p
        136,443   0%                              - syntax-ppss
        131,168   0%                                 parse-partial-sexp
          3,235   0%                                 syntax-table
          1,423   0%                                 #<byte-code-function 57B>
         74,523   0%                             - seed7-inside-string-p
         74,523   0%                              - syntax-ppss
         65,584   0%                                 parse-partial-sexp
          5,346   0%                                 syntax-table
             10   0%                                 #<byte-code-function 27C>
         14,654   0%                               make-closure
      4,578,763   0%                            - forward-sexp
      4,570,848   0%                               seed7--forward-sexp-function
         33,018   0%                            - seed7-line-inside-syntax-parens-pair
         33,018   0%                             - syntax-ppss
         32,792   0%                                parse-partial-sexp
    308,302,729  11%                          - seed7-line-inside-a-block-cached
    308,298,368  11%                           - seed7-line-inside-a-block
    143,268,692   5%                            - seed7-calc-indent
     86,940,226   3%                             - seed7-line-inside-a-block-cached
     86,940,226   3%                              - seed7-line-inside-a-block
     85,819,922   3%                               - seed7--safe-enclosing-block-bounds
     85,819,922   3%                                - seed7--block-end-pos-for
     85,700,882   3%                                 - seed7-to-block-forward
     85,361,611   3%                                  - seed7-end-of-defun
     84,202,656   3%                                   - seed7-top-block-name
     84,158,295   3%                                    - seed7--to-top
     83,549,175   2%                                     - seed7-re-search-backward
     83,541,412   2%                                      - run-with-timer
     83,541,412   2%                                       - run-at-time
     51,370,948   1%                                        - timer-activate
     51,370,948   1%                                         - timer--activate
     51,370,948   1%                                          - timer--time-less-p
            790   0%                                             timer--time
     19,717,344   0%                                          timer-relative-time
     12,453,120   0%                                        - timer-set-time
     12,453,120   0%                                           timer--time-setter
          6,080   0%                                        re-search-backward
