        4122  92% - ...
        4122  92%  - pel-profile-dir
        4122  92%   - pel-profile-indent
        4122  92%    - pel-profile-indentation-test-of
        4122  92%     - call-interactively
        4122  92%      - apply
        4122  92%       - call-interactively@ido-cr+-record-current-command
        4122  92%        - #<primitive-function call-interactively>
        4122  92%         - funcall-interactively
        4095  91%          - pel-profile-all
        4095  91%           - pel-profile-dir
        4095  91%            - pel-profile-indent
        4095  91%             - pel-profile-indentation-test-of
        4095  91%              - call-interactively
        4095  91%               - apply
        4095  91%                - call-interactively@ido-cr+-record-current-command
        4095  91%                 - #<primitive-function call-interactively>
        4095  91%                  - funcall-interactively
        4095  91%                   - seed7-complete-statement-or-indent
        4095  91%                    - seed7-indent-region
        4095  91%                     - seed7--indent-one-line
        4094  91%                      - seed7-calc-indent
        3351  74%                       - seed7--indent-search-boundary
        3351  74%                        - seed7--indent-search-boundary-uncached
        3313  73%                         - syntax-ppss
        3300  73%                            parse-partial-sexp
           2   0%                            make-closure
           1   0%                            syntax-ppss--data
           1   0%                          - #<byte-code-function 5AC>
           1   0%                             set-syntax-table
           1   0%                            syntax-ppss-toplevel-pos
           6   0%                           seed7-to-indent
         305   6%                       - seed7-line-inside-a-block-cached
         305   6%                        - seed7-line-inside-a-block
         209   4%                         - seed7--safe-enclosing-block-bounds
         209   4%                          - seed7--block-end-pos-for
         209   4%                           - seed7-to-block-forward
         166   3%                            - seed7-end-of-defun
         157   3%                             - seed7-top-block-name
         156   3%                              - seed7--to-top
         155   3%                               - seed7-re-search-backward
         138   3%                                - seed7-inside-comment-p
         138   3%                                 - syntax-ppss
         137   3%                                    parse-partial-sexp
          14   0%                                - run-with-timer
          14   0%                                 - run-at-time
           9   0%                                  - timer-activate
           9   0%                                   - timer--activate
           9   0%                                      timer--time-less-p
           3   0%                                  - timer-set-time
           3   0%                                     timer--time-setter
           2   0%                                    timer-relative-time
           3   0%                                  re-search-backward
           1   0%                               - run-with-timer
           1   0%                                - run-at-time
           1   0%                                   timer-relative-time
