     13,886,665  99% - ...
     13,886,665  99%  - #<primitive-function call-interactively>
     13,886,665  99%   - funcall-interactively
     13,886,665  99%    - smex
     13,886,665  99%     - smex-read-and-run
     13,886,665  99%      - execute-extended-command
     13,886,665  99%       - command-execute
     13,886,665  99%        - call-interactively
     13,886,665  99%         - apply
     13,886,665  99%          - call-interactively@ido-cr+-record-current-command
     13,886,665  99%           - #<primitive-function call-interactively>
     13,886,665  99%            - funcall-interactively
     13,886,665  99%             - pel-profile-all
     13,886,665  99%              - pel-profile-dir
     13,886,665  99%               - pel-profile-indent
     13,886,665  99%                - pel-profile-indentation-test-of
     12,322,765  88%                 - call-interactively
     12,322,765  88%                  - apply
     12,322,765  88%                   - call-interactively@ido-cr+-record-current-command
     12,322,765  88%                    - #<primitive-function call-interactively>
     12,322,765  88%                     - funcall-interactively
     12,322,749  88%                      - seed7-complete-statement-or-indent
     12,322,749  88%                       - seed7-indent-region
     12,322,749  88%                        - seed7--indent-one-line
     12,322,749  88%                         - seed7-calc-indent
      6,385,252  45%                          - seed7-line-is-defun-end
      2,661,669  19%                           - seed7-end-of-defun
      1,989,712  14%                            - seed7-top-block-name
      1,980,512  14%                             - seed7--to-top
      1,710,440  12%                              - seed7-re-search-backward
      1,710,440  12%                               - run-with-timer
      1,710,440  12%                                - run-at-time
        834,024   6%                                 - timer-activate
        834,024   6%                                  - timer--activate
        834,024   6%                                     timer--time-less-p
        537,152   3%                                   timer-relative-time
        339,264   2%                                 - timer-set-time
        339,264   2%                                    timer--time-setter
        270,072   1%                              - run-with-timer
        270,072   1%                               - run-at-time
        131,688   0%                                - timer-activate
        131,688   0%                                 - timer--activate
        131,688   0%                                    timer--time-less-p
         84,816   0%                                  timer-relative-time
         53,568   0%                                - timer-set-time
         53,568   0%                                   timer--time-setter
          9,200   0%                             - seed7--block-name
          1,016   0%                                match-string
        270,072   1%                            - seed7-re-search-backward
        270,072   1%                             - run-with-timer
        270,072   1%                              - run-at-time
        131,688   0%                               - timer-activate
        131,688   0%                                - timer--activate
        131,688   0%                                   timer--time-less-p
         84,816   0%                                 timer-relative-time
         53,568   0%                               - timer-set-time
         53,568   0%                                  timer--time-setter
        196,157   1%                            - seed7-re-search-forward
          5,693   0%                             - seed7-inside-comment-p
          5,693   0%                              - syntax-ppss
          5,693   0%                               - syntax-propertize
          5,693   0%                                  seed7-mode-syntax-propertize
         32,736   0%                              match-string
          8,184   0%                              match-string-no-properties
      2,180,316  15%                           - seed7-beg-of-defun
        488,580   3%                            - seed7-re-search-backward-closest
        488,580   3%                             - seed7-re-search-backward
        300,788   2%                                re-search-backward
        187,792   1%                              - run-with-timer
        187,792   1%                               - run-at-time
         91,568   0%                                - timer-activate
         91,568   0%                                 - timer--activate
         91,568   0%                                    timer--time-less-p
         58,976   0%                                  timer-relative-time
         37,248   0%                                - timer-set-time
         37,248   0%                                   timer--time-setter
        458,592   3%                            - seed7-top-block-name
        276,368   1%                             - seed7--to-top
        186,344   1%                              - seed7-re-search-backward
         96,320   0%                                 re-search-backward
         90,024   0%                               - run-with-timer
         90,024   0%                                - run-at-time
         43,896   0%                                 - timer-activate
         43,896   0%                                  - timer--activate
         43,896   0%                                     timer--time-less-p
         28,272   0%                                   timer-relative-time
         17,856   0%                                 - timer-set-time
         17,856   0%                                    timer--time-setter
         90,024   0%                              - run-with-timer
         90,024   0%                               - run-at-time
