      8,809,673  99% - ...
      8,809,673  99%  - #<primitive-function call-interactively>
      8,809,673  99%   - funcall-interactively
      8,809,673  99%    - smex
      8,809,673  99%     - smex-read-and-run
      8,809,673  99%      - execute-extended-command
      8,809,673  99%       - command-execute
      8,809,673  99%        - call-interactively
      8,809,673  99%         - apply
      8,809,673  99%          - call-interactively@ido-cr+-record-current-command
      8,809,673  99%           - #<primitive-function call-interactively>
      8,809,673  99%            - funcall-interactively
      8,809,673  99%             - pel-profile-all
      8,809,673  99%              - pel-profile-dir
      8,809,673  99%               - pel-profile-indent
      8,809,673  99%                - pel-profile-indentation-test-of
      7,248,589  82%                 - call-interactively
      7,248,589  82%                  - apply
      7,248,589  82%                   - call-interactively@ido-cr+-record-current-command
      7,248,589  82%                    - #<primitive-function call-interactively>
      7,248,589  82%                     - funcall-interactively
      7,248,573  82%                      - seed7-complete-statement-or-indent
      7,248,573  82%                       - seed7-indent-region
      7,248,573  82%                        - seed7--indent-one-line
      7,248,573  82%                         - seed7-calc-indent
      1,312,913  14%                          - seed7-line-inside-a-block-cached
      1,312,913  14%                           - seed7-line-inside-a-block
        570,830   6%                            - seed7--safe-enclosing-block-bounds
        570,830   6%                             - seed7--block-end-pos-for
        555,470   6%                              - seed7-to-block-forward
        301,690   3%                               - seed7-re-search-forward
         86,194   0%                                - seed7-inside-comment-p
         86,194   0%                                 - syntax-ppss
         86,194   0%                                  - syntax-propertize
         86,194   0%                                     seed7-mode-syntax-propertize
        136,192   1%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         74,620   0%                               - seed7-end-of-defun
         50,091   0%                                - seed7-top-block-name
         36,832   0%                                 - seed7--to-top
         27,808   0%                                  - seed7-re-search-backward
         25,760   0%                                   - run-with-timer
         25,760   0%                                    - run-at-time
         15,840   0%                                     - timer-activate
         15,840   0%                                      - timer--activate
         15,840   0%                                         timer--time-less-p
          6,080   0%                                       timer-relative-time
          3,840   0%                                     - timer-set-time
          3,840   0%                                        timer--time-setter
          2,048   0%                                     re-search-backward
          9,024   0%                                  - run-with-timer
          9,024   0%                                   - run-at-time
          5,056   0%                                    - timer-activate
          5,056   0%                                     - timer--activate
          5,056   0%                                        timer--time-less-p
          2,432   0%                                      timer-relative-time
          1,536   0%                                    - timer-set-time
          1,536   0%                                       timer--time-setter
         13,259   0%                                 - seed7--block-name
         13,259   0%                                    seed7-re-search-forward
         11,409   0%                                - seed7-re-search-forward
          7,313   0%                                 - seed7-inside-comment-p
          7,313   0%                                  - syntax-ppss
          7,313   0%                                   - syntax-propertize
          7,313   0%                                      seed7-mode-syntax-propertize
          9,024   0%                                - seed7-re-search-backward
          9,024   0%                                 - run-with-timer
          9,024   0%                                  - run-at-time
          5,056   0%                                   - timer-activate
          5,056   0%                                    - timer--activate
          5,056   0%                                       timer--time-less-p
          2,432   0%                                     timer-relative-time
          1,536   0%                                   - timer-set-time
          1,536   0%                                      timer--time-setter
         42,968   0%                               - seed7--current-line-nth-word
         42,968   0%                                - thing-at-point
         42,968   0%                                 - bounds-of-thing-at-point
         40,920   0%                                  - #<byte-code-function 987>
         40,920   0%                                   - forward-thing
         40,920   0%                                      format
          2,048   0%                                    re-search-forward
          9,216   0%                              - seed7-to-next-line-starts-with
          9,216   0%                                 seed7-re-search-forward
          6,144   0%                              - seed7--line-ends-a-statement-p
          6,144   0%                                 looking-at
        487,815   5%                            - seed7-re-search-backward
        325,992   3%                             - run-with-timer
        325,992   3%                              - run-at-time
        182,648   2%                               - timer-activate
        182,648   2%                                - timer--activate
        182,648   2%                                   timer--time-less-p
         87,856   0%                                 timer-relative-time
         55,488   0%                               - timer-set-time
         55,488   0%                                  timer--time-setter
        161,823   1%                               re-search-backward
        155,632   1%                              replace-regexp-in-string
         62,828   0%                            - seed7-calc-indent
         35,980   0%                             - seed7-line-is-defun-end
         19,708   0%                              - seed7-beg-of-defun
         11,308   0%                               - seed7-re-search-backward
         10,180   0%                                  re-search-backward
          1,128   0%                                - run-with-timer
          1,128   0%                                 - run-at-time
            632   0%                                  - timer-activate
            632   0%                                   - timer--activate
            632   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          4,304   0%                               - seed7-re-search-backward-closest
          4,304   0%                                - seed7-re-search-backward
          2,256   0%                                 - run-with-timer
          2,256   0%                                  - run-at-time
          1,264   0%                                   - timer-activate
          1,264   0%                                    - timer--activate
          1,264   0%                                       timer--time-less-p
            608   0%                                     timer-relative-time
            384   0%                                   - timer-set-time
            384   0%                                      timer--time-setter
          2,048   0%                                   re-search-backward
         12,176   0%                              - seed7-line-starts-with-any
