     17,984,913  99% - ...
     17,984,913  99%  - #<primitive-function call-interactively>
     17,984,913  99%   - funcall-interactively
     17,984,913  99%    - smex
     17,984,913  99%     - smex-read-and-run
     17,984,913  99%      - execute-extended-command
     17,984,913  99%       - command-execute
     17,984,913  99%        - call-interactively
     17,984,913  99%         - apply
     17,984,913  99%          - call-interactively@ido-cr+-record-current-command
     17,984,913  99%           - #<primitive-function call-interactively>
     17,984,913  99%            - funcall-interactively
     17,984,913  99%             - pel-profile-all
     17,984,913  99%              - pel-profile-dir
     17,984,913  99%               - pel-profile-indent
     17,984,913  99%                - pel-profile-indentation-test-of
     16,415,381  91%                 - call-interactively
     16,415,381  91%                  - apply
     16,415,381  91%                   - call-interactively@ido-cr+-record-current-command
     16,415,381  91%                    - #<primitive-function call-interactively>
     16,415,381  91%                     - funcall-interactively
     16,415,365  91%                      - seed7-complete-statement-or-indent
     16,415,365  91%                       - seed7-indent-region
     16,415,365  91%                        - seed7--indent-one-line
     16,415,365  91%                         - seed7-calc-indent
      6,221,315  34%                          - seed7-line-is-defun-end
      3,298,438  18%                           - seed7-end-of-defun
      2,772,792  15%                            - seed7-top-block-name
      2,764,608  15%                             - seed7--to-top
      2,642,640  14%                              - seed7-re-search-backward
      2,642,640  14%                               - run-with-timer
      2,642,640  14%                                - run-at-time
      1,288,560   7%                                 - timer-activate
      1,288,560   7%                                  - timer--activate
      1,288,560   7%                                     timer--time-less-p
        829,920   4%                                   timer-relative-time
        524,160   2%                                 - timer-set-time
        524,160   2%                                    timer--time-setter
        121,968   0%                              - run-with-timer
        121,968   0%                               - run-at-time
         59,472   0%                                - timer-activate
         59,472   0%                                 - timer--activate
         59,472   0%                                    timer--time-less-p
         38,304   0%                                  timer-relative-time
         24,192   0%                                - timer-set-time
         24,192   0%                                   timer--time-setter
          8,184   0%                             - seed7--block-name
          8,184   0%                                match-string
        191,318   1%                            - seed7-re-search-forward
        105,174   0%                             - seed7-inside-comment-p
        105,174   0%                              - syntax-ppss
        105,174   0%                               - syntax-propertize
        105,174   0%                                  seed7-mode-syntax-propertize
        121,968   0%                            - seed7-re-search-backward
        121,968   0%                             - run-with-timer
        121,968   0%                              - run-at-time
         59,472   0%                               - timer-activate
         59,472   0%                                - timer--activate
         59,472   0%                                   timer--time-less-p
         38,304   0%                                 timer-relative-time
         24,192   0%                               - timer-set-time
         24,192   0%                                  timer--time-setter
         81,840   0%                              match-string-no-properties
         32,736   0%                              match-string
      1,333,419   7%                           - seed7-beg-of-defun
        483,560   2%                            - seed7-re-search-backward
        360,096   1%                             - run-with-timer
        360,096   1%                              - run-at-time
        175,584   0%                               - timer-activate
        175,584   0%                                - timer--activate
        175,584   0%                                   timer--time-less-p
        113,088   0%                                 timer-relative-time
         71,424   0%                               - timer-set-time
         71,424   0%                                  timer--time-setter
        123,464   0%                               re-search-backward
        267,288   1%                            - seed7-re-search-backward-closest
        267,288   1%                             - seed7-re-search-backward
        155,000   0%                                re-search-backward
        112,288   0%                              - run-with-timer
        112,288   0%                               - run-at-time
         54,752   0%                                - timer-activate
         54,752   0%                                 - timer--activate
         54,752   0%                                    timer--time-less-p
         35,264   0%                                  timer-relative-time
         22,272   0%                                - timer-set-time
         22,272   0%                                   timer--time-setter
        238,598   1%                            - seed7-top-block-name
        133,784   0%                             - seed7--to-top
         93,128   0%                              - seed7-re-search-backward
         52,472   0%                                 re-search-backward
         40,656   0%                               - run-with-timer
         40,656   0%                                - run-at-time
         19,824   0%                                 - timer-activate
         19,824   0%                                  - timer--activate
         19,824   0%                                     timer--time-less-p
         12,768   0%                                   timer-relative-time
          8,064   0%                                 - timer-set-time
          8,064   0%                                    timer--time-setter
         40,656   0%                              - run-with-timer
         40,656   0%                               - run-at-time
         19,824   0%                                - timer-activate
         19,824   0%                                 - timer--activate
