         119  70% - ...
         119  70%  - pel-profile-indent
         119  70%   - pel-profile-indentation-test-of
         119  70%    - call-interactively
         119  70%     - apply
         119  70%      - call-interactively@ido-cr+-record-current-command
         119  70%       - #<primitive-function call-interactively>
         119  70%        - funcall-interactively
          79  47%         - pel-profile-all
          79  47%          - pel-profile-dir
          79  47%           - pel-profile-indent
          79  47%            - pel-profile-indentation-test-of
          79  47%             - call-interactively
          79  47%              - apply
          79  47%               - call-interactively@ido-cr+-record-current-command
          79  47%                - #<primitive-function call-interactively>
          79  47%                 - funcall-interactively
          79  47%                  - seed7-complete-statement-or-indent
          79  47%                   - seed7-indent-region
          79  47%                    - seed7--indent-one-line
          79  47%                     - seed7-calc-indent
          35  20%                      - seed7--indent-search-boundary
          35  20%                       - seed7--indent-search-boundary-uncached
          33  19%                        - syntax-ppss
          33  19%                           parse-partial-sexp
          34  20%                      - seed7-comment-column
          27  16%                       - seed7-calc-indent
           6   3%                        - seed7-line-at-endof-set-definition-block
           6   3%                         - seed7-move-to-line
           6   3%                          - seed7-to-previous-non-empty-line
           6   3%                           - seed7-inside-comment-p
           6   3%                            - syntax-ppss
           6   3%                               parse-partial-sexp
           4   2%                        - seed7-line-is-defun-end
           4   2%                         - seed7-move-to-line
           4   2%                          - seed7-to-previous-non-empty-line
           4   2%                           - seed7-inside-comment-p
           4   2%                            - syntax-ppss
           4   2%                               parse-partial-sexp
           4   2%                        - seed7-line-starts-with-open-paren-after-logic-operator
           4   2%                         - seed7-move-to-line
           4   2%                          - seed7-to-previous-non-empty-line
           4   2%                           - seed7-inside-comment-p
           4   2%                            - syntax-ppss
           4   2%                               parse-partial-sexp
           3   1%                        - seed7-line-after-short-func-end
           3   1%                         - seed7-move-to-line
           3   1%                          - seed7-to-previous-non-empty-line
           3   1%                           - seed7-inside-comment-p
           3   1%                            - syntax-ppss
           3   1%                               parse-partial-sexp
           2   1%                        - seed7-line-at-endof-parenthesized-statement
           2   1%                         - seed7-move-to-line
           2   1%                          - seed7-to-previous-non-empty-line
           2   1%                           - seed7-inside-comment-p
           2   1%                            - syntax-ppss
           2   1%                               parse-partial-sexp
           2   1%                        - seed7-line-after-func-return-logic-operator-column
           2   1%                         - seed7-move-to-line
           2   1%                          - seed7-to-previous-non-empty-line
           2   1%                           - seed7-inside-comment-p
           2   1%                            - syntax-ppss
           2   1%                               parse-partial-sexp
           2   1%                        - seed7-line-inside-parens-pair-column
           2   1%                         - seed7-line-inside-parens-pair
           2   1%                          - seed7-re-search-backward
           2   1%                           - seed7-inside-comment-p
           2   1%                            - syntax-ppss
           2   1%                               parse-partial-sexp
           2   1%                        - seed7-line-at-endof-array-definition-block
           2   1%                         - seed7-move-to-line
           2   1%                          - seed7-to-previous-non-empty-line
           2   1%                           - seed7-inside-comment-p
           2   1%                            - syntax-ppss
           2   1%                               parse-partial-sexp
           1   0%                        - seed7-line-inside-assign-statement-continuation
           1   0%                         - seed7-assign-op-pos
           1   0%                          - seed7-re-search-backward
           1   0%                             re-search-backward
           1   0%                        - seed7-line-inside-set-definition-block
           1   0%                         - seed7-re-search-backward
