        3703  92% - ...
        3703  92%  - call-interactively@ido-cr+-record-current-command
        3703  92%   - #<primitive-function call-interactively>
        3703  92%    - funcall-interactively
        3701  92%     - pel-profile-all
        3701  92%      - pel-profile-dir
        3701  92%       - pel-profile-indent
        3701  92%        - pel-profile-indentation-test-of
        3701  92%         - call-interactively
        3701  92%          - apply
        3701  92%           - call-interactively@ido-cr+-record-current-command
        3701  92%            - #<primitive-function call-interactively>
        3701  92%             - funcall-interactively
        3701  92%              - seed7-complete-statement-or-indent
        3701  92%               - seed7-indent-region
        3701  92%                - seed7--indent-one-line
        3701  92%                 - seed7-calc-indent
        1598  39%                  - seed7--indent-search-boundary
        1597  39%                   - seed7--indent-search-boundary-uncached
        1575  39%                    - syntax-ppss
        1566  39%                       parse-partial-sexp
           3   0%                       syntax-ppss-toplevel-pos
           1   0%                       make-closure
           1   0%                       #<byte-code-function 116>
           1   0%                       syntax-propertize
           2   0%                      seed7-to-indent
         999  24%                  - seed7-line-inside-parens-pair-column
         999  24%                   - seed7-line-inside-parens-pair
         981  24%                    - seed7-re-search-backward
         739  18%                     - seed7-inside-comment-p
         739  18%                      - syntax-ppss
         735  18%                         parse-partial-sexp
           3   0%                         syntax-ppss--update-stats
           1   0%                         make-closure
         226   5%                     - run-with-timer
         226   5%                      - run-at-time
         154   3%                       - timer-activate
         154   3%                        - timer--activate
         153   3%                         - timer--time-less-p
           1   0%                            timer--time
           1   0%                           timerp
          57   1%                       - timer-set-time
          57   1%                          timer--time-setter
          15   0%                         timer-relative-time
          10   0%                     - seed7-inside-string-p
           8   0%                      - syntax-ppss
           5   0%                         parse-partial-sexp
           1   0%                         syntax-ppss--update-stats
           1   0%                         syntax-ppss--data
           2   0%                       re-search-backward
           1   0%                       #<byte-code-function 12C>
           6   0%                    - forward-sexp
           6   0%                       seed7--forward-sexp-function
           2   0%                    - seed7-line-inside-syntax-parens-pair
           2   0%                     - syntax-ppss
           2   0%                        parse-partial-sexp
         610  15%                  - seed7-line-is-defun-end
         434  10%                   - seed7-end-of-defun
         323   8%                    - seed7-top-block-name
         323   8%                     - seed7--to-top
         321   8%                      - seed7-re-search-backward
         233   5%                       - seed7-inside-comment-p
         233   5%                        - syntax-ppss
         232   5%                           parse-partial-sexp
           1   0%                           syntax-ppss--update-stats
          79   1%                       - run-with-timer
          79   1%                        - run-at-time
          52   1%                         - timer-activate
          52   1%                          - timer--activate
          52   1%                             timer--time-less-p
          23   0%                         - timer-set-time
          23   0%                            timer--time-setter
           4   0%                           timer-relative-time
           8   0%                         re-search-backward
           1   0%                         make-closure
           2   0%                      - run-with-timer
           2   0%                       - run-at-time
           2   0%                        - timer-activate
           2   0%                         - timer--activate
           2   0%                            timer--time-less-p
         102   2%                    - seed7-re-search-forward
          42   1%                     - seed7-inside-comment-p
          41   1%                      - syntax-ppss
          38   0%                         parse-partial-sexp
           2   0%                       - syntax-propertize
           2   0%                          seed7-mode-syntax-propertize
           1   0%                         make-closure
          25   0%                     - seed7-inside-string-p
          25   0%                      - syntax-ppss
          24   0%                         parse-partial-sexp
           8   0%                    - seed7-re-search-backward
           5   0%                     - seed7-inside-comment-p
           5   0%                      - syntax-ppss
           5   0%                         parse-partial-sexp
           3   0%                     - run-with-timer
           3   0%                      - run-at-time
           2   0%                       - timer-activate
           2   0%                        - timer--activate
           2   0%                           timer--time-less-p
           1   0%                       - timer-set-time
           1   0%                          timer--time-setter
         163   4%                   - seed7-beg-of-defun
         149   3%                    - seed7-re-search-backward
          99   2%                     - seed7-inside-comment-p
          99   2%                      - syntax-ppss
          99   2%                         parse-partial-sexp
          40   0%                     - run-with-timer
          40   0%                      - run-at-time
          32   0%                       - timer-activate
          32   0%                        - timer--activate
          32   0%                           timer--time-less-p
           6   0%                       - timer-set-time
           6   0%                          timer--time-setter
           2   0%                         timer-relative-time
           7   0%                       re-search-backward
           3   0%                     - seed7-inside-string-p
           2   0%                      - syntax-ppss
           1   0%                         parse-partial-sexp
           9   0%                    - seed7-re-search-backward-closest
           9   0%                     - seed7-re-search-backward
           8   0%                        re-search-backward
           1   0%                      - run-with-timer
           1   0%                       - run-at-time
           1   0%                        - timer-set-time
           1   0%                           timer--time-setter
           5   0%                    - seed7-top-block-name
           4   0%                     - seed7--to-top
           4   0%                      - seed7-re-search-backward
           4   0%                       - seed7-inside-comment-p
           4   0%                        - syntax-ppss
           4   0%                           parse-partial-sexp
           1   0%                     - seed7--block-name
           1   0%                      - seed7-re-search-forward
           1   0%                       - seed7-inside-comment-p
           1   0%                        - syntax-ppss
           1   0%                           parse-partial-sexp
           4   0%                   - seed7-move-to-line
           4   0%                    - seed7-to-previous-non-empty-line
           4   0%                     - seed7-inside-comment-p
           4   0%                      - syntax-ppss
           4   0%                         parse-partial-sexp
           3   0%                   - seed7--safe-current-line-defun-start-indent
           3   0%                    - seed7-to-block-backward
           3   0%                     - seed7-re-search-backward
           1   0%                        re-search-backward
           1   0%                      - run-with-timer
           1   0%                       - run-at-time
           1   0%                        - timer-set-time
           1   0%                           timer--time-setter
           1   0%                      - seed7-inside-comment-p
           1   0%                       - syntax-ppss
           1   0%                          parse-partial-sexp
           2   0%                   - seed7--current-line-nth-word
           2   0%                    - thing-at-point
           1   0%                     - bounds-of-thing-at-point
           1   0%                      - #<byte-code-function CD2>
           1   0%                       - forward-thing
           1   0%                          forward-word
           1   0%                     line-beginning-position
           1   0%                     looking-back
           1   0%                   - seed7-line-starts-with-any
           1   0%                      seed7-line-starts-with
         326   8%                  - seed7-line-inside-a-block-cached
         325   8%                   - seed7-line-inside-a-block
         293   7%                    - seed7--safe-enclosing-block-bounds
         293   7%                     - seed7--block-end-pos-for
         293   7%                      - seed7-to-block-forward
         284   7%                       - seed7-end-of-defun
         259   6%                        - seed7-top-block-name
         259   6%                         - seed7--to-top
         255   6%                          - seed7-re-search-backward
         179   4%                           - seed7-inside-comment-p
         179   4%                            - syntax-ppss
         179   4%                               parse-partial-sexp
          66   1%                           - run-with-timer
          66   1%                            - run-at-time
          35   0%                             - timer-activate
          35   0%                              - timer--activate
          35   0%                                 timer--time-less-p
          23   0%                             - timer-set-time
          23   0%                                timer--time-setter
           8   0%                               timer-relative-time
           7   0%                             re-search-backward
           2   0%                           - seed7-inside-string-p
           2   0%                            - syntax-ppss
           1   0%                             - #<byte-code-function 08A>
           1   0%                                set-syntax-table
           1   0%                               syntax-ppss--data
           2   0%                          - run-with-timer
           2   0%                           - run-at-time
           1   0%                            - timer-activate
           1   0%                             - timer--activate
           1   0%                                timer--time-less-p
           1   0%                              timer-relative-time
          15   0%                        - seed7-re-search-forward
           3   0%                         - seed7-inside-string-p
           3   0%                          - syntax-ppss
           3   0%                             parse-partial-sexp
           2   0%                         - seed7-inside-comment-p
           2   0%                          - syntax-ppss
           2   0%                             parse-partial-sexp
          10   0%                        - seed7-re-search-backward
           7   0%                         - seed7-inside-comment-p
           7   0%                          - syntax-ppss
           7   0%                             parse-partial-sexp
           3   0%                         - run-with-timer
           3   0%                          - run-at-time
           1   0%                             timer-relative-time
           1   0%                           - timer-activate
           1   0%                            - timer--activate
           1   0%                               timer--time-less-p
           1   0%                           - timer-set-time
           1   0%                              timer--time-setter
           7   0%                       - seed7-re-search-forward
           3   0%                        - seed7-inside-comment-p
           3   0%                         - syntax-ppss
           3   0%                            parse-partial-sexp
           3   0%                        - seed7-inside-string-p
           3   0%                         - syntax-ppss
           3   0%                            parse-partial-sexp
           2   0%                       - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
           2   0%                        - seed7-inside-comment-p
           2   0%                         - syntax-ppss
           2   0%                            parse-partial-sexp
          29   0%                    - seed7-re-search-backward
          18   0%                     - seed7-inside-comment-p
          18   0%                      - syntax-ppss
          18   0%                         parse-partial-sexp
           8   0%                     - run-with-timer
           8   0%                      - run-at-time
           5   0%                       - timer-activate
           5   0%                        - timer--activate
           5   0%                           timer--time-less-p
           3   0%                       - timer-set-time
           3   0%                          timer--time-setter
           3   0%                       re-search-backward
           1   0%                    - seed7-calc-indent
           1   0%                     - seed7-line-inside-parens-pair-column
           1   0%                      - seed7-line-inside-parens-pair
           1   0%                       - seed7-re-search-backward
           1   0%                        - seed7-inside-comment-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           1   0%                      seed7--indent-offset-for
          38   0%                  - seed7-line-inside-set-definition-block
          38   0%                   - seed7-re-search-backward
          22   0%                      re-search-backward
          16   0%                    - run-with-timer
          16   0%                     - run-at-time
           9   0%                      - timer-activate
           9   0%                       - timer--activate
           9   0%                          timer--time-less-p
           7   0%                      - timer-set-time
           7   0%                         timer--time-setter
          26   0%                  - seed7-line-inside-assign-statement-continuation
          15   0%                   - seed7-assign-op-pos
          15   0%                    - seed7-re-search-backward
          11   0%                     - seed7-inside-comment-p
          11   0%                      - syntax-ppss
          11   0%                         parse-partial-sexp
           3   0%                     - run-with-timer
           3   0%                      - run-at-time
           3   0%                       - timer-activate
           3   0%                        - timer--activate
           3   0%                           timer--time-less-p
           1   0%                     - seed7-inside-string-p
           1   0%                      - syntax-ppss
           1   0%                         parse-partial-sexp
           5   0%                   - seed7-statement-end-pos
           5   0%                    - seed7-forward-char-pos
           5   0%                     - seed7-re-search-forward
           3   0%                      - seed7-inside-string-p
           3   0%                       - syntax-ppss
           3   0%                          parse-partial-sexp
           2   0%                      - seed7-inside-comment-p
           2   0%                       - syntax-ppss
           2   0%                          parse-partial-sexp
          25   0%                  - seed7-comment-column
          22   0%                   - seed7-calc-indent
           5   0%                    - seed7-line-inside-parens-pair-column
           5   0%                     - seed7-line-inside-parens-pair
           5   0%                      - seed7-re-search-backward
           3   0%                       - seed7-inside-comment-p
           3   0%                        - syntax-ppss
           3   0%                           parse-partial-sexp
           1   0%                       - #<byte-code-function 119>
           1   0%                          cancel-timer
           1   0%                       - run-with-timer
           1   0%                        - run-at-time
           1   0%                           timer-relative-time
           5   0%                    - seed7-line-at-endof-array-definition-block
           5   0%                     - seed7-move-to-line
           5   0%                      - seed7-to-previous-non-empty-line
           5   0%                       - seed7-inside-comment-p
           5   0%                        - syntax-ppss
           5   0%                           parse-partial-sexp
           3   0%                    - seed7-line-is-defun-end
           2   0%                     - seed7-move-to-line
           2   0%                      - seed7-to-previous-non-empty-line
           2   0%                       - seed7-inside-comment-p
           2   0%                        - syntax-ppss
           2   0%                           parse-partial-sexp
           1   0%                     - seed7--safe-current-line-defun-start-indent
           1   0%                      - seed7-to-block-backward
           1   0%                       - seed7-re-search-backward
           1   0%                        - run-with-timer
           1   0%                         - run-at-time
           1   0%                          - timer-activate
           1   0%                           - timer--activate
           1   0%                              timer--time-less-p
           3   0%                    - seed7-line-after-short-func-end
           3   0%                     - seed7-move-to-line
