     79,363,649  99% - ...
     79,363,649  99%  - #<primitive-function call-interactively>
     79,363,649  99%   - funcall-interactively
     79,363,649  99%    - smex
     79,363,649  99%     - smex-read-and-run
     79,363,649  99%      - execute-extended-command
     79,363,649  99%       - command-execute
     79,363,649  99%        - call-interactively
     79,363,649  99%         - apply
     79,363,649  99%          - call-interactively@ido-cr+-record-current-command
     79,363,649  99%           - #<primitive-function call-interactively>
     79,363,649  99%            - funcall-interactively
     79,363,649  99%             - pel-profile-all
     79,363,649  99%              - pel-profile-dir
     79,363,649  99%               - pel-profile-indent
     79,363,649  99%                - pel-profile-indentation-test-of
     77,794,117  97%                 - call-interactively
     77,794,117  97%                  - apply
     77,794,117  97%                   - call-interactively@ido-cr+-record-current-command
     77,794,117  97%                    - #<primitive-function call-interactively>
     77,794,117  97%                     - funcall-interactively
     77,794,101  97%                      - seed7-complete-statement-or-indent
     77,794,101  97%                       - seed7-indent-region
     77,794,101  97%                        - seed7--indent-one-line
     77,794,101  97%                         - seed7-calc-indent
     23,823,392  29%                          - seed7-line-inside-parens-pair-column
     23,823,392  29%                           - seed7-line-inside-parens-pair
     22,828,848  28%                            - seed7-re-search-backward
     22,140,080  27%                             - run-with-timer
     22,140,080  27%                              - run-at-time
     10,795,584  13%                               - timer-activate
     10,795,584  13%                                - timer--activate
     10,795,584  13%                                   timer--time-less-p
      6,953,072   8%                                 timer-relative-time
      4,391,424   5%                               - timer-set-time
      4,391,424   5%                                  timer--time-setter
        688,768   0%                               re-search-backward
        994,544   1%                            - forward-sexp
        994,544   1%                               seed7--forward-sexp-function
     21,816,695  27%                          - seed7-line-is-defun-end
     10,652,288  13%                           - seed7-end-of-defun
      8,907,632  11%                            - seed7-top-block-name
      8,886,240  11%                             - seed7--to-top
      8,624,880  10%                              - seed7-re-search-backward
      8,624,880  10%                               - run-with-timer
      8,624,880  10%                                - run-at-time
      4,205,520   5%                                 - timer-activate
      4,205,520   5%                                  - timer--activate
      4,205,520   5%                                     timer--time-less-p
      2,708,640   3%                                   timer-relative-time
      1,710,720   2%                                 - timer-set-time
      1,710,720   2%                                    timer--time-setter
        261,360   0%                              - run-with-timer
        261,360   0%                               - run-at-time
        127,440   0%                                - timer-activate
        127,440   0%                                 - timer--activate
        127,440   0%                                    timer--time-less-p
         82,080   0%                                  timer-relative-time
         51,840   0%                                - timer-set-time
         51,840   0%                                   timer--time-setter
         21,392   0%                             - seed7--block-name
         13,208   0%                                match-string
        441,936   0%                              match-string-no-properties
        419,932   0%                            - seed7-re-search-forward
        235,228   0%                             - seed7-inside-comment-p
        235,228   0%                              - syntax-ppss
        235,228   0%                               - syntax-propertize
        235,228   0%                                  seed7-mode-syntax-propertize
        399,280   0%                              match-string
        261,360   0%                            - seed7-re-search-backward
        261,360   0%                             - run-with-timer
        261,360   0%                              - run-at-time
        127,440   0%                               - timer-activate
        127,440   0%                                - timer--activate
        127,440   0%                                   timer--time-less-p
         82,080   0%                                 timer-relative-time
         51,840   0%                               - timer-set-time
         51,840   0%                                  timer--time-setter
