         108  82% - ...
         108  82%  - pel-profile-dir
         108  82%   - pel-profile-indent
         108  82%    - pel-profile-indentation-test-of
         108  82%     - call-interactively
         108  82%      - apply
         108  82%       - call-interactively@ido-cr+-record-current-command
         108  82%        - #<primitive-function call-interactively>
         108  82%         - funcall-interactively
         108  82%          - seed7-complete-statement-or-indent
         108  82%           - seed7-indent-region
         108  82%            - seed7--indent-one-line
         108  82%             - seed7-calc-indent
          35  26%              - seed7--indent-search-boundary
          35  26%               - seed7--indent-search-boundary-uncached
          35  26%                - syntax-ppss
          35  26%                   parse-partial-sexp
          25  19%              - seed7-line-inside-parens-pair-column
          25  19%               - seed7-line-inside-parens-pair
          24  18%                - seed7-re-search-backward
          22  16%                 - run-with-timer
          22  16%                  - run-at-time
          18  13%                   - timer-activate
          18  13%                    - timer--activate
          18  13%                       timer--time-less-p
           4   3%                   - timer-set-time
           4   3%                      timer--time-setter
           2   1%                 - seed7-inside-comment-p
           2   1%                  - syntax-ppss
           2   1%                     parse-partial-sexp
           1   0%                - forward-sexp
           1   0%                   seed7--forward-sexp-function
          22  16%              - seed7-line-inside-a-block-cached
          22  16%               - seed7-line-inside-a-block
          15  11%                - seed7--safe-enclosing-block-bounds
          15  11%                 - seed7--block-end-pos-for
          15  11%                  - seed7-to-block-forward
          10   7%                   - seed7-re-search-forward
           6   4%                    - seed7-inside-string-p
           6   4%                     - syntax-ppss
           6   4%                        parse-partial-sexp
           3   2%                    - seed7-inside-comment-p
           3   2%                     - syntax-ppss
           3   2%                        parse-partial-sexp
           4   3%                   - seed7-end-of-defun
           4   3%                    - seed7-top-block-name
           4   3%                     - seed7--to-top
           4   3%                      - seed7-re-search-backward
           2   1%                       - run-with-timer
           2   1%                        - run-at-time
           2   1%                         - timer-activate
           2   1%                          - timer--activate
           2   1%                             timer--time-less-p
           2   1%                       - seed7-inside-comment-p
           2   1%                        - syntax-ppss
           2   1%                           parse-partial-sexp
           7   5%                - seed7-re-search-backward
           5   3%                 - run-with-timer
           5   3%                  - run-at-time
           4   3%                   - timer-activate
           4   3%                    - timer--activate
           4   3%                       timer--time-less-p
           1   0%                   - timer-set-time
           1   0%                      timer--time-setter
           2   1%                 - seed7-inside-comment-p
           2   1%                  - syntax-ppss
           2   1%                     parse-partial-sexp
           7   5%              - seed7-comment-column
           7   5%               - seed7-calc-indent
           2   1%                - seed7-line-is-defun-end
           2   1%                 - seed7-move-to-line
           2   1%                  - seed7-to-previous-non-empty-line
           2   1%                   - seed7-inside-comment-p
           2   1%                    - syntax-ppss
           2   1%                       parse-partial-sexp
           2   1%                - seed7-line-inside-parens-pair-column
           2   1%                 - seed7-line-inside-parens-pair
           2   1%                  - seed7-re-search-backward
           2   1%                   - run-with-timer
           2   1%                    - run-at-time
           2   1%                     - timer-activate
           2   1%                      - timer--activate
           2   1%                         timer--time-less-p
           1   0%                - seed7-line-inside-set-definition-block
