          34  79% - ...
          34  79%  - pel-profile-dir
          34  79%   - pel-profile-indent
          34  79%    - pel-profile-indentation-test-of
          34  79%     - call-interactively
          34  79%      - apply
          34  79%       - call-interactively@ido-cr+-record-current-command
          34  79%        - #<primitive-function call-interactively>
          34  79%         - funcall-interactively
          34  79%          - seed7-complete-statement-or-indent
          34  79%           - seed7-indent-region
          34  79%            - seed7--indent-one-line
          34  79%             - seed7-calc-indent
           9  20%              - seed7-line-inside-a-block-cached
           9  20%               - seed7-line-inside-a-block
           7  16%                - seed7-re-search-backward
           6  13%                 - run-with-timer
           6  13%                  - run-at-time
           3   6%                   - timer-set-time
           3   6%                      timer--time-setter
           3   6%                   - timer-activate
           3   6%                    - timer--activate
           3   6%                       timer--time-less-p
           1   2%                 - seed7-inside-comment-p
           1   2%                  - syntax-ppss
           1   2%                     parse-partial-sexp
           2   4%                - seed7--safe-enclosing-block-bounds
           2   4%                 - seed7--block-end-pos-for
           2   4%                  - seed7-to-block-forward
           1   2%                   - seed7--current-line-nth-word
           1   2%                    - thing-at-point
           1   2%                     - bounds-of-thing-at-point
           1   2%                      - #<byte-code-function F4A>
           1   2%                       - forward-thing
           1   2%                          forward-word
           1   2%                   - seed7-re-search-forward
           1   2%                    - seed7-inside-string-p
           1   2%                     - syntax-ppss
           1   2%                        parse-partial-sexp
           8  18%              - seed7--indent-search-boundary
           8  18%               - seed7--indent-search-boundary-uncached
           8  18%                - syntax-ppss
           8  18%                   parse-partial-sexp
           5  11%              - seed7-line-inside-parens-pair-column
           5  11%               - seed7-line-inside-parens-pair
           5  11%                - seed7-re-search-backward
           5  11%                 - run-with-timer
           5  11%                  - run-at-time
           5  11%                   - timer-activate
           5  11%                    - timer--activate
           5  11%                       timer--time-less-p
           3   6%              - seed7-line-inside-array-definition-block
           3   6%               - seed7-re-search-backward
           3   6%                - run-with-timer
           3   6%                 - run-at-time
           3   6%                  - timer-activate
           3   6%                   - timer--activate
           3   6%                      timer--time-less-p
           2   4%              - seed7-comment-column
           2   4%               - seed7-calc-indent
           1   2%                - seed7-line-starts-with-open-paren-after-logic-operator
           1   2%                 - seed7-move-to-line
           1   2%                  - seed7-to-previous-non-empty-line
           1   2%                   - seed7-inside-comment-p
           1   2%                    - syntax-ppss
           1   2%                       parse-partial-sexp
           1   2%                - seed7-line-after-short-func-end
           1   2%                 - seed7-move-to-line
           1   2%                  - seed7-to-previous-non-empty-line
           1   2%                   - seed7-inside-comment-p
           1   2%                    - syntax-ppss
           1   2%                       parse-partial-sexp
           2   4%              - seed7-line-inside-func-return-statement
           2   4%               - seed7-re-search-backward
           2   4%                - run-with-timer
           2   4%                 - run-at-time
           2   4%                  - timer-activate
           2   4%                   - timer--activate
           2   4%                      timer--time-less-p
           1   2%              - seed7-line-is-defun-end
           1   2%               - seed7-move-to-line
           1   2%                - seed7-to-previous-non-empty-line
           1   2%                 - seed7-inside-comment-p
           1   2%                  - syntax-ppss
           1   2%                     parse-partial-sexp
           1   2%              - seed7-line-inside-until-logic-expression
           1   2%               - seed7-re-search-backward
           1   2%                - run-with-timer
           1   2%                 - run-at-time
           1   2%                  - timer-activate
           1   2%                   - timer--activate
           1   2%                      timer--time-less-p
           1   2%              - seed7-line-inside-assign-statement-continuation
           1   2%               - seed7-assign-op-pos
           1   2%                - seed7-re-search-backward
           1   2%                 - seed7-inside-comment-p
           1   2%                  - syntax-ppss
           1   2%                     parse-partial-sexp
           1   2%              - seed7-line-inside-argument-list-section
           1   2%               - seed7-re-search-backward
           1   2%                - run-with-timer
           1   2%                 - run-at-time
           1   2%                  - timer-set-time
           1   2%                     timer--time-setter
           1   2%              - seed7-line-inside-logic-check-expression
           1   2%               - seed7-to-previous-line-starts-with
           1   2%                - seed7-re-search-backward
           1   2%                 - run-with-timer
           1   2%                  - run-at-time
           1   2%                   - timer-activate
           1   2%                    - timer--activate
           1   2%                       timer--time-less-p
           9  20%   Automatic GC
