          19  73% - ...
          19  73%  - pel-profile-dir
          19  73%   - pel-profile-indent
          19  73%    - pel-profile-indentation-test-of
          19  73%     - call-interactively
          19  73%      - apply
          19  73%       - call-interactively@ido-cr+-record-current-command
          19  73%        - #<primitive-function call-interactively>
          19  73%         - funcall-interactively
          19  73%          - seed7-complete-statement-or-indent
          19  73%           - seed7-indent-region
          19  73%            - seed7--indent-one-line
          19  73%             - seed7-calc-indent
           6  23%              - seed7-line-inside-a-block-cached
           6  23%               - seed7-line-inside-a-block
           6  23%                - seed7--safe-enclosing-block-bounds
           6  23%                 - seed7--block-end-pos-for
           6  23%                  - seed7-to-block-forward
           5  19%                   - seed7-end-of-defun
           5  19%                    - seed7-top-block-name
           4  15%                     - seed7--to-top
           4  15%                      - seed7-re-search-backward
           3  11%                       - run-with-timer
           3  11%                        - run-at-time
           3  11%                         - timer-activate
           3  11%                          - timer--activate
           3  11%                             timer--time-less-p
           1   3%                       - seed7-inside-comment-p
           1   3%                        - syntax-ppss
           1   3%                           parse-partial-sexp
           1   3%                     - seed7--block-name
           1   3%                      - seed7-re-search-forward
           1   3%                       - seed7-inside-string-p
           1   3%                        - syntax-ppss
           1   3%                           parse-partial-sexp
           1   3%                   - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
           1   3%                    - seed7-inside-comment-p
           1   3%                     - syntax-ppss
           1   3%                        parse-partial-sexp
           3  11%              - seed7-comment-column
           3  11%               - seed7-calc-indent
           1   3%                - seed7-line-after-short-func-end
           1   3%                 - seed7-move-to-line
           1   3%                  - seed7-to-previous-non-empty-line
           1   3%                   - seed7-inside-comment-p
           1   3%                    - syntax-ppss
           1   3%                       parse-partial-sexp
           1   3%                - seed7-line-inside-parens-pair-column
           1   3%                 - seed7-line-inside-parens-pair
           1   3%                  - seed7-re-search-backward
           1   3%                   - seed7-inside-comment-p
           1   3%                    - syntax-ppss
           1   3%                       parse-partial-sexp
           1   3%                - seed7-line-at-endof-set-definition-block
           1   3%                 - seed7-move-to-line
           1   3%                  - seed7-to-previous-non-empty-line
           1   3%                   - seed7-inside-comment-p
           1   3%                    - syntax-ppss
           1   3%                       parse-partial-sexp
           3  11%              - seed7-line-inside-assign-statement-continuation
           3  11%               - seed7-statement-end-pos
           3  11%                - seed7-forward-char-pos
           3  11%                 - seed7-re-search-forward
           2   7%                  - seed7-inside-string-p
           2   7%                   - syntax-ppss
           2   7%                      parse-partial-sexp
           1   3%                  - seed7-inside-comment-p
           1   3%                   - syntax-ppss
           1   3%                      parse-partial-sexp
           2   7%              - seed7-line-inside-parens-pair-column
           2   7%               - seed7-line-inside-parens-pair
           2   7%                - seed7-re-search-backward
           2   7%                 - seed7-inside-string-p
           2   7%                  - syntax-ppss
           2   7%                     parse-partial-sexp
           2   7%              - seed7-line-is-defun-end
           1   3%               - seed7-beg-of-defun
           1   3%                - seed7-re-search-backward
           1   3%                 - seed7-inside-comment-p
           1   3%                  - syntax-ppss
           1   3%                     parse-partial-sexp
           1   3%               - seed7-move-to-line
           1   3%                - seed7-to-previous-non-empty-line
           1   3%                 - seed7-inside-comment-p
           1   3%                  - syntax-ppss
           1   3%                     parse-partial-sexp
           1   3%              - seed7-current-line-start-inside-comment-p
           1   3%               - seed7-inside-comment-p
           1   3%                - syntax-ppss
           1   3%                   parse-partial-sexp
           1   3%              - seed7-line-inside-logic-check-expression
           1   3%               - seed7-to-previous-line-starts-with
           1   3%                - seed7-re-search-backward
           1   3%                 - run-with-timer
           1   3%                  - run-at-time
           1   3%                   - timer-activate
           1   3%                    - timer--activate
           1   3%                       timer--time-less-p
           1   3%              - seed7-line-inside-set-definition-block
           1   3%               - seed7-re-search-backward
           1   3%                - run-with-timer
           1   3%                 - run-at-time
           1   3%                  - timer-set-time
           1   3%                     timer--time-setter
           7  26%   Automatic GC
