        3589  91% - ...
        3589  91%  - pel-profile-indentation-test-of
        3589  91%   - call-interactively
        3589  91%    - apply
        3589  91%     - call-interactively@ido-cr+-record-current-command
        3589  91%      - #<primitive-function call-interactively>
        3589  91%       - funcall-interactively
        3574  91%        - pel-profile-all
        3574  91%         - pel-profile-dir
        3574  91%          - pel-profile-indent
        3574  91%           - pel-profile-indentation-test-of
        3574  91%            - call-interactively
        3574  91%             - apply
        3574  91%              - call-interactively@ido-cr+-record-current-command
        3574  91%               - #<primitive-function call-interactively>
        3574  91%                - funcall-interactively
        3574  91%                 - seed7-complete-statement-or-indent
        3574  91%                  - seed7-indent-region
        3574  91%                   - seed7--indent-one-line
        3570  91%                    - seed7-calc-indent
        2411  61%                     - seed7--indent-search-boundary
        2411  61%                      - seed7--indent-search-boundary-uncached
        2387  60%                       - syntax-ppss
        2378  60%                          parse-partial-sexp
           3   0%                          syntax-ppss--update-stats
           1   0%                          syntax-table
           1   0%                          syntax-ppss-toplevel-pos
           9   0%                         seed7-to-indent
         539  13%                     - seed7-line-is-defun-end
         482  12%                      - seed7-end-of-defun
         394  10%                       - seed7-top-block-name
         394  10%                        - seed7--to-top
         393  10%                         - seed7-re-search-backward
         309   7%                          - seed7-inside-comment-p
         309   7%                           - syntax-ppss
         308   7%                              parse-partial-sexp
          70   1%                          - run-with-timer
          70   1%                           - run-at-time
          45   1%                            - timer-activate
          45   1%                             - timer--activate
          45   1%                              - timer--time-less-p
           1   0%                                 timer--time
          16   0%                            - timer-set-time
          16   0%                               timer--time-setter
           8   0%                              timer-relative-time
          11   0%                            re-search-backward
           2   0%                          - seed7-inside-string-p
           1   0%                           - syntax-ppss
           1   0%                              syntax-table
           1   0%                         - run-with-timer
           1   0%                          - run-at-time
           1   0%                           - timer-set-time
           1   0%                              timer--time-setter
          77   1%                       - seed7-re-search-forward
          39   0%                        - seed7-inside-comment-p
          39   0%                         - syntax-ppss
          34   0%                            parse-partial-sexp
           5   0%                          - syntax-propertize
           4   0%                             seed7-mode-syntax-propertize
          17   0%                        - seed7-inside-string-p
          17   0%                         - syntax-ppss
          17   0%                            parse-partial-sexp
           7   0%                       - seed7-re-search-backward
           3   0%                        - run-with-timer
           3   0%                         - run-at-time
           2   0%                          - timer-activate
           2   0%                           - timer--activate
           2   0%                              timer--time-less-p
           1   0%                            timer-relative-time
           3   0%                        - seed7-inside-comment-p
           3   0%                         - syntax-ppss
           3   0%                            parse-partial-sexp
           1   0%                          re-search-backward
           1   0%                         match-string-no-properties
          46   1%                      - seed7-beg-of-defun
          31   0%                       - seed7-re-search-backward
          27   0%                        - seed7-inside-comment-p
          27   0%                         - syntax-ppss
          27   0%                            parse-partial-sexp
           2   0%                          re-search-backward
           2   0%                        - seed7-inside-string-p
           2   0%                         - syntax-ppss
           2   0%                            parse-partial-sexp
          14   0%                       - seed7-re-search-backward-closest
          14   0%                        - seed7-re-search-backward
          13   0%                           re-search-backward
           1   0%                         - seed7-inside-comment-p
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
           9   0%                      - seed7-move-to-line
           9   0%                       - seed7-to-previous-non-empty-line
           8   0%                        - seed7-inside-comment-p
           7   0%                         - syntax-ppss
           7   0%                            parse-partial-sexp
           1   0%                        seed7--current-line-nth-word
           1   0%                      - seed7-line-starts-with-any
           1   0%                         seed7-line-starts-with
         334   8%                     - seed7-line-inside-a-block-cached
         334   8%                      - seed7-line-inside-a-block
         296   7%                       - seed7--safe-enclosing-block-bounds
         296   7%                        - seed7--block-end-pos-for
         296   7%                         - seed7-to-block-forward
         273   6%                          - seed7-end-of-defun
         256   6%                           - seed7-top-block-name
         256   6%                            - seed7--to-top
         254   6%                             - seed7-re-search-backward
         199   5%                              - seed7-inside-comment-p
         199   5%                               - syntax-ppss
         197   5%                                  parse-partial-sexp
           1   0%                                  syntax-table
           1   0%                                  syntax-ppss--update-stats
          50   1%                              - run-with-timer
          50   1%                               - run-at-time
          32   0%                                - timer-activate
          32   0%                                 - timer--activate
          32   0%                                    timer--time-less-p
          14   0%                                - timer-set-time
          14   0%                                   timer--time-setter
           4   0%                                  timer-relative-time
           3   0%                              - seed7-inside-string-p
           2   0%                               - syntax-ppss
           2   0%                                  parse-partial-sexp
           2   0%                                re-search-backward
           1   0%                               seed7-to-indent
           9   0%                           - seed7-re-search-backward
           9   0%                            - seed7-inside-comment-p
           9   0%                             - syntax-ppss
           9   0%                                parse-partial-sexp
           8   0%                           - seed7-re-search-forward
           1   0%                            - seed7-inside-comment-p
           1   0%                             - syntax-ppss
           1   0%                                parse-partial-sexp
           1   0%                            - seed7-inside-string-p
           1   0%                             - syntax-ppss
           1   0%                                parse-partial-sexp
          16   0%                          - seed7-re-search-forward
           8   0%                           - seed7-inside-comment-p
           8   0%                            - syntax-ppss
           8   0%                               parse-partial-sexp
           6   0%                           - seed7-inside-string-p
           6   0%                            - syntax-ppss
