     30,070,890  99% - ...
     30,070,890  99%  - #<primitive-function call-interactively>
     30,070,890  99%   - funcall-interactively
     30,070,890  99%    - smex
     30,070,890  99%     - smex-read-and-run
     30,070,890  99%      - execute-extended-command
     30,070,890  99%       - command-execute
     30,070,890  99%        - call-interactively
     30,070,890  99%         - apply
     30,070,890  99%          - call-interactively@ido-cr+-record-current-command
     30,070,890  99%           - #<primitive-function call-interactively>
     30,070,890  99%            - funcall-interactively
     30,070,890  99%             - pel-profile-all
     30,070,890  99%              - pel-profile-dir
     30,070,890  99%               - pel-profile-indent
     30,070,890  99%                - pel-profile-indentation-test-of
     28,501,358  94%                 - call-interactively
     28,501,358  94%                  - apply
     28,501,358  94%                   - call-interactively@ido-cr+-record-current-command
     28,501,358  94%                    - #<primitive-function call-interactively>
     28,501,358  94%                     - funcall-interactively
     28,501,342  94%                      - seed7-complete-statement-or-indent
     28,501,342  94%                       - seed7-indent-region
     28,501,342  94%                        - seed7--indent-one-line
     28,501,342  94%                         - seed7-calc-indent
     19,966,064  66%                          - seed7-line-is-defun-end
     14,225,901  47%                           - seed7-end-of-defun
     13,161,336  43%                            - seed7-top-block-name
     13,153,152  43%                             - seed7--to-top
     12,903,408  42%                              - seed7-re-search-backward
     12,903,408  42%                               - run-with-timer
     12,903,408  42%                                - run-at-time
      6,291,760  20%                                 - timer-activate
      6,291,760  20%                                  - timer--activate
      6,291,760  20%                                     timer--time-less-p
      4,052,288  13%                                   timer-relative-time
      2,559,360   8%                                 - timer-set-time
      2,559,360   8%                                    timer--time-setter
        249,744   0%                              - run-with-timer
        249,744   0%                               - run-at-time
        121,776   0%                                - timer-activate
        121,776   0%                                 - timer--activate
        121,776   0%                                    timer--time-less-p
         78,432   0%                                  timer-relative-time
         49,536   0%                                - timer-set-time
         49,536   0%                                   timer--time-setter
          8,184   0%                             - seed7--block-name
          8,184   0%                                match-string
        444,314   1%                            - seed7-re-search-forward
        242,866   0%                             - seed7-inside-comment-p
        242,866   0%                              - syntax-ppss
        242,866   0%                               - syntax-propertize
        242,866   0%                                  seed7-mode-syntax-propertize
        249,744   0%                            - seed7-re-search-backward
        249,744   0%                             - run-with-timer
        249,744   0%                              - run-at-time
        121,776   0%                               - timer-activate
        121,776   0%                                - timer--activate
        121,776   0%                                   timer--time-less-p
         78,432   0%                                 timer-relative-time
         49,536   0%                               - timer-set-time
         49,536   0%                                  timer--time-setter
         32,736   0%                              match-string
          8,184   0%                              match-string-no-properties
      4,010,316  13%                           - seed7-beg-of-defun
      2,762,208   9%                            - seed7-re-search-backward
      2,563,264   8%                             - run-with-timer
      2,563,264   8%                              - run-at-time
      1,249,856   4%                               - timer-activate
      1,249,856   4%                                - timer--activate
      1,249,856   4%                                   timer--time-less-p
        804,992   2%                                 timer-relative-time
        508,416   1%                               - timer-set-time
        508,416   1%                                  timer--time-setter
        198,944   0%                               re-search-backward
        525,795   1%                            - seed7-top-block-name
        277,064   0%                             - seed7--to-top
        193,816   0%                              - seed7-re-search-backward
        110,568   0%                                 re-search-backward
         83,248   0%                               - run-with-timer
         83,248   0%                                - run-at-time
         40,592   0%                                 - timer-activate
         40,592   0%                                  - timer--activate
         40,592   0%                                     timer--time-less-p
         26,144   0%                                   timer-relative-time
         16,512   0%                                 - timer-set-time
         16,512   0%                                    timer--time-setter
         83,248   0%                              - run-with-timer
         83,248   0%                               - run-at-time
         40,592   0%                                - timer-activate
         40,592   0%                                 - timer--activate
         40,592   0%                                    timer--time-less-p
         26,144   0%                                  timer-relative-time
         16,512   0%                                - timer-set-time
         16,512   0%                                   timer--time-setter
        248,731   0%                             - seed7--block-name
        248,731   0%                                seed7-re-search-forward
        429,552   1%                            - seed7-re-search-backward-closest
        429,552   1%                             - seed7-re-search-backward
        251,440   0%                                re-search-backward
        178,112   0%                              - run-with-timer
        178,112   0%                               - run-at-time
         86,848   0%                                - timer-activate
         86,848   0%                                 - timer--activate
         86,848   0%                                    timer--time-less-p
         55,936   0%                                  timer-relative-time
         35,328   0%                                - timer-set-time
         35,328   0%                                   timer--time-setter
          8,184   0%                              match-string
      1,205,599   4%                           - seed7-line-starts-with-any
      1,205,599   4%                              seed7-line-starts-with
        304,480   1%                             looking-back
        108,488   0%                           - seed7--current-line-nth-word
        108,488   0%                            - thing-at-point
        100,304   0%                             - bounds-of-thing-at-point
         51,200   0%                                re-search-forward
         32,736   0%                              - #<byte-code-function 651>
         32,736   0%                               - forward-thing
         32,736   0%                                  format
         16,368   0%                              - #<byte-code-function 3AF>
         16,368   0%                               - forward-thing
         16,368   0%                                  format
         73,720   0%                           - seed7-move-to-line
         73,720   0%                              seed7-to-previous-non-empty-line
         35,624   0%                           - seed7-line-is-procfunc-beg-of-decl
         35,624   0%                              seed7-line-starts-with
          1,936   0%                           - seed7--safe-current-line-defun-start-indent
          1,936   0%                            - seed7-to-block-backward
          1,936   0%                             - seed7-re-search-backward
          1,936   0%                              - run-with-timer
          1,936   0%                               - run-at-time
            944   0%                                - timer-activate
            944   0%                                 - timer--activate
            944   0%                                    timer--time-less-p
            608   0%                                  timer-relative-time
            384   0%                                - timer-set-time
            384   0%                                   timer--time-setter
      3,870,105  12%                          - seed7-line-inside-a-block-cached
      3,870,105  12%                           - seed7-line-inside-a-block
      2,840,820   9%                            - seed7-calc-indent
      2,076,301   6%                             - seed7-line-is-defun-end
      1,489,349   4%                              - seed7-end-of-defun
      1,361,008   4%                               - seed7-top-block-name
      1,361,008   4%                                - seed7--to-top
      1,334,872   4%                                 - seed7-re-search-backward
      1,334,872   4%                                  - run-with-timer
      1,334,872   4%                                   - run-at-time
        650,888   2%                                    - timer-activate
        650,888   2%                                     - timer--activate
        650,888   2%                                        timer--time-less-p
        419,216   1%                                      timer-relative-time
        264,768   0%                                    - timer-set-time
        264,768   0%                                       timer--time-setter
         26,136   0%                                 - run-with-timer
         26,136   0%                                  - run-at-time
         12,744   0%                                   - timer-activate
         12,744   0%                                    - timer--activate
         12,744   0%                                       timer--time-less-p
          8,208   0%                                     timer-relative-time
          5,184   0%                                   - timer-set-time
          5,184   0%                                      timer--time-setter
         64,293   0%                               - seed7-re-search-forward
         37,421   0%                                - seed7-inside-comment-p
         37,421   0%                                 - syntax-ppss
         37,421   0%                                  - syntax-propertize
         37,421   0%                                     seed7-mode-syntax-propertize
