      6,126,331  99% - ...
      6,126,331  99%  - #<primitive-function call-interactively>
      6,126,331  99%   - funcall-interactively
      6,126,331  99%    - smex
      6,126,331  99%     - smex-read-and-run
      6,126,331  99%      - execute-extended-command
      6,126,331  99%       - command-execute
      6,126,331  99%        - call-interactively
      6,126,331  99%         - apply
      6,126,331  99%          - call-interactively@ido-cr+-record-current-command
      6,126,331  99%           - #<primitive-function call-interactively>
      6,126,331  99%            - funcall-interactively
      6,126,331  99%             - pel-profile-all
      6,126,331  99%              - pel-profile-dir
      6,126,331  99%               - pel-profile-indent
      6,126,331  99%                - pel-profile-indentation-test-of
      4,565,247  74%                 - call-interactively
      4,565,247  74%                  - apply
      4,565,247  74%                   - call-interactively@ido-cr+-record-current-command
      4,565,247  74%                    - #<primitive-function call-interactively>
      4,565,247  74%                     - funcall-interactively
      4,565,231  74%                      - seed7-complete-statement-or-indent
      4,565,231  74%                       - seed7-indent-region
      4,565,231  74%                        - seed7--indent-one-line
      4,565,231  74%                         - seed7-calc-indent
      1,030,555  16%                          - seed7-line-is-defun-end
        282,963   4%                           - seed7-beg-of-defun
        103,560   1%                            - seed7-re-search-backward
         81,216   1%                             - run-with-timer
         81,216   1%                              - run-at-time
         45,504   0%                               - timer-activate
         45,504   0%                                - timer--activate
         45,504   0%                                   timer--time-less-p
         21,888   0%                                 timer-relative-time
         13,824   0%                               - timer-set-time
         13,824   0%                                  timer--time-setter
         22,344   0%                               re-search-backward
         66,899   1%                            - seed7-re-search-backward-closest
         66,899   1%                             - seed7-re-search-backward
         39,827   0%                                re-search-backward
         27,072   0%                              - run-with-timer
         27,072   0%                               - run-at-time
         15,168   0%                                - timer-activate
         15,168   0%                                 - timer--activate
         15,168   0%                                    timer--time-less-p
          7,296   0%                                  timer-relative-time
          4,608   0%                                - timer-set-time
          4,608   0%                                   timer--time-setter
         55,996   0%                            - seed7-top-block-name
         34,912   0%                             - seed7--to-top
         23,632   0%                              - seed7-re-search-backward
         12,880   0%                               - run-with-timer
         12,880   0%                                - run-at-time
          7,920   0%                                 - timer-activate
          7,920   0%                                  - timer--activate
          7,920   0%                                     timer--time-less-p
          3,040   0%                                   timer-relative-time
          1,920   0%                                 - timer-set-time
          1,920   0%                                    timer--time-setter
         10,752   0%                                 re-search-backward
         11,280   0%                              - run-with-timer
         11,280   0%                               - run-at-time
          6,320   0%                                - timer-activate
          6,320   0%                                 - timer--activate
          6,320   0%                                    timer--time-less-p
          3,040   0%                                  timer-relative-time
          1,920   0%                                - timer-set-time
          1,920   0%                                   timer--time-setter
         21,084   0%                             - seed7--block-name
         21,084   0%                                seed7-re-search-forward
          8,184   0%                              match-string-no-properties
        248,984   4%                           - seed7-end-of-defun
        162,640   2%                            - seed7-top-block-name
        162,640   2%                             - seed7--to-top
        128,800   2%                              - seed7-re-search-backward
        128,800   2%                               - run-with-timer
        128,800   2%                                - run-at-time
         79,200   1%                                 - timer-activate
         79,200   1%                                  - timer--activate
         79,200   1%                                     timer--time-less-p
         30,400   0%                                   timer-relative-time
         19,200   0%                                 - timer-set-time
         19,200   0%                                    timer--time-setter
         33,840   0%                              - run-with-timer
         33,840   0%                               - run-at-time
         18,960   0%                                - timer-activate
         18,960   0%                                 - timer--activate
         18,960   0%                                    timer--time-less-p
          9,120   0%                                  timer-relative-time
          5,760   0%                                - timer-set-time
          5,760   0%                                   timer--time-setter
         33,840   0%                            - seed7-re-search-backward
         33,840   0%                             - run-with-timer
         33,840   0%                              - run-at-time
         18,960   0%                               - timer-activate
         18,960   0%                                - timer--activate
         18,960   0%                                   timer--time-less-p
          9,120   0%                                 timer-relative-time
          5,760   0%                               - timer-set-time
          5,760   0%                                  timer--time-setter
         20,480   0%                              seed7-re-search-forward
          8,184   0%                              match-string-no-properties
        212,079   3%                             looking-back
        191,329   3%                           - seed7-line-starts-with-any
        191,329   3%                              seed7-line-starts-with
         62,464   1%                           - seed7-move-to-line
         62,464   1%                              seed7-to-previous-non-empty-line
         19,432   0%                           - seed7--safe-current-line-defun-start-indent
         19,432   0%                            - seed7-to-block-backward
         19,432   0%                             - seed7-re-search-backward
         10,152   0%                              - run-with-timer
         10,152   0%                               - run-at-time
          5,688   0%                                - timer-activate
          5,688   0%                                 - timer--activate
          5,688   0%                                    timer--time-less-p
          2,736   0%                                  timer-relative-time
          1,728   0%                                - timer-set-time
          1,728   0%                                   timer--time-setter
          9,280   0%                                re-search-backward
         13,304   0%                           - seed7--current-line-nth-word
         13,304   0%                            - thing-at-point
         13,304   0%                             - bounds-of-thing-at-point
          8,184   0%                              - #<byte-code-function 1AA>
          8,184   0%                               - forward-thing
          8,184   0%                                  format
          5,120   0%                                re-search-forward
        908,172  14%                          - seed7-line-inside-a-block-cached
        908,172  14%                           - seed7-line-inside-a-block
        395,065   6%                            - seed7--safe-enclosing-block-bounds
        395,065   6%                             - seed7--block-end-pos-for
        366,393   5%                              - seed7-to-block-forward
        206,120   3%                               - seed7-end-of-defun
        183,560   2%                                - seed7-top-block-name
        183,560   2%                                 - seed7--to-top
        161,000   2%                                  - seed7-re-search-backward
        161,000   2%                                   - run-with-timer
        161,000   2%                                    - run-at-time
         99,000   1%                                     - timer-activate
         99,000   1%                                      - timer--activate
         99,000   1%                                         timer--time-less-p
         38,000   0%                                       timer-relative-time
         24,000   0%                                     - timer-set-time
         24,000   0%                                        timer--time-setter
         22,560   0%                                  - run-with-timer
         22,560   0%                                   - run-at-time
         12,640   0%                                    - timer-activate
         12,640   0%                                     - timer--activate
         12,640   0%                                        timer--time-less-p
          6,080   0%                                      timer-relative-time
          3,840   0%                                    - timer-set-time
          3,840   0%                                       timer--time-setter
         22,560   0%                                - seed7-re-search-backward
         22,560   0%                                 - run-with-timer
         22,560   0%                                  - run-at-time
         12,640   0%                                   - timer-activate
         12,640   0%                                    - timer--activate
         12,640   0%                                       timer--time-less-p
          6,080   0%                                     timer-relative-time
