         189  79% - ...
         189  79%  - funcall-interactively
         189  79%   - pel-profile-all
         189  79%    - pel-profile-dir
         189  79%     - pel-profile-indent
         189  79%      - pel-profile-indentation-test-of
         189  79%       - call-interactively
         189  79%        - apply
         189  79%         - call-interactively@ido-cr+-record-current-command
         189  79%          - #<primitive-function call-interactively>
         189  79%           - funcall-interactively
         102  42%            - seed7-complete-statement-or-indent
         102  42%             - seed7-indent-region
         102  42%              - seed7--indent-one-line
         102  42%               - seed7-calc-indent
          33  13%                - seed7-line-inside-a-block-cached
          33  13%                 - seed7-line-inside-a-block
          21   8%                  - seed7--safe-enclosing-block-bounds
          21   8%                   - seed7--block-end-pos-for
          21   8%                    - seed7-to-block-forward
          13   5%                     - seed7-end-of-defun
          12   5%                      - seed7-top-block-name
          12   5%                       - seed7--to-top
          12   5%                        - seed7-re-search-backward
           6   2%                         - run-with-timer
           6   2%                          - run-at-time
           3   1%                           - timer-activate
           3   1%                            - timer--activate
           3   1%                               timer--time-less-p
           2   0%                           - timer-set-time
           2   0%                              timer--time-setter
           1   0%                             timer-relative-time
           4   1%                         - seed7-inside-comment-p
           4   1%                          - syntax-ppss
           4   1%                             parse-partial-sexp
           2   0%                           re-search-backward
           1   0%                      - seed7-re-search-backward
           1   0%                       - seed7-inside-comment-p
           1   0%                        - syntax-ppss
           1   0%                           parse-partial-sexp
           4   1%                     - seed7-re-search-forward
           2   0%                      - seed7-inside-string-p
           1   0%                       - #<byte-code-function 254>
           1   0%                          set-match-data
           1   0%                      - seed7-inside-comment-p
           1   0%                       - syntax-ppss
           1   0%                          parse-partial-sexp
           2   0%                     - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
           2   0%                      - seed7-inside-comment-p
           2   0%                       - syntax-ppss
           2   0%                          parse-partial-sexp
           2   0%                     - seed7-inside-comment-p
           2   0%                      - syntax-ppss
           2   0%                         parse-partial-sexp
          10   4%                  - seed7-re-search-backward
           6   2%                   - run-with-timer
           6   2%                    - run-at-time
           5   2%                     - timer-activate
           5   2%                      - timer--activate
           5   2%                       - timer--time-less-p
           1   0%                          timer--time
           1   0%                       timer-relative-time
           4   1%                   - seed7-inside-comment-p
           4   1%                    - syntax-ppss
           4   1%                       parse-partial-sexp
           1   0%                  - seed7-calc-indent
           1   0%                   - seed7-line-at-endof-array-definition-block
           1   0%                    - seed7-move-to-line
           1   0%                     - seed7-to-previous-non-empty-line
           1   0%                      - seed7-inside-comment-p
           1   0%                       - syntax-ppss
           1   0%                          parse-partial-sexp
           1   0%                    replace-regexp-in-string
          21   8%                - seed7-comment-column
          18   7%                 - seed7-calc-indent
           5   2%                  - seed7-line-inside-parens-pair-column
           5   2%                   - seed7-line-inside-parens-pair
           5   2%                    - seed7-re-search-backward
           4   1%                     - seed7-inside-comment-p
           4   1%                      - syntax-ppss
           4   1%                         parse-partial-sexp
           1   0%                       re-search-backward
           3   1%                  - seed7-line-is-defun-end
           3   1%                   - seed7-move-to-line
           3   1%                    - seed7-to-previous-non-empty-line
           3   1%                     - seed7-inside-comment-p
           3   1%                      - syntax-ppss
           3   1%                         parse-partial-sexp
           2   0%                  - seed7-line-after-func-return-logic-operator-column
           2   0%                   - seed7-move-to-line
           2   0%                    - seed7-to-previous-non-empty-line
           2   0%                     - seed7-inside-comment-p
           2   0%                      - syntax-ppss
           2   0%                         parse-partial-sexp
           2   0%                  - seed7-line-after-short-func-end
           2   0%                   - seed7-move-to-line
           2   0%                    - seed7-to-previous-non-empty-line
           2   0%                     - seed7-inside-comment-p
           2   0%                      - syntax-ppss
           2   0%                         parse-partial-sexp
           2   0%                  - seed7-line-at-endof-array-definition-block
           2   0%                   - seed7-move-to-line
           2   0%                    - seed7-to-previous-non-empty-line
           2   0%                     - seed7-inside-comment-p
           2   0%                      - syntax-ppss
           2   0%                         parse-partial-sexp
           1   0%                  - seed7-line-at-endof-parenthesized-statement
           1   0%                   - seed7-move-to-line
           1   0%                    - seed7-to-previous-non-empty-line
           1   0%                     - seed7-inside-comment-p
           1   0%                      - syntax-ppss
           1   0%                         syntax-ppss--data
           1   0%                  - seed7-line-starts-with-open-paren-after-logic-operator
           1   0%                   - seed7-move-to-line
           1   0%                    - seed7-to-previous-non-empty-line
           1   0%                     - seed7-inside-comment-p
           1   0%                      - syntax-ppss
           1   0%                         parse-partial-sexp
           1   0%                  - seed7-line-inside-a-block-cached
           1   0%                   - seed7-line-inside-a-block
           1   0%                    - seed7-re-search-backward
           1   0%                     - seed7-inside-comment-p
           1   0%                      - syntax-ppss
           1   0%                         parse-partial-sexp
           1   0%                  - seed7-line-inside-logic-check-expression
           1   0%                   - seed7-to-previous-line-starts-with
           1   0%                    - seed7-re-search-backward
           1   0%                     - run-with-timer
           1   0%                      - run-at-time
           1   0%                       - timer-activate
           1   0%                        - timer--activate
           1   0%                           timer--time-less-p
           2   0%                 - seed7-line-code-ends-with
           2   0%                  - seed7-move-to-line
           2   0%                   - seed7-to-previous-non-empty-line
           2   0%                    - seed7-inside-comment-p
           2   0%                     - syntax-ppss
           2   0%                        parse-partial-sexp
           1   0%                 - seed7-inside-comment-p
           1   0%                  - syntax-ppss
           1   0%                     parse-partial-sexp
          17   7%                - seed7-line-is-defun-end
          11   4%                 - seed7-end-of-defun
           5   2%                  - seed7-top-block-name
           5   2%                   - seed7--to-top
