      6,195,131  99% - ...
      6,195,131  99%  - #<primitive-function call-interactively>
      6,195,131  99%   - funcall-interactively
      6,195,131  99%    - smex
      6,195,131  99%     - smex-read-and-run
      6,195,131  99%      - execute-extended-command
      6,195,131  99%       - command-execute
      6,195,131  99%        - call-interactively
      6,195,131  99%         - apply
      6,195,131  99%          - call-interactively@ido-cr+-record-current-command
      6,195,131  99%           - #<primitive-function call-interactively>
      6,195,131  99%            - funcall-interactively
      6,195,131  99%             - pel-profile-all
      6,195,131  99%              - pel-profile-dir
      6,195,131  99%               - pel-profile-indent
      6,195,131  99%                - pel-profile-indentation-test-of
      4,631,231  74%                 - call-interactively
      4,631,231  74%                  - apply
      4,631,231  74%                   - call-interactively@ido-cr+-record-current-command
      4,631,231  74%                    - #<primitive-function call-interactively>
      4,631,231  74%                     - funcall-interactively
      4,631,215  74%                      - seed7-complete-statement-or-indent
      4,631,215  74%                       - seed7-indent-region
      4,631,215  74%                        - seed7--indent-one-line
      4,631,215  74%                         - seed7-calc-indent
      2,038,439  32%                          - seed7-line-is-defun-end
      1,049,064  16%                           - seed7-end-of-defun
        863,456  13%                            - seed7-top-block-name
        863,456  13%                             - seed7--to-top
        799,568  12%                              - seed7-re-search-backward
        799,568  12%                               - run-with-timer
        799,568  12%                                - run-at-time
        389,872   6%                                 - timer-activate
        389,872   6%                                  - timer--activate
        389,872   6%                                     timer--time-less-p
        251,104   4%                                   timer-relative-time
        158,592   2%                                 - timer-set-time
        158,592   2%                                    timer--time-setter
         63,888   1%                              - run-with-timer
         63,888   1%                               - run-at-time
         31,152   0%                                - timer-activate
         31,152   0%                                 - timer--activate
         31,152   0%                                    timer--time-less-p
         20,064   0%                                  timer-relative-time
         12,672   0%                                - timer-set-time
         12,672   0%                                   timer--time-setter
         63,888   1%                            - seed7-re-search-backward
         63,888   1%                             - run-with-timer
         63,888   1%                              - run-at-time
         31,152   0%                               - timer-activate
         31,152   0%                                - timer--activate
         31,152   0%                                   timer--time-less-p
         20,064   0%                                 timer-relative-time
         12,672   0%                               - timer-set-time
         12,672   0%                                  timer--time-setter
         45,056   0%                              seed7-re-search-forward
         16,368   0%                              match-string-no-properties
        556,122   8%                           - seed7-beg-of-defun
        181,066   2%                            - seed7-re-search-backward
        114,224   1%                             - run-with-timer
        114,224   1%                              - run-at-time
         55,696   0%                               - timer-activate
         55,696   0%                                - timer--activate
         55,696   0%                                   timer--time-less-p
         35,872   0%                                 timer-relative-time
         22,656   0%                               - timer-set-time
         22,656   0%                                  timer--time-setter
         66,842   1%                               re-search-backward
        111,620   1%                            - seed7-re-search-backward-closest
        111,620   1%                             - seed7-re-search-backward
         65,156   1%                                re-search-backward
         46,464   0%                              - run-with-timer
         46,464   0%                               - run-at-time
         22,656   0%                                - timer-activate
         22,656   0%                                 - timer--activate
         22,656   0%                                    timer--time-less-p
         14,592   0%                                  timer-relative-time
          9,216   0%                                - timer-set-time
          9,216   0%                                   timer--time-setter
        104,151   1%                            - seed7-top-block-name
         65,120   1%                             - seed7--to-top
         43,824   0%                              - seed7-re-search-backward
         22,528   0%                                 re-search-backward
         21,296   0%                               - run-with-timer
         21,296   0%                                - run-at-time
         10,384   0%                                 - timer-activate
         10,384   0%                                  - timer--activate
         10,384   0%                                     timer--time-less-p
          6,688   0%                                   timer-relative-time
          4,224   0%                                 - timer-set-time
          4,224   0%                                    timer--time-setter
         21,296   0%                              - run-with-timer
         21,296   0%                               - run-at-time
         10,384   0%                                - timer-activate
         10,384   0%                                 - timer--activate
         10,384   0%                                    timer--time-less-p
          6,688   0%                                  timer-relative-time
          4,224   0%                                - timer-set-time
          4,224   0%                                   timer--time-setter
         39,031   0%                             - seed7--block-name
         39,031   0%                                seed7-re-search-forward
         16,368   0%                              match-string
        308,789   4%                           - seed7-line-starts-with-any
        308,789   4%                              seed7-line-starts-with
         78,840   1%                             looking-back
         17,408   0%                           - seed7-move-to-line
         17,408   0%                              seed7-to-previous-non-empty-line
         16,952   0%                           - seed7--safe-current-line-defun-start-indent
         16,952   0%                            - seed7-to-block-backward
         16,952   0%                             - seed7-re-search-backward
          9,208   0%                                re-search-backward
          7,744   0%                              - run-with-timer
          7,744   0%                               - run-at-time
          3,776   0%                                - timer-activate
          3,776   0%                                 - timer--activate
          3,776   0%                                    timer--time-less-p
          2,432   0%                                  timer-relative-time
          1,536   0%                                - timer-set-time
          1,536   0%                                   timer--time-setter
         11,264   0%                           - seed7--current-line-nth-word
         11,264   0%                            - thing-at-point
         11,264   0%                             - bounds-of-thing-at-point
         11,264   0%                                re-search-forward
        855,075  13%                          - seed7-line-inside-a-block-cached
        855,075  13%                           - seed7-line-inside-a-block
        412,395   6%                            - seed7-calc-indent
        117,331   1%                             - seed7-line-is-defun-end
         40,639   0%                              - seed7-end-of-defun
         25,168   0%                               - seed7-top-block-name
         25,168   0%                                - seed7--to-top
         22,264   0%                                 - seed7-re-search-backward
         22,264   0%                                  - run-with-timer
         22,264   0%                                   - run-at-time
         10,856   0%                                    - timer-activate
         10,856   0%                                     - timer--activate
         10,856   0%                                        timer--time-less-p
          6,992   0%                                      timer-relative-time
          4,416   0%                                    - timer-set-time
          4,416   0%                                       timer--time-setter
          2,904   0%                                 - run-with-timer
          2,904   0%                                  - run-at-time
          1,416   0%                                   - timer-activate
          1,416   0%                                    - timer--activate
          1,416   0%                                       timer--time-less-p
            912   0%                                     timer-relative-time
            576   0%                                   - timer-set-time
            576   0%                                      timer--time-setter
          8,713   0%                               - seed7-re-search-forward
          6,665   0%                                - seed7-inside-comment-p
          6,665   0%                                 - syntax-ppss
          6,665   0%                                  - syntax-propertize
          6,665   0%                                     seed7-mode-syntax-propertize
          2,904   0%                               - seed7-re-search-backward
          2,904   0%                                - run-with-timer
          2,904   0%                                 - run-at-time
          1,416   0%                                  - timer-activate
          1,416   0%                                   - timer--activate
          1,416   0%                                      timer--time-less-p
            912   0%                                    timer-relative-time
            576   0%                                  - timer-set-time
            576   0%                                     timer--time-setter
         40,556   0%                              - seed7-beg-of-defun
         15,228   0%                               - seed7-re-search-backward
         10,648   0%                                - run-with-timer
         10,648   0%                                 - run-at-time
          5,192   0%                                  - timer-activate
          5,192   0%                                   - timer--activate
          5,192   0%                                      timer--time-less-p
          3,344   0%                                    timer-relative-time
          2,112   0%                                  - timer-set-time
          2,112   0%                                     timer--time-setter
          4,580   0%                                  re-search-backward
          9,528   0%                               - seed7-re-search-backward-closest
          9,528   0%                                - seed7-re-search-backward
          5,656   0%                                   re-search-backward
          3,872   0%                                 - run-with-timer
          3,872   0%                                  - run-at-time
          1,888   0%                                   - timer-activate
          1,888   0%                                    - timer--activate
          1,888   0%                                       timer--time-less-p
          1,216   0%                                     timer-relative-time
            768   0%                                   - timer-set-time
            768   0%                                      timer--time-setter
          6,888   0%                               - seed7-top-block-name
          3,608   0%                                - seed7--block-name
          3,608   0%                                   seed7-re-search-forward
          3,280   0%                                - seed7--to-top
          2,312   0%                                 - seed7-re-search-backward
          1,344   0%                                    re-search-backward
            968   0%                                  - run-with-timer
            968   0%                                   - run-at-time
            472   0%                                    - timer-activate
            472   0%                                     - timer--activate
            472   0%                                        timer--time-less-p
            304   0%                                      timer-relative-time
            192   0%                                    - timer-set-time
            192   0%                                       timer--time-setter
            968   0%                                 - run-with-timer
            968   0%                                  - run-at-time
            472   0%                                   - timer-activate
            472   0%                                    - timer--activate
            472   0%                                       timer--time-less-p
            304   0%                                     timer-relative-time
            192   0%                                   - timer-set-time
            192   0%                                      timer--time-setter
         25,640   0%                              - seed7-line-starts-with-any
         25,640   0%                                 seed7-line-starts-with
          9,472   0%                                looking-back
          1,024   0%                              - seed7-move-to-line
          1,024   0%                                 seed7-to-previous-non-empty-line
         55,960   0%                             - seed7-line-at-endof-array-definition-block
         26,640   0%                              - seed7-line-code-ends-with
         26,640   0%                               - seed7-re-search-backward
         17,424   0%                                - run-with-timer
         17,424   0%                                 - run-at-time
          8,496   0%                                  - timer-activate
          8,496   0%                                   - timer--activate
          8,496   0%                                      timer--time-less-p
          5,472   0%                                    timer-relative-time
          3,456   0%                                  - timer-set-time
          3,456   0%                                     timer--time-setter
          9,216   0%                                  re-search-backward
         19,360   0%                              - backward-sexp
         19,360   0%                               - forward-sexp
         19,360   0%                                - seed7--forward-sexp-function
          9,680   0%                                 - seed7--at-array-definition-end-line-p
          9,680   0%                                  - seed7-line-code-ends-with
          9,680   0%                                   - seed7-re-search-backward
          9,680   0%                                    - run-with-timer
          9,680   0%                                     - run-at-time
          4,720   0%                                      - timer-activate
          4,720   0%                                       - timer--activate
          4,720   0%                                          timer--time-less-p
          3,040   0%                                        timer-relative-time
          1,920   0%                                      - timer-set-time
          1,920   0%                                         timer--time-setter
          9,680   0%                                 - seed7--at-set-definition-end-line-p
          9,680   0%                                  - seed7-line-code-ends-with
          9,680   0%                                   - seed7-re-search-backward
          9,680   0%                                    - run-with-timer
          9,680   0%                                     - run-at-time
          4,720   0%                                      - timer-activate
          4,720   0%                                       - timer--activate
          4,720   0%                                          timer--time-less-p
          3,040   0%                                        timer-relative-time
          1,920   0%                                      - timer-set-time
          1,920   0%                                         timer--time-setter
          5,120   0%                                looking-at
          4,840   0%                              - seed7-re-search-backward
          4,840   0%                               - run-with-timer
          4,840   0%                                - run-at-time
          2,360   0%                                 - timer-activate
          2,360   0%                                  - timer--activate
          2,360   0%                                     timer--time-less-p
          1,520   0%                                   timer-relative-time
            960   0%                                 - timer-set-time
            960   0%                                    timer--time-setter
         49,640   0%                             - seed7-line-inside-a-block-cached
         49,640   0%                              - seed7-line-inside-a-block
