       15492  95% - ...
       15492  95%  - call-interactively
       15492  95%   - apply
       15492  95%    - call-interactively@ido-cr+-record-current-command
       15492  95%     - #<primitive-function call-interactively>
       15492  95%      - funcall-interactively
       15482  95%       - pel-profile-all
       15482  95%        - pel-profile-dir
       15482  95%         - pel-profile-indent
       15482  95%          - pel-profile-indentation-test-of
       15482  95%           - call-interactively
       15482  95%            - apply
       15482  95%             - call-interactively@ido-cr+-record-current-command
       15482  95%              - #<primitive-function call-interactively>
       15482  95%               - funcall-interactively
       15482  95%                - seed7-complete-statement-or-indent
       15482  95%                 - seed7-indent-region
       15482  95%                  - seed7--indent-one-line
       15480  95%                   - seed7-calc-indent
       12353  76%                    - seed7--indent-search-boundary
       12351  76%                     - seed7--indent-search-boundary-uncached
       12231  75%                      - syntax-ppss
       12201  75%                         parse-partial-sexp
           3   0%                       - #<byte-code-function BBD>
           1   0%                          set-syntax-table
           2   0%                         make-closure
           2   0%                         syntax-table
           2   0%                         syntax-propertize
           1   0%                         syntax-ppss-toplevel-pos
           1   0%                         syntax-ppss--update-stats
          20   0%                        seed7-to-indent
        1339   8%                    - seed7-line-inside-a-block-cached
        1339   8%                     - seed7-line-inside-a-block
        1209   7%                      - seed7--safe-enclosing-block-bounds
        1208   7%                       - seed7--block-end-pos-for
        1208   7%                        - seed7-to-block-forward
        1143   7%                         - seed7-end-of-defun
        1097   6%                          - seed7-top-block-name
        1082   6%                           - seed7--to-top
        1074   6%                            - seed7-re-search-backward
         896   5%                             - seed7-inside-comment-p
         895   5%                              - syntax-ppss
         885   5%                                 parse-partial-sexp
           7   0%                               - syntax-propertize
           7   0%                                  seed7-mode-syntax-propertize
           1   0%                                 #<byte-code-function 254>
           1   0%                                 syntax-ppss--data
         131   0%                             - run-with-timer
         131   0%                              - run-at-time
          77   0%                               - timer-activate
          76   0%                                - timer--activate
          74   0%                                 - timer--time-less-p
           3   0%                                    timer--time
          34   0%                               - timer-set-time
          34   0%                                  timer--time-setter
          19   0%                                 timer-relative-time
           1   0%                               - timer-set-function
           1   0%                                  timerp
          37   0%                               re-search-backward
           5   0%                             - seed7-inside-string-p
           3   0%                              - syntax-ppss
           2   0%                                 parse-partial-sexp
           1   0%                                 make-closure
           1   0%                                #<byte-code-function 0AA>
           3   0%                            - run-with-timer
           3   0%                             - run-at-time
           2   0%                              - timer-activate
           2   0%                               - timer--activate
           1   0%                                  timer--time-less-p
           1   0%                              - timer-set-time
           1   0%                                 timer--time-setter
          15   0%                           - seed7--block-name
          15   0%                            - seed7-re-search-forward
           8   0%                             - seed7-inside-comment-p
           8   0%                              - syntax-ppss
           8   0%                                 parse-partial-sexp
           6   0%                             - seed7-inside-string-p
           6   0%                              - syntax-ppss
           6   0%                                 parse-partial-sexp
          29   0%                          - seed7-re-search-forward
           3   0%                           - seed7-inside-comment-p
           3   0%                            - syntax-ppss
           2   0%                             - syntax-propertize
           2   0%                                seed7-mode-syntax-propertize
           1   0%                               parse-partial-sexp
           1   0%                           - seed7-inside-string-p
           1   0%                              syntax-ppss
          17   0%                          - seed7-re-search-backward
          14   0%                           - seed7-inside-comment-p
          14   0%                            - syntax-ppss
          14   0%                               parse-partial-sexp
           3   0%                           - run-with-timer
           3   0%                            - run-at-time
           2   0%                             - timer-set-time
           2   0%                                timer--time-setter
           1   0%                             - timer-activate
           1   0%                              - timer--activate
           1   0%                                 timer--time-less-p
          46   0%                         - seed7-re-search-forward
          20   0%                          - seed7-inside-string-p
          18   0%                           - syntax-ppss
          17   0%                              parse-partial-sexp
           1   0%                              syntax-table
           1   0%                           - #<byte-code-function C704>
           1   0%                              set-match-data
          18   0%                          - seed7-inside-comment-p
          18   0%                           - syntax-ppss
          18   0%                              parse-partial-sexp
          11   0%                         - seed7--current-line-nth-word
           7   0%                          - thing-at-point
           6   0%                           - bounds-of-thing-at-point
           5   0%                            - #<byte-code-function 529>
           5   0%                             - forward-thing
           4   0%                                forward-word
           1   0%                                intern-soft
           4   0%                         - seed7-inside-comment-p
           4   0%                          - syntax-ppss
           4   0%                             parse-partial-sexp
           3   0%                         - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
           3   0%                          - seed7-inside-comment-p
           3   0%                           - syntax-ppss
           2   0%                              parse-partial-sexp
         119   0%                      - seed7-re-search-backward
          98   0%                       - seed7-inside-comment-p
          98   0%                        - syntax-ppss
          98   0%                           parse-partial-sexp
           9   0%                       - run-with-timer
           9   0%                        - run-at-time
           4   0%                         - timer-activate
           4   0%                          - timer--activate
           4   0%                             timer--time-less-p
           3   0%                         - timer-set-time
           3   0%                            timer--time-setter
           2   0%                           timer-relative-time
           6   0%                       - seed7-inside-string-p
           6   0%                        - syntax-ppss
           5   0%                           parse-partial-sexp
           1   0%                           make-closure
           6   0%                         re-search-backward
           6   0%                      - seed7-calc-indent
           3   0%                       - seed7-line-inside-parens-pair-column
           3   0%                        - seed7-line-inside-parens-pair
           3   0%                         - seed7-re-search-backward
           3   0%                          - seed7-inside-comment-p
           3   0%                           - syntax-ppss
           3   0%                              parse-partial-sexp
           1   0%                       - seed7-line-is-defun-end
           1   0%                        - seed7-line-starts-with-any
           1   0%                           seed7-line-starts-with
           1   0%                       - seed7-line-inside-a-block-cached
           1   0%                        - seed7-line-inside-a-block
           1   0%                         - seed7-re-search-backward
           1   0%                          - run-with-timer
           1   0%                           - run-at-time
           1   0%                            - timer-activate
           1   0%                             - timer--activate
           1   0%                                timer--time-less-p
           1   0%                       - seed7-line-after-short-func-end
           1   0%                        - seed7-to-block-backward
           1   0%                         - seed7-inside-comment-p
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
           2   0%                        seed7-move-to-line
           2   0%                        replace-regexp-in-string
         894   5%                    - seed7-line-is-defun-end
         670   4%                     - seed7-end-of-defun
         556   3%                      - seed7-top-block-name
         552   3%                       - seed7--to-top
         550   3%                        - seed7-re-search-backward
         463   2%                         - seed7-inside-comment-p
         463   2%                          - syntax-ppss
         461   2%                             parse-partial-sexp
           1   0%                           - syntax-propertize
           1   0%                              seed7-mode-syntax-propertize
          63   0%                         - run-with-timer
          63   0%                          - run-at-time
          44   0%                           - timer-activate
          44   0%                            - timer--activate
          43   0%                             - timer--time-less-p
           1   0%                                timer--time
          12   0%                           - timer-set-time
          12   0%                              timer--time-setter
           7   0%                             timer-relative-time
          21   0%                           re-search-backward
           2   0%                         - seed7-inside-string-p
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
           1   0%                        - run-with-timer
           1   0%                         - run-at-time
           1   0%                          - timer-set-time
           1   0%                             timer--time-setter
           1   0%                          seed7-to-indent
           4   0%                       - seed7--block-name
           4   0%                        - seed7-re-search-forward
           1   0%                         - seed7-inside-comment-p
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
          99   0%                      - seed7-re-search-forward
          31   0%                       - seed7-inside-comment-p
          31   0%                        - syntax-ppss
          29   0%                           parse-partial-sexp
           2   0%                         - syntax-propertize
           1   0%                            #<byte-code-function 47A>
           1   0%                            seed7-mode-syntax-propertize
          15   0%                       - seed7-inside-string-p
          15   0%                        - syntax-ppss
          15   0%                           parse-partial-sexp
          10   0%                      - seed7-re-search-backward
           8   0%                       - seed7-inside-comment-p
           8   0%                        - syntax-ppss
           8   0%                           parse-partial-sexp
           2   0%                       - run-with-timer
           2   0%                        - run-at-time
           1   0%                         - timer-activate
           1   0%                          - timer--activate
           1   0%                             timer--time-less-p
           1   0%                           timer-relative-time
           1   0%                        match-string-no-properties
         188   1%                     - seed7-beg-of-defun
         112   0%                      - seed7-re-search-backward
          94   0%                       - seed7-inside-comment-p
          94   0%                        - syntax-ppss
          94   0%                           parse-partial-sexp
          15   0%                         re-search-backward
           2   0%                       - run-with-timer
           2   0%                        - run-at-time
           2   0%                           timer-relative-time
          67   0%                      - seed7-re-search-backward-closest
          67   0%                       - seed7-re-search-backward
          63   0%                          re-search-backward
           4   0%                        - run-with-timer
           4   0%                         - run-at-time
           2   0%                            timer-relative-time
           1   0%                          - timer-set-time
           1   0%                             timer--time-setter
           1   0%                          - timer-activate
           1   0%                           - timer--activate
           1   0%                              timer--time-less-p
           5   0%                      - seed7-top-block-name
           4   0%                       - seed7--to-top
           3   0%                        - seed7-re-search-backward
           3   0%                         - seed7-inside-comment-p
           3   0%                          - syntax-ppss
           3   0%                             parse-partial-sexp
           1   0%                        - run-with-timer
           1   0%                         - run-at-time
           1   0%                          - timer-activate
           1   0%                           - timer--activate
           1   0%                              timer--time-less-p
           1   0%                       - seed7--block-name
           1   0%                          seed7-re-search-forward
           1   0%                        match-string
          14   0%                     - seed7-move-to-line
          14   0%                      - seed7-to-previous-non-empty-line
          13   0%                       - seed7-inside-comment-p
          13   0%                        - syntax-ppss
          13   0%                           parse-partial-sexp
           8   0%                     - seed7-line-starts-with-any
           8   0%                      - seed7-line-starts-with
           1   0%                         seed7-move-to-line
           5   0%                     - seed7--safe-current-line-defun-start-indent
           5   0%                      - seed7-to-block-backward
           5   0%                       - seed7-re-search-backward
           4   0%                        - seed7-inside-comment-p
           4   0%                         - syntax-ppss
           4   0%                            parse-partial-sexp
           1   0%                          re-search-backward
           4   0%                     - seed7--current-line-nth-word
           4   0%                      - thing-at-point
           4   0%                       - bounds-of-thing-at-point
           2   0%                        - #<byte-code-function 276>
           2   0%                         - forward-thing
           2   0%                            forward-word
           2   0%                        - #<byte-code-function CD2>
           2   0%                         - forward-thing
           1   0%                            forward-word
           1   0%                            format
           3   0%                       looking-back
           2   0%                       line-beginning-position
         201   1%                    - seed7-line-inside-array-definition-block
         197   1%                     - seed7-re-search-backward
         106   0%                      - seed7-inside-comment-p
         106   0%                       - syntax-ppss
         105   0%                          parse-partial-sexp
          79   0%                        re-search-backward
          11   0%                      - run-with-timer
          11   0%                       - run-at-time
           5   0%                        - timer-activate
           5   0%                         - timer--activate
           5   0%                            timer--time-less-p
           3   0%                        - timer-set-time
           3   0%                           timer--time-setter
           3   0%                          timer-relative-time
           1   0%                        seed7-inside-string-p
           4   0%                     - forward-sexp
           4   0%                        seed7--forward-sexp-function
         192   1%                    - seed7-comment-column
         186   1%                     - seed7-calc-indent
         128   0%                      - seed7--indent-search-boundary
         128   0%                       - seed7--indent-search-boundary-uncached
         127   0%                        - syntax-ppss
         127   0%                           parse-partial-sexp
          16   0%                      - seed7-line-inside-set-definition-block
          16   0%                       - seed7-re-search-backward
          15   0%                          re-search-backward
           1   0%                        - run-with-timer
           1   0%                         - run-at-time
           1   0%                          - timer-set-time
           1   0%                             timer--time-setter
          13   0%                      - seed7-line-inside-array-definition-block
          13   0%                       - seed7-re-search-backward
           9   0%                        - seed7-inside-comment-p
           9   0%                         - syntax-ppss
           9   0%                            parse-partial-sexp
           4   0%                          re-search-backward
          11   0%                      - seed7-line-is-defun-end
           8   0%                       - seed7-move-to-line
           8   0%                        - seed7-to-previous-non-empty-line
           7   0%                         - seed7-inside-comment-p
