     13,560,875  99% - ...
     13,560,875  99%  - #<primitive-function call-interactively>
     13,560,875  99%   - funcall-interactively
     13,560,875  99%    - smex
     13,560,875  99%     - smex-read-and-run
     13,560,875  99%      - execute-extended-command
     13,560,875  99%       - command-execute
     13,560,875  99%        - call-interactively
     13,560,875  99%         - apply
     13,560,875  99%          - call-interactively@ido-cr+-record-current-command
     13,560,875  99%           - #<primitive-function call-interactively>
     13,560,875  99%            - funcall-interactively
     13,560,875  99%             - pel-profile-all
     13,560,875  99%              - pel-profile-dir
     13,560,875  99%               - pel-profile-indent
     13,560,875  99%                - pel-profile-indentation-test-of
     11,996,975  88%                 - call-interactively
     11,996,975  88%                  - apply
     11,996,975  88%                   - call-interactively@ido-cr+-record-current-command
     11,996,975  88%                    - #<primitive-function call-interactively>
     11,996,975  88%                     - funcall-interactively
     11,996,959  88%                      - seed7-complete-statement-or-indent
     11,996,959  88%                       - seed7-indent-region
     11,996,959  88%                        - seed7--indent-one-line
     11,996,959  88%                         - seed7-calc-indent
      2,530,565  18%                          - seed7-comment-column
      1,299,069   9%                           - seed7-line-code-ends-with
        966,845   7%                            - seed7-move-to-line
        966,845   7%                             - seed7-to-previous-non-empty-line
        962,749   7%                              - seed7-inside-comment-p
        962,749   7%                               - syntax-ppss
        962,749   7%                                  syntax-table
        332,224   2%                            - seed7-re-search-backward
        315,840   2%                             - run-with-timer
        315,840   2%                              - run-at-time
        176,960   1%                               - timer-activate
        176,960   1%                                - timer--activate
        176,960   1%                                   timer--time-less-p
         85,120   0%                                 timer-relative-time
         53,760   0%                               - timer-set-time
         53,760   0%                                  timer--time-setter
         16,384   0%                               re-search-backward
      1,219,208   8%                           - seed7-calc-indent
        279,744   2%                            - seed7-line-inside-nested-parens-pairs-column
        279,744   2%                             - seed7-line-inside-nested-parens-pairs
        279,744   2%                              - seed7-line-inside-parens-pair
        279,744   2%                               - seed7-re-search-backward
        279,744   2%                                - run-with-timer
        279,744   2%                                 - run-at-time
        156,736   1%                                  - timer-activate
        156,736   1%                                   - timer--activate
        156,736   1%                                      timer--time-less-p
         75,392   0%                                    timer-relative-time
         47,616   0%                                  - timer-set-time
         47,616   0%                                     timer--time-setter
        214,949   1%                            - seed7-line-inside-array-definition-block
        200,040   1%                             - seed7-re-search-backward
        181,608   1%                              - run-with-timer
        181,608   1%                               - run-at-time
        101,752   0%                                - timer-activate
        101,752   0%                                 - timer--activate
        101,752   0%                                    timer--time-less-p
         48,944   0%                                  timer-relative-time
         30,912   0%                                - timer-set-time
         30,912   0%                                   timer--time-setter
         18,432   0%                                re-search-backward
         14,909   0%                             - forward-sexp
         14,909   0%                              - seed7--forward-sexp-function
          5,693   0%                               - internal--syntax-propertize
          5,693   0%                                - syntax-propertize
          5,693   0%                                   seed7-mode-syntax-propertize
        136,351   1%                            - seed7-line-inside-a-block-cached
        136,351   1%                             - seed7-line-inside-a-block
         60,123   0%                              - seed7--safe-enclosing-block-bounds
         60,123   0%                               - seed7--block-end-pos-for
         60,123   0%                                - seed7-to-block-forward
         50,915   0%                                 - seed7-re-search-forward
         34,531   0%                                  - seed7-inside-comment-p
         34,531   0%                                   - syntax-ppss
         34,531   0%                                    - syntax-propertize
         34,531   0%                                       seed7-mode-syntax-propertize
          8,184   0%                                 - seed7--current-line-nth-word
          8,184   0%                                  - thing-at-point
          8,184   0%                                   - bounds-of-thing-at-point
          8,184   0%                                    - #<byte-code-function F70>
          8,184   0%                                     - forward-thing
          8,184   0%                                        format
          1,024   0%                                   seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         58,820   0%                              - seed7-re-search-backward
         41,720   0%                               - run-with-timer
         41,720   0%                                - run-at-time
         23,384   0%                                 - timer-activate
         23,384   0%                                  - timer--activate
         23,384   0%                                     timer--time-less-p
         11,232   0%                                   timer-relative-time
          7,104   0%                                 - timer-set-time
          7,104   0%                                    timer--time-setter
         17,100   0%                                 re-search-backward
         15,360   0%                                replace-regexp-in-string
          2,048   0%                                seed7--indent-offset-for
        117,488   0%                            - seed7-line-inside-parens-pair-column
        117,488   0%                             - seed7-line-inside-parens-pair
        113,392   0%                              - seed7-re-search-backward
         97,008   0%                               - run-with-timer
         97,008   0%                                - run-at-time
         54,352   0%                                 - timer-activate
         54,352   0%                                  - timer--activate
         54,352   0%                                     timer--time-less-p
         26,144   0%                                   timer-relative-time
         16,512   0%                                 - timer-set-time
         16,512   0%                                    timer--time-setter
         16,384   0%                                 re-search-backward
          4,096   0%                              - forward-sexp
          4,096   0%                                 seed7--forward-sexp-function
         91,220   0%                            - seed7-line-is-defun-end
         52,224   0%                               looking-back
         18,424   0%                             - seed7-line-starts-with-any
         18,424   0%                                seed7-line-starts-with
         16,368   0%                             - seed7--current-line-nth-word
         16,368   0%                              - thing-at-point
         16,368   0%                               - bounds-of-thing-at-point
          8,184   0%                                - #<byte-code-function 554>
          8,184   0%                                 - forward-thing
          8,184   0%                                    format
          8,184   0%                                - #<byte-code-function DAA>
          8,184   0%                                 - forward-thing
          8,184   0%                                    format
          4,204   0%                             - seed7--safe-current-line-defun-start-indent
          4,204   0%                              - seed7-to-block-backward
          4,204   0%                               - seed7-re-search-backward
          3,076   0%                                  re-search-backward
          1,128   0%                                - run-with-timer
          1,128   0%                                 - run-at-time
            632   0%                                  - timer-activate
            632   0%                                   - timer--activate
            632   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
         59,144   0%                            - seed7-line-inside-set-definition-block
         59,144   0%                             - seed7-re-search-backward
         41,736   0%                              - run-with-timer
         41,736   0%                               - run-at-time
         23,384   0%                                - timer-activate
         23,384   0%                                 - timer--activate
         23,384   0%                                    timer--time-less-p
         11,248   0%                                  timer-relative-time
          7,104   0%                                - timer-set-time
          7,104   0%                                   timer--time-setter
         17,408   0%                                re-search-backward
         59,144   0%                            - seed7-line-inside-assign-statement-continuation
         59,144   0%                             - seed7-assign-op-pos
         59,144   0%                              - seed7-re-search-backward
         41,736   0%                               - run-with-timer
         41,736   0%                                - run-at-time
         23,384   0%                                 - timer-activate
         23,384   0%                                  - timer--activate
         23,384   0%                                     timer--time-less-p
         11,248   0%                                   timer-relative-time
          7,104   0%                                 - timer-set-time
          7,104   0%                                    timer--time-setter
         17,408   0%                                 re-search-backward
         55,824   0%                            - seed7-line-inside-argument-list-section
         40,464   0%                             - seed7-re-search-backward
         23,544   0%                                re-search-backward
         16,920   0%                              - run-with-timer
         16,920   0%                               - run-at-time
          9,480   0%                                - timer-activate
          9,480   0%                                 - timer--activate
          9,480   0%                                    timer--time-less-p
          4,560   0%                                  timer-relative-time
          2,880   0%                                - timer-set-time
          2,880   0%                                   timer--time-setter
         15,360   0%                             - seed7-line-is-procfunc-beg-of-decl
         15,360   0%                                seed7-line-starts-with
         40,464   0%                            - seed7-line-inside-logic-check-expression
         40,464   0%                             - seed7-to-previous-line-starts-with
         32,280   0%                              - seed7-re-search-backward
         16,920   0%                               - run-with-timer
         16,920   0%                                - run-at-time
          9,480   0%                                 - timer-activate
          9,480   0%                                  - timer--activate
          9,480   0%                                     timer--time-less-p
          4,560   0%                                   timer-relative-time
          2,880   0%                                 - timer-set-time
          2,880   0%                                    timer--time-setter
         15,360   0%                                 re-search-backward
         32,280   0%                            - seed7-line-inside-until-logic-expression
         32,280   0%                             - seed7-re-search-backward
         16,920   0%                              - run-with-timer
         16,920   0%                               - run-at-time
          9,480   0%                                - timer-activate
          9,480   0%                                 - timer--activate
          9,480   0%                                    timer--time-less-p
          4,560   0%                                  timer-relative-time
          2,880   0%                                - timer-set-time
          2,880   0%                                   timer--time-setter
         15,360   0%                                re-search-backward
         32,280   0%                            - seed7-line-inside-func-return-statement
         32,280   0%                             - seed7-re-search-backward
         16,920   0%                              - run-with-timer
         16,920   0%                               - run-at-time
          9,480   0%                                - timer-activate
          9,480   0%                                 - timer--activate
          9,480   0%                                    timer--time-less-p
          4,560   0%                                  timer-relative-time
          2,880   0%                                - timer-set-time
          2,880   0%                                   timer--time-setter
         15,360   0%                                re-search-backward
         24,568   0%                              seed7--indent-search-boundary
         17,408   0%                            - seed7-line-isa-string
         17,408   0%                               seed7-line-starts-with
         17,408   0%                              seed7-line-starts-with
         16,368   0%                            - seed7--current-line-nth-word
         16,368   0%                             - thing-at-point
         16,368   0%                              - bounds-of-thing-at-point
          8,184   0%                               - #<byte-code-function 2C0>
          8,184   0%                                - forward-thing
          8,184   0%                                   format
          8,184   0%                               - #<byte-code-function 515>
          8,184   0%                                - forward-thing
          8,184   0%                                   format
         15,360   0%                              seed7-line-after-func-return-logic-operator-column
          9,208   0%                            - seed7-line-starts-with-open-paren-after-logic-operator
          9,208   0%                               seed7-line-starts-with
         10,240   0%                             seed7-line-starts-with
          2,048   0%                             looking-at
      1,907,368  14%                          - seed7-line-inside-parens-pair-column
      1,907,368  14%                           - seed7-line-inside-parens-pair
      1,784,488  13%                            - seed7-re-search-backward
      1,627,688  11%                             - run-with-timer
      1,627,688  11%                              - run-at-time
        911,976   6%                               - timer-activate
        911,976   6%                                - timer--activate
        911,976   6%                                   timer--time-less-p
        438,656   3%                                 timer-relative-time
        277,056   2%                               - timer-set-time
        277,056   2%                                  timer--time-setter
        156,800   1%                               re-search-backward
        122,880   0%                            - forward-sexp
        122,880   0%                               seed7--forward-sexp-function
      1,903,576  14%                          - seed7-line-inside-a-block-cached
      1,903,576  14%                           - seed7-line-inside-a-block
        891,909   6%                            - seed7--safe-enclosing-block-bounds
        891,909   6%                             - seed7--block-end-pos-for
        871,429   6%                              - seed7-to-block-forward
        354,323   2%                               - seed7-re-search-forward
         47,096   0%                                - seed7-inside-comment-p
         47,096   0%                                 - syntax-ppss
         47,096   0%                                  - syntax-propertize
         47,096   0%                                     seed7-mode-syntax-propertize
        233,578   1%                               - seed7-end-of-defun
        182,273   1%                                - seed7-top-block-name
        158,445   1%                                 - seed7--to-top
        135,885   1%                                  - seed7-re-search-backward
        122,360   0%                                   - run-with-timer
        122,360   0%                                    - run-at-time
         75,240   0%                                     - timer-activate
         75,240   0%                                      - timer--activate
         75,240   0%                                         timer--time-less-p
         28,880   0%                                       timer-relative-time
         18,240   0%                                     - timer-set-time
         18,240   0%                                        timer--time-setter
          8,405   0%                                   - seed7-inside-comment-p
          8,405   0%                                    - syntax-ppss
          8,405   0%                                     - syntax-propertize
          8,405   0%                                        seed7-mode-syntax-propertize
          5,120   0%                                     re-search-backward
         22,560   0%                                  - run-with-timer
         22,560   0%                                   - run-at-time
         12,640   0%                                    - timer-activate
         12,640   0%                                     - timer--activate
         12,640   0%                                        timer--time-less-p
          6,080   0%                                      timer-relative-time
