          33  75% - ...
          33  75%  - pel-profile-all
          33  75%   - pel-profile-dir
          33  75%    - pel-profile-indent
          33  75%     - pel-profile-indentation-test-of
          33  75%      - call-interactively
          33  75%       - apply
          33  75%        - call-interactively@ido-cr+-record-current-command
          33  75%         - #<primitive-function call-interactively>
          33  75%          - funcall-interactively
          22  50%           - seed7-complete-statement-or-indent
          22  50%            - seed7-indent-region
          22  50%             - seed7--indent-one-line
          22  50%              - seed7-calc-indent
           7  15%               - seed7-comment-column
           6  13%                - seed7-calc-indent
           2   4%                 - seed7-line-inside-parens-pair-column
           2   4%                  - seed7-line-inside-parens-pair
           2   4%                   - seed7-re-search-backward
           2   4%                    - seed7-inside-comment-p
           2   4%                     - syntax-ppss
           2   4%                        parse-partial-sexp
           2   4%                 - seed7-line-is-defun-end
           2   4%                  - seed7-move-to-line
           2   4%                   - seed7-to-previous-non-empty-line
           2   4%                    - seed7-inside-comment-p
           2   4%                     - syntax-ppss
           2   4%                        parse-partial-sexp
           1   2%                 - seed7-line-after-short-func-end
           1   2%                  - seed7-move-to-line
           1   2%                   - seed7-to-previous-non-empty-line
           1   2%                    - seed7-inside-comment-p
           1   2%                     - syntax-ppss
           1   2%                        parse-partial-sexp
           1   2%                 - seed7-line-after-func-return-logic-operator-column
           1   2%                  - seed7-move-to-line
           1   2%                   - seed7-to-previous-non-empty-line
           1   2%                    - seed7-inside-comment-p
           1   2%                     - syntax-ppss
           1   2%                        parse-partial-sexp
           1   2%                - seed7-line-code-ends-with
           1   2%                 - seed7-re-search-backward
           1   2%                  - run-with-timer
           1   2%                   - run-at-time
           1   2%                    - timer-activate
           1   2%                     - timer--activate
           1   2%                        timer--time-less-p
           6  13%               - seed7-line-inside-a-block-cached
           6  13%                - seed7-line-inside-a-block
           3   6%                 - seed7--safe-enclosing-block-bounds
           3   6%                  - seed7--block-end-pos-for
           3   6%                   - seed7-to-block-forward
           2   4%                    - seed7-end-of-defun
           1   2%                     - seed7-top-block-name
           1   2%                      - seed7--to-top
           1   2%                       - seed7-re-search-backward
           1   2%                        - seed7-inside-comment-p
           1   2%                         - syntax-ppss
           1   2%                            parse-partial-sexp
           1   2%                     - seed7-re-search-backward
           1   2%                      - run-with-timer
           1   2%                       - run-at-time
           1   2%                        - timer-activate
           1   2%                         - timer--activate
           1   2%                            timer--time-less-p
           1   2%                    - seed7-inside-comment-p
           1   2%                     - syntax-ppss
           1   2%                        parse-partial-sexp
           3   6%                 - seed7-re-search-backward
           2   4%                  - run-with-timer
           2   4%                   - run-at-time
           1   2%                      timer-relative-time
           1   2%                    - timer-set-time
           1   2%                       timer--time-setter
           1   2%                  - seed7-inside-comment-p
           1   2%                   - syntax-ppss
           1   2%                      parse-partial-sexp
           3   6%               - seed7-line-inside-parens-pair-column
           3   6%                - seed7-line-inside-parens-pair
           3   6%                 - seed7-re-search-backward
           3   6%                  - run-with-timer
           3   6%                   - run-at-time
           2   4%                    - timer-set-time
           2   4%                       timer--time-setter
           1   2%                    - timer-activate
           1   2%                     - timer--activate
           1   2%                        timer--time-less-p
           2   4%               - seed7--current-line-nth-word
           2   4%                - thing-at-point
           2   4%                 - bounds-of-thing-at-point
           2   4%                  - #<byte-code-function 976>
           2   4%                   - forward-thing
           2   4%                    - forward-word
           2   4%                     - internal--syntax-propertize
           2   4%                      - syntax-propertize
           1   2%                         seed7-mode-syntax-propertize
           1   2%                         #<byte-code-function FF2>
           2   4%               - seed7-line-inside-array-definition-block
           2   4%                - seed7-re-search-backward
           1   2%                 - run-with-timer
           1   2%                  - run-at-time
           1   2%                   - timer-activate
           1   2%                    - timer--activate
           1   2%                       timer--time-less-p
           1   2%                   re-search-backward
           1   2%               - seed7-line-inside-logic-check-expression
           1   2%                - seed7-to-previous-line-starts-with
           1   2%                 - seed7-re-search-backward
           1   2%                    re-search-backward
           1   2%               - seed7-line-inside-argument-list-section
           1   2%                - seed7-re-search-backward
           1   2%                 - run-with-timer
           1   2%                  - run-at-time
           1   2%                     timer-relative-time
          11  25%           - pel-profile-all
          11  25%            - pel-profile-dir
          11  25%             - pel-profile-indent
          11  25%              - pel-profile-indentation-test-of
          11  25%               - call-interactively
          11  25%                - apply
          11  25%                 - call-interactively@ido-cr+-record-current-command
          11  25%                  - #<primitive-function call-interactively>
          11  25%                   - funcall-interactively
          11  25%                    - seed7-complete-statement-or-indent
          11  25%                     - seed7-indent-region
          10  22%                      - seed7--indent-one-line
          10  22%                       - seed7-calc-indent
           7  15%                        - seed7--indent-search-boundary
           6  13%                         - seed7--indent-search-boundary-uncached
           5  11%                          - syntax-ppss
           4   9%                             parse-partial-sexp
           1   2%                             syntax-ppss-toplevel-pos
           1   2%                            seed7-to-indent
           2   4%                        - seed7-line-is-defun-end
           1   2%                           looking-back
           1   2%                         - seed7-line-starts-with-any
           1   2%                            seed7-line-starts-with
           1   2%                        - seed7-line-inside-set-definition-block
           1   2%                         - seed7-re-search-backward
           1   2%                            re-search-backward
          11  25%   Automatic GC
