      6,702,146  99% - ...
      6,702,146  99%  - #<primitive-function call-interactively>
      6,702,146  99%   - funcall-interactively
      6,702,146  99%    - smex
      6,702,146  99%     - smex-read-and-run
      6,702,146  99%      - execute-extended-command
      6,702,146  99%       - command-execute
      6,702,146  99%        - call-interactively
      6,702,146  99%         - apply
      6,702,146  99%          - call-interactively@ido-cr+-record-current-command
      6,702,146  99%           - #<primitive-function call-interactively>
      6,702,146  99%            - funcall-interactively
      6,702,146  99%             - pel-profile-all
      6,702,146  99%              - pel-profile-dir
      6,702,146  99%               - pel-profile-indent
      6,702,146  99%                - pel-profile-indentation-test-of
      5,141,062  76%                 - call-interactively
      5,141,062  76%                  - apply
      5,141,062  76%                   - call-interactively@ido-cr+-record-current-command
      5,141,062  76%                    - #<primitive-function call-interactively>
      5,141,062  76%                     - funcall-interactively
      5,141,046  76%                      - seed7-complete-statement-or-indent
      5,141,046  76%                       - seed7-indent-region
      5,141,046  76%                        - seed7--indent-one-line
      5,141,046  76%                         - seed7-calc-indent
      1,305,188  19%                          - seed7-line-inside-a-block-cached
      1,305,188  19%                           - seed7-line-inside-a-block
        893,052  13%                            - seed7--safe-enclosing-block-bounds
        893,052  13%                             - seed7--block-end-pos-for
        874,620  13%                              - seed7-to-block-forward
        567,678   8%                               - seed7-re-search-forward
        423,813   6%                                - seed7-inside-comment-p
        423,813   6%                                 - syntax-ppss
        423,813   6%                                    syntax-table
        205,574   3%                               - seed7-end-of-defun
        155,966   2%                                - seed7-top-block-name
        139,137   2%                                 - seed7--to-top
        116,577   1%                                  - seed7-re-search-backward
        103,040   1%                                   - run-with-timer
        103,040   1%                                    - run-at-time
         63,360   0%                                     - timer-activate
         63,360   0%                                      - timer--activate
         63,360   0%                                         timer--time-less-p
         24,320   0%                                       timer-relative-time
         15,360   0%                                     - timer-set-time
         15,360   0%                                        timer--time-setter
          8,225   0%                                   - seed7-inside-comment-p
          8,225   0%                                    - syntax-ppss
          8,225   0%                                     - syntax-propertize
          8,225   0%                                        seed7-mode-syntax-propertize
          5,312   0%                                     re-search-backward
         22,560   0%                                  - run-with-timer
         22,560   0%                                   - run-at-time
         12,640   0%                                    - timer-activate
         12,640   0%                                     - timer--activate
         12,640   0%                                        timer--time-less-p
          6,080   0%                                      timer-relative-time
          3,840   0%                                    - timer-set-time
          3,840   0%                                       timer--time-setter
         16,829   0%                                 - seed7--block-name
          8,645   0%                                    seed7-re-search-forward
          8,184   0%                                    match-string
         22,560   0%                                - seed7-re-search-backward
         22,560   0%                                 - run-with-timer
         22,560   0%                                  - run-at-time
         12,640   0%                                   - timer-activate
         12,640   0%                                    - timer--activate
         12,640   0%                                       timer--time-less-p
          6,080   0%                                     timer-relative-time
          3,840   0%                                   - timer-set-time
          3,840   0%                                      timer--time-setter
         11,264   0%                                  seed7-re-search-forward
          8,184   0%                                  match-string
         89,088   1%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         12,280   0%                               - seed7--current-line-nth-word
         12,280   0%                                - thing-at-point
         12,280   0%                                 - bounds-of-thing-at-point
          8,184   0%                                  - #<byte-code-function 493>
          8,184   0%                                   - forward-thing
          8,184   0%                                      format
          4,096   0%                                    re-search-forward
         16,384   0%                              - seed7--line-ends-a-statement-p
         12,288   0%                                 looking-at
          4,096   0%                               - forward-sexp
          4,096   0%                                  seed7--forward-sexp-function
        268,560   4%                            - seed7-re-search-backward
        170,328   2%                             - run-with-timer
        170,328   2%                              - run-at-time
         95,432   1%                               - timer-activate
         95,432   1%                                - timer--activate
         95,432   1%                                   timer--time-less-p
         45,904   0%                                 timer-relative-time
         28,992   0%                               - timer-set-time
         28,992   0%                                  timer--time-setter
         98,232   1%                               re-search-backward
         89,088   1%                              replace-regexp-in-string
