     11,245,271  99% - ...
     11,245,271  99%  - #<primitive-function call-interactively>
     11,245,271  99%   - funcall-interactively
     11,245,271  99%    - smex
     11,245,271  99%     - smex-read-and-run
     11,245,271  99%      - execute-extended-command
     11,245,271  99%       - command-execute
     11,245,271  99%        - call-interactively
     11,245,271  99%         - apply
     11,245,271  99%          - call-interactively@ido-cr+-record-current-command
     11,245,271  99%           - #<primitive-function call-interactively>
     11,245,271  99%            - funcall-interactively
     11,245,271  99%             - pel-profile-all
     11,245,271  99%              - pel-profile-dir
     11,245,271  99%               - pel-profile-indent
     11,245,271  99%                - pel-profile-indentation-test-of
      9,681,371  85%                 - call-interactively
      9,681,371  85%                  - apply
      9,681,371  85%                   - call-interactively@ido-cr+-record-current-command
      9,681,371  85%                    - #<primitive-function call-interactively>
      9,681,371  85%                     - funcall-interactively
      9,681,355  85%                      - seed7-complete-statement-or-indent
      9,681,355  85%                       - seed7-indent-region
      9,681,355  85%                        - seed7--indent-one-line
      9,681,355  85%                         - seed7-calc-indent
      2,637,751  23%                          - seed7-line-is-defun-end
        872,244   7%                           - seed7-beg-of-defun
        364,539   3%                            - seed7-re-search-backward
        288,464   2%                             - run-with-timer
        288,464   2%                              - run-at-time
        140,656   1%                               - timer-activate
        140,656   1%                                - timer--activate
        140,656   1%                                   timer--time-less-p
         90,592   0%                                 timer-relative-time
         57,216   0%                               - timer-set-time
         57,216   0%                                  timer--time-setter
         76,075   0%                               re-search-backward
        186,351   1%                            - seed7-re-search-backward-closest
        186,351   1%                             - seed7-re-search-backward
        106,975   0%                                re-search-backward
         79,376   0%                              - run-with-timer
         79,376   0%                               - run-at-time
         38,704   0%                                - timer-activate
         38,704   0%                                 - timer--activate
         38,704   0%                                    timer--time-less-p
         24,928   0%                                  timer-relative-time
         15,744   0%                                - timer-set-time
         15,744   0%                                   timer--time-setter
         79,922   0%                            - seed7-top-block-name
         45,232   0%                             - seed7--to-top
         30,712   0%                              - seed7-re-search-backward
         16,192   0%                                 re-search-backward
         14,520   0%                               - run-with-timer
         14,520   0%                                - run-at-time
          7,080   0%                                 - timer-activate
          7,080   0%                                  - timer--activate
          7,080   0%                                     timer--time-less-p
          4,560   0%                                   timer-relative-time
          2,880   0%                                 - timer-set-time
          2,880   0%                                    timer--time-setter
         14,520   0%                              - run-with-timer
         14,520   0%                               - run-at-time
          7,080   0%                                - timer-activate
          7,080   0%                                 - timer--activate
          7,080   0%                                    timer--time-less-p
          4,560   0%                                  timer-relative-time
          2,880   0%                                - timer-set-time
          2,880   0%                                   timer--time-setter
         34,690   0%                             - seed7--block-name
         34,690   0%                                seed7-re-search-forward
         16,368   0%                              match-string-no-properties
          2,032   0%                              match-string
        706,872   6%                           - seed7-end-of-defun
        581,816   5%                            - seed7-top-block-name
        580,800   5%                             - seed7--to-top
        537,240   4%                              - seed7-re-search-backward
        537,240   4%                               - run-with-timer
        537,240   4%                                - run-at-time
        261,960   2%                                 - timer-activate
        261,960   2%                                  - timer--activate
        261,960   2%                                     timer--time-less-p
        168,720   1%                                   timer-relative-time
        106,560   0%                                 - timer-set-time
        106,560   0%                                    timer--time-setter
         43,560   0%                              - run-with-timer
         43,560   0%                               - run-at-time
         21,240   0%                                - timer-activate
         21,240   0%                                 - timer--activate
         21,240   0%                                    timer--time-less-p
         13,680   0%                                  timer-relative-time
          8,640   0%                                - timer-set-time
          8,640   0%                                   timer--time-setter
          1,016   0%                             - seed7--block-name
          1,016   0%                                match-string
         43,560   0%                            - seed7-re-search-backward
         43,560   0%                             - run-with-timer
         43,560   0%                              - run-at-time
         21,240   0%                               - timer-activate
         21,240   0%                                - timer--activate
         21,240   0%                                   timer--time-less-p
         13,680   0%                                 timer-relative-time
          8,640   0%                               - timer-set-time
          8,640   0%                                  timer--time-setter
         30,848   0%                              seed7-re-search-forward
          8,184   0%                              match-string-no-properties
          1,016   0%                              match-string
        604,451   5%                           - seed7-line-starts-with-any
        604,451   5%                              seed7-line-starts-with
        301,032   2%                             looking-back
         95,232   0%                           - seed7-move-to-line
         95,232   0%                              seed7-to-previous-non-empty-line
         39,496   0%                           - seed7--safe-current-line-defun-start-indent
         39,496   0%                            - seed7-to-block-backward
         39,496   0%                             - seed7-re-search-backward
         25,168   0%                              - run-with-timer
         25,168   0%                               - run-at-time
         12,272   0%                                - timer-activate
         12,272   0%                                 - timer--activate
         12,272   0%                                    timer--time-less-p
          7,904   0%                                  timer-relative-time
          4,992   0%                                - timer-set-time
          4,992   0%                                   timer--time-setter
         14,328   0%                                re-search-backward
         18,424   0%                           - seed7--current-line-nth-word
         18,424   0%                            - thing-at-point
         18,424   0%                             - bounds-of-thing-at-point
         10,240   0%                                re-search-forward
          8,184   0%                              - #<byte-code-function 2C9>
          8,184   0%                               - forward-thing
          8,184   0%                                  format
