     51,203,443  99% - ...
     51,203,443  99%  - #<primitive-function call-interactively>
     51,203,443  99%   - funcall-interactively
     51,203,443  99%    - smex
     51,203,443  99%     - smex-read-and-run
     51,203,443  99%      - execute-extended-command
     51,203,443  99%       - command-execute
     51,203,443  99%        - call-interactively
     51,203,443  99%         - apply
     51,203,443  99%          - call-interactively@ido-cr+-record-current-command
     51,203,443  99%           - #<primitive-function call-interactively>
     51,203,443  99%            - funcall-interactively
     51,203,443  99%             - pel-profile-all
     51,203,443  99%              - pel-profile-dir
     51,203,443  99%               - pel-profile-indent
     51,203,443  99%                - pel-profile-indentation-test-of
     49,633,911  96%                 - call-interactively
     49,633,911  96%                  - apply
     49,633,911  96%                   - call-interactively@ido-cr+-record-current-command
     49,633,911  96%                    - #<primitive-function call-interactively>
     49,633,911  96%                     - funcall-interactively
     49,633,895  96%                      - seed7-complete-statement-or-indent
     49,633,895  96%                       - seed7-indent-region
     49,633,895  96%                        - seed7--indent-one-line
     49,633,895  96%                         - seed7-calc-indent
     13,958,401  27%                          - seed7-line-inside-a-block-cached
     13,958,401  27%                           - seed7-line-inside-a-block
     10,130,749  19%                            - seed7--safe-enclosing-block-bounds
     10,130,749  19%                             - seed7--block-end-pos-for
      9,762,125  19%                              - seed7-to-block-forward
      7,722,347  15%                               - seed7-end-of-defun
      7,169,791  13%                                - seed7-top-block-name
      7,084,176  13%                                 - seed7--to-top
      6,862,888  13%                                  - seed7-re-search-backward
      6,689,872  13%                                   - run-with-timer
      6,689,872  13%                                    - run-at-time
      4,113,648   8%                                     - timer-activate
      4,113,648   8%                                      - timer--activate
      4,113,648   8%                                         timer--time-less-p
      1,578,976   3%                                       timer-relative-time
        997,248   1%                                     - timer-set-time
        997,248   1%                                        timer--time-setter
        134,752   0%                                   - seed7-inside-comment-p
        134,752   0%                                    - syntax-ppss
        134,752   0%                                     - syntax-propertize
        134,752   0%                                        seed7-mode-syntax-propertize
         38,264   0%                                     re-search-backward
        221,288   0%                                  - run-with-timer
        221,288   0%                                   - run-at-time
        123,872   0%                                    - timer-activate
        123,872   0%                                     - timer--activate
        123,872   0%                                        timer--time-less-p
         59,584   0%                                      timer-relative-time
         37,832   0%                                    - timer-set-time
         37,632   0%                                       timer--time-setter
         85,615   0%                                 - seed7--block-name
         66,199   0%                                    seed7-re-search-forward
         11,232   0%                                    match-string
        221,088   0%                                - seed7-re-search-backward
        221,088   0%                                 - run-with-timer
        221,088   0%                                  - run-at-time
        123,872   0%                                   - timer-activate
        123,872   0%                                    - timer--activate
        123,872   0%                                       timer--time-less-p
         59,584   0%                                     timer-relative-time
         37,632   0%                                   - timer-set-time
         37,632   0%                                      timer--time-setter
        207,074   0%                                - seed7-re-search-forward
         39,365   0%                                 - seed7-inside-comment-p
         39,365   0%                                  - syntax-ppss
         39,365   0%                                   - syntax-propertize
         39,365   0%                                      seed7-mode-syntax-propertize
         19,416   0%                                  match-string
      1,007,290   1%                               - seed7-re-search-forward
         46,670   0%                                - seed7-inside-comment-p
         46,670   0%                                 - syntax-ppss
         46,670   0%                                  - syntax-propertize
         46,670   0%                                     seed7-mode-syntax-propertize
        614,400   1%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        401,720   0%                               - seed7--current-line-nth-word
        401,720   0%                                - thing-at-point
        277,264   0%                                 - bounds-of-thing-at-point
        171,864   0%                                  - #<byte-code-function 2D8>
        171,864   0%                                   - forward-thing
        171,864   0%                                      format
         73,656   0%                                  - #<byte-code-function 3F7>
         73,656   0%                                   - forward-thing
         73,656   0%                                      format
         31,744   0%                                    re-search-forward
         16,368   0%                                 seed7--end-regexp-for
        340,976   0%                              - seed7--line-ends-a-statement-p
        300,016   0%                                 looking-at
         40,960   0%                               - forward-sexp
         40,960   0%                                  seed7--forward-sexp-function
          9,216   0%                              - seed7-to-next-line-starts-with
          9,216   0%                                 seed7-re-search-forward
      2,207,020   4%                            - seed7-re-search-backward
      1,390,824   2%                             - run-with-timer
      1,390,824   2%                              - run-at-time
        779,256   1%                               - timer-activate
        779,256   1%                                - timer--activate
        779,256   1%                                   timer--time-less-p
        374,832   0%                                 timer-relative-time
        236,736   0%                               - timer-set-time
        236,736   0%                                  timer--time-setter
        816,196   1%                               re-search-backward
        790,376   1%                            - seed7-calc-indent
        390,040   0%                             - seed7-line-is-defun-end
        136,800   0%                              - seed7-beg-of-defun
         64,848   0%                               - seed7-re-search-backward-closest
         64,848   0%                                - seed7-re-search-backward
         44,544   0%                                   re-search-backward
         20,304   0%                                 - run-with-timer
         20,304   0%                                  - run-at-time
         11,376   0%                                   - timer-activate
         11,376   0%                                    - timer--activate
         11,376   0%                                       timer--time-less-p
          5,472   0%                                     timer-relative-time
          3,456   0%                                   - timer-set-time
          3,456   0%                                      timer--time-setter
         30,624   0%                               - seed7-re-search-backward
         19,344   0%                                  re-search-backward
         11,280   0%                                - run-with-timer
         11,280   0%                                 - run-at-time
          6,320   0%                                  - timer-activate
          6,320   0%                                   - timer--activate
          6,320   0%                                      timer--time-less-p
          3,040   0%                                    timer-relative-time
          1,920   0%                                  - timer-set-time
          1,920   0%                                     timer--time-setter
          4,464   0%                               - seed7-top-block-name
          3,440   0%                                - seed7--to-top
          2,312   0%                                 - seed7-re-search-backward
          1,288   0%                                  - run-with-timer
          1,288   0%                                   - run-at-time
            792   0%                                    - timer-activate
            792   0%                                     - timer--activate
            792   0%                                        timer--time-less-p
            304   0%                                      timer-relative-time
            192   0%                                    - timer-set-time
            192   0%                                       timer--time-setter
          1,024   0%                                    re-search-backward
          1,128   0%                                 - run-with-timer
          1,128   0%                                  - run-at-time
            632   0%                                   - timer-activate
            632   0%                                    - timer--activate
            632   0%                                       timer--time-less-p
            304   0%                                     timer-relative-time
            192   0%                                   - timer-set-time
            192   0%                                      timer--time-setter
          1,024   0%                                - seed7--block-name
          1,024   0%                                   seed7-re-search-forward
        109,992   0%                              - seed7-line-starts-with-any
        109,992   0%                                 seed7-line-starts-with
        105,368   0%                              - seed7-end-of-defun
         94,832   0%                               - seed7-top-block-name
         94,832   0%                                - seed7--to-top
         91,448   0%                                 - seed7-re-search-backward
         91,448   0%                                  - run-with-timer
         91,448   0%                                   - run-at-time
         56,232   0%                                    - timer-activate
         56,232   0%                                     - timer--activate
         56,232   0%                                        timer--time-less-p
         21,584   0%                                      timer-relative-time
         13,632   0%                                    - timer-set-time
         13,632   0%                                       timer--time-setter
          3,384   0%                                 - run-with-timer
          3,384   0%                                  - run-at-time
          1,896   0%                                   - timer-activate
          1,896   0%                                    - timer--activate
          1,896   0%                                       timer--time-less-p
            912   0%                                     timer-relative-time
            576   0%                                   - timer-set-time
            576   0%                                      timer--time-setter
          3,384   0%                               - seed7-re-search-backward
          3,384   0%                                - run-with-timer
          3,384   0%                                 - run-at-time
          1,896   0%                                  - timer-activate
          1,896   0%                                   - timer--activate
          1,896   0%                                      timer--time-less-p
            912   0%                                    timer-relative-time
            576   0%                                  - timer-set-time
            576   0%                                     timer--time-setter
          2,048   0%                                 seed7-re-search-forward
          2,032   0%                                 match-string
         27,648   0%                                looking-back
          8,184   0%                              - seed7--current-line-nth-word
          8,184   0%                               - thing-at-point
          8,184   0%                                - bounds-of-thing-at-point
          8,184   0%                                 - #<byte-code-function 4FC>
          8,184   0%                                  - forward-thing
          8,184   0%                                     format
          2,048   0%                              - seed7-move-to-line
          2,048   0%                                 seed7-to-previous-non-empty-line
         86,720   0%                             - seed7-line-inside-parens-pair-column
         86,720   0%                              - seed7-line-inside-parens-pair
         72,384   0%                               - seed7-re-search-backward
         63,168   0%                                - run-with-timer
         63,168   0%                                 - run-at-time
         35,392   0%                                  - timer-activate
         35,392   0%                                   - timer--activate
         35,392   0%                                      timer--time-less-p
         17,024   0%                                    timer-relative-time
         10,752   0%                                  - timer-set-time
         10,752   0%                                     timer--time-setter
          9,216   0%                                  re-search-backward
         14,336   0%                               - forward-sexp
         14,336   0%                                  seed7--forward-sexp-function
         73,760   0%                             - seed7-line-inside-a-block-cached
         73,760   0%                              - seed7-line-inside-a-block
         33,792   0%                               - seed7--safe-enclosing-block-bounds
         33,792   0%                                - seed7--block-end-pos-for
         26,624   0%                                 - seed7--line-ends-a-statement-p
         24,576   0%                                    looking-at
          2,048   0%                                  - forward-sexp
          2,048   0%                                     seed7--forward-sexp-function
          5,120   0%                                 - seed7-to-block-forward
          2,048   0%                                    seed7-inside-line-trailing-whitespace-before-line-end-comment-p
          2,048   0%                                    seed7-re-search-forward
          1,024   0%                                  - seed7--current-line-nth-word
          1,024   0%                                   - thing-at-point
          1,024   0%                                    - bounds-of-thing-at-point
          1,024   0%                                       re-search-forward
         31,776   0%                               - seed7-re-search-backward
         22,560   0%                                - run-with-timer
         22,560   0%                                 - run-at-time
         12,640   0%                                  - timer-activate
         12,640   0%                                   - timer--activate
         12,640   0%                                      timer--time-less-p
          6,080   0%                                    timer-relative-time
          3,840   0%                                  - timer-set-time
          3,840   0%                                     timer--time-setter
          9,216   0%                                  re-search-backward
          8,192   0%                                 replace-regexp-in-string
         39,464   0%                             - seed7-line-at-endof-array-definition-block
         32,800   0%                              - seed7-line-code-ends-with
         32,800   0%                               - seed7-re-search-backward
         22,560   0%                                - run-with-timer
         22,560   0%                                 - run-at-time
         12,640   0%                                  - timer-activate
         12,640   0%                                   - timer--activate
         12,640   0%                                      timer--time-less-p
          6,080   0%                                    timer-relative-time
          3,840   0%                                  - timer-set-time
          3,840   0%                                     timer--time-setter
         10,240   0%                                  re-search-backward
          4,512   0%                              - backward-sexp
          4,512   0%                               - forward-sexp
