     40,197,158  99% - ...
     40,197,158  99%  - #<primitive-function call-interactively>
     40,197,158  99%   - funcall-interactively
     40,197,158  99%    - smex
     40,197,158  99%     - smex-read-and-run
     40,197,158  99%      - execute-extended-command
     40,197,158  99%       - command-execute
     40,197,158  99%        - call-interactively
     40,197,158  99%         - apply
     40,197,158  99%          - call-interactively@ido-cr+-record-current-command
     40,197,158  99%           - #<primitive-function call-interactively>
     40,197,158  99%            - funcall-interactively
     40,197,158  99%             - pel-profile-all
     40,197,158  99%              - pel-profile-dir
     40,197,158  99%               - pel-profile-indent
     40,197,158  99%                - pel-profile-indentation-test-of
     38,633,258  96%                 - call-interactively
     38,633,258  96%                  - apply
     38,633,258  96%                   - call-interactively@ido-cr+-record-current-command
     38,633,258  96%                    - #<primitive-function call-interactively>
     38,633,258  96%                     - funcall-interactively
     38,633,242  96%                      - seed7-complete-statement-or-indent
     38,633,242  96%                       - seed7-indent-region
     38,633,242  96%                        - seed7--indent-one-line
     38,633,242  96%                         - seed7-calc-indent
     12,431,242  30%                          - seed7-line-inside-parens-pair-column
     12,431,242  30%                           - seed7-line-inside-parens-pair
     10,952,440  27%                            - seed7-re-search-backward
     10,358,536  25%                             - run-with-timer
     10,358,536  25%                              - run-at-time
      5,050,872  12%                               - timer-activate
      5,050,872  12%                                - timer--activate
      5,050,872  12%                                   timer--time-less-p
      3,253,072   8%                                 timer-relative-time
      2,054,592   5%                               - timer-set-time
      2,054,592   5%                                  timer--time-setter
        593,904   1%                               re-search-backward
      1,466,514   3%                            - forward-sexp
        903,288   2%                               seed7--forward-sexp-function
         12,288   0%                            - seed7-line-inside-syntax-parens-pair
         12,288   0%                             - forward-sexp
         12,288   0%                                seed7--forward-sexp-function
      6,301,085  15%                          - seed7-line-inside-a-block-cached
      6,301,085  15%                           - seed7-line-inside-a-block
      3,673,894   9%                            - seed7--safe-enclosing-block-bounds
      3,673,894   9%                             - seed7--block-end-pos-for
      3,568,430   8%                              - seed7-to-block-forward
      1,514,820   3%                               - seed7-end-of-defun
      1,325,468   3%                                - seed7-top-block-name
      1,282,009   3%                                 - seed7--to-top
      1,208,441   3%                                  - seed7-re-search-backward
      1,121,912   2%                                   - run-with-timer
      1,121,912   2%                                    - run-at-time
        547,048   1%                                     - timer-activate
        547,048   1%                                      - timer--activate
        547,048   1%                                         timer--time-less-p
        352,336   0%                                       timer-relative-time
        222,528   0%                                     - timer-set-time
        222,528   0%                                        timer--time-setter
         66,561   0%                                   - seed7-inside-comment-p
         66,561   0%                                    - syntax-ppss
         66,561   0%                                     - syntax-propertize
         66,561   0%                                        seed7-mode-syntax-propertize
         19,968   0%                                     re-search-backward
         73,568   0%                                  - run-with-timer
         73,568   0%                                   - run-at-time
         35,872   0%                                    - timer-activate
         35,872   0%                                     - timer--activate
         35,872   0%                                        timer--time-less-p
         23,104   0%                                      timer-relative-time
         14,592   0%                                    - timer-set-time
         14,592   0%                                       timer--time-setter
         43,459   0%                                 - seed7--block-name
         43,459   0%                                    seed7-re-search-forward
