     12,551,169  99% - ...
     12,551,169  99%  - #<primitive-function call-interactively>
     12,551,169  99%   - funcall-interactively
     12,551,169  99%    - smex
     12,551,169  99%     - smex-read-and-run
     12,551,169  99%      - execute-extended-command
     12,551,169  99%       - command-execute
     12,551,169  99%        - call-interactively
     12,551,169  99%         - apply
     12,551,169  99%          - call-interactively@ido-cr+-record-current-command
     12,551,169  99%           - #<primitive-function call-interactively>
     12,551,169  99%            - funcall-interactively
     12,551,169  99%             - pel-profile-all
     12,551,169  99%              - pel-profile-dir
     12,551,169  99%               - pel-profile-indent
     12,551,169  99%                - pel-profile-indentation-test-of
     10,987,269  87%                 - call-interactively
     10,987,269  87%                  - apply
     10,987,269  87%                   - call-interactively@ido-cr+-record-current-command
     10,987,269  87%                    - #<primitive-function call-interactively>
     10,987,269  87%                     - funcall-interactively
     10,987,253  87%                      - seed7-complete-statement-or-indent
     10,987,253  87%                       - seed7-indent-region
     10,987,253  87%                        - seed7--indent-one-line
     10,987,253  87%                         - seed7-calc-indent
      5,353,397  42%                          - seed7-line-is-defun-end
      3,041,325  24%                           - seed7-end-of-defun
      2,510,560  19%                            - seed7-top-block-name
      2,500,344  19%                             - seed7--to-top
      2,363,856  18%                              - seed7-re-search-backward
      2,363,856  18%                               - run-with-timer
      2,363,856  18%                                - run-at-time
      1,152,624   9%                                 - timer-activate
      1,152,624   9%                                  - timer--activate
      1,152,624   9%                                     timer--time-less-p
        742,368   5%                                   timer-relative-time
        468,864   3%                                 - timer-set-time
        468,864   3%                                    timer--time-setter
        136,488   1%                              - run-with-timer
        136,488   1%                               - run-at-time
         66,552   0%                                - timer-activate
         66,552   0%                                 - timer--activate
         66,552   0%                                    timer--time-less-p
         42,864   0%                                  timer-relative-time
         27,072   0%                                - timer-set-time
         27,072   0%                                   timer--time-setter
         10,216   0%                             - seed7--block-name
          2,032   0%                                match-string
        210,637   1%                            - seed7-re-search-forward
        114,253   0%                             - seed7-inside-comment-p
        114,253   0%                              - syntax-ppss
        114,253   0%                               - syntax-propertize
        114,253   0%                                  seed7-mode-syntax-propertize
        136,488   1%                            - seed7-re-search-backward
        136,488   1%                             - run-with-timer
        136,488   1%                              - run-at-time
         66,552   0%                               - timer-activate
         66,552   0%                                - timer--activate
         66,552   0%                                   timer--time-less-p
         42,864   0%                                 timer-relative-time
         27,072   0%                               - timer-set-time
         27,072   0%                                  timer--time-setter
         42,840   0%                              match-string
         24,552   0%                              match-string-no-properties
      1,171,518   9%                           - seed7-beg-of-defun
        344,124   2%                            - seed7-re-search-backward
        227,480   1%                             - run-with-timer
        227,480   1%                              - run-at-time
        110,920   0%                               - timer-activate
        110,920   0%                                - timer--activate
        110,920   0%                                   timer--time-less-p
         71,440   0%                                 timer-relative-time
         45,120   0%                               - timer-set-time
         45,120   0%                                  timer--time-setter
        116,644   0%                               re-search-backward
        249,823   1%                            - seed7-re-search-backward-closest
