        8406  89% - ...
        8406  89%  - pel-profile-indent
        8406  89%   - pel-profile-indentation-test-of
        8406  89%    - call-interactively
        8406  89%     - apply
        8406  89%      - call-interactively@ido-cr+-record-current-command
        8406  89%       - #<primitive-function call-interactively>
        8406  89%        - funcall-interactively
        8376  89%         - pel-profile-all
        8376  89%          - pel-profile-dir
        8376  89%           - pel-profile-indent
        8376  89%            - pel-profile-indentation-test-of
        8376  89%             - call-interactively
        8376  89%              - apply
        8376  89%               - call-interactively@ido-cr+-record-current-command
        8376  89%                - #<primitive-function call-interactively>
        8376  89%                 - funcall-interactively
        8376  89%                  - seed7-complete-statement-or-indent
        8376  89%                   - seed7-indent-region
        8376  89%                    - seed7--indent-one-line
        8374  89%                     - seed7-calc-indent
        1896  20%                      - seed7--indent-search-boundary
        1895  20%                       - seed7--indent-search-boundary-uncached
        1661  17%                        - syntax-ppss
        1608  17%                           parse-partial-sexp
           9   0%                         - #<byte-code-function 448>
           2   0%                            set-syntax-table
           5   0%                           syntax-ppss--update-stats
           5   0%                           make-closure
           4   0%                           syntax-ppss--data
           3   0%                           syntax-ppss-toplevel-pos
           2   0%                           set-syntax-table
           2   0%                           syntax-table
           2   0%                           syntax-propertize
          29   0%                          seed7-to-indent
        1668  17%                      - seed7-line-inside-array-definition-block
        1668  17%                       - seed7-re-search-backward
        1631  17%                          re-search-backward
          36   0%                        - run-with-timer
          36   0%                         - run-at-time
          19   0%                          - timer-activate
          19   0%                           - timer--activate
          18   0%                            - timer--time-less-p
           1   0%                               timer--time
          13   0%                          - timer-set-time
          13   0%                             timer--time-setter
           4   0%                            timer-relative-time
           1   0%                          #<byte-code-function 674>
        1660  17%                      - seed7-line-inside-set-definition-block
        1660  17%                       - seed7-re-search-backward
        1616  17%                          re-search-backward
          40   0%                        - run-with-timer
          40   0%                         - run-at-time
          27   0%                          - timer-activate
          27   0%                           - timer--activate
          26   0%                            - timer--time-less-p
           1   0%                               timer--time
           7   0%                            timer-relative-time
           6   0%                          - timer-set-time
           6   0%                             timer--time-setter
           1   0%                          make-closure
           1   0%                          #<byte-code-function 33A>
        1530  16%                      - seed7-line-inside-parens-pair-column
        1530  16%                       - seed7-line-inside-parens-pair
        1357  14%                        - seed7-re-search-backward
         867   9%                         - seed7-inside-comment-p
         866   9%                          - syntax-ppss
         859   9%                             parse-partial-sexp
           1   0%                             syntax-ppss--update-stats
           1   0%                             syntax-table
         445   4%                         - run-with-timer
         445   4%                          - run-at-time
         261   2%                           - timer-activate
         260   2%                            - timer--activate
         258   2%                             - timer--time-less-p
           5   0%                                timer--time
         106   1%                           - timer-set-time
         106   1%                              timer--time-setter
          75   0%                             timer-relative-time
           1   0%                             timer-create
          29   0%                           re-search-backward
          10   0%                         - seed7-inside-string-p
           9   0%                          - syntax-ppss
           2   0%                             #<byte-code-function 596>
           2   0%                             parse-partial-sexp
           2   0%                             make-closure
           1   0%                             syntax-ppss--update-stats
           1   0%                             syntax-table
           1   0%                             set-syntax-table
           1   0%                           make-closure
         103   1%                        - forward-sexp
         103   1%                           seed7--forward-sexp-function
          49   0%                        - seed7-line-inside-syntax-parens-pair
          34   0%                         - syntax-ppss
          33   0%                            parse-partial-sexp
           1   0%                            make-closure
          13   0%                         - forward-sexp
          13   0%                            seed7--forward-sexp-function
           1   0%                          seed7--paren-pair-string
        1125  11%                      - seed7-line-inside-a-block-cached
        1125  11%                       - seed7-line-inside-a-block
         589   6%                        - seed7--safe-enclosing-block-bounds
         589   6%                         - seed7--block-end-pos-for
         589   6%                          - seed7-to-block-forward
         572   6%                           - seed7-re-search-forward
         184   1%                            - seed7-inside-comment-p
         184   1%                             - syntax-ppss
          95   1%                                parse-partial-sexp
          88   0%                              - syntax-propertize
          85   0%                                 seed7-mode-syntax-propertize
           1   0%                                 #<byte-code-function BC6>
          11   0%                           - seed7-end-of-defun
           9   0%                              seed7-re-search-forward
           2   0%                            - seed7-re-search-backward
           2   0%                               re-search-backward
           3   0%                           - seed7--current-line-nth-word
           1   0%                            - thing-at-point
           1   0%                               bounds-of-thing-at-point
           2   0%                           - seed7-inside-comment-p
           2   0%                            - syntax-ppss
           2   0%                               parse-partial-sexp
           1   0%                           - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
           1   0%                            - seed7-inside-comment-p
           1   0%                             - syntax-ppss
           1   0%                                syntax-ppss--update-stats
         532   5%                        - seed7-re-search-backward
         523   5%                           re-search-backward
           6   0%                         - run-with-timer
           6   0%                          - run-at-time
           3   0%                           - timer-activate
           3   0%                            - timer--activate
           3   0%                               timer--time-less-p
           2   0%                           - timer-set-time
           2   0%                              timer--time-setter
           1   0%                             timer-relative-time
           2   0%                         - seed7-inside-comment-p
           2   0%                          - syntax-ppss
           2   0%                             parse-partial-sexp
           1   0%                         - seed7-inside-string-p
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
           1   0%                        - seed7-calc-indent
           1   0%                         - seed7-line-inside-parens-pair-column
           1   0%                          - seed7-line-inside-parens-pair
           1   0%                           - seed7-re-search-backward
           1   0%                            - seed7-inside-comment-p
           1   0%                             - syntax-ppss
           1   0%                                parse-partial-sexp
           1   0%                          seed7--on-lineof
         123   1%                      - seed7-line-inside-logic-check-expression
         123   1%                       - seed7-to-previous-line-starts-with
         123   1%                        - seed7-re-search-backward
         122   1%                           re-search-backward
           1   0%                         - run-with-timer
           1   0%                          - run-at-time
           1   0%                           - timer-set-time
           1   0%                              timer--time-setter
         100   1%                      - seed7--current-line-nth-word
          99   1%                       - thing-at-point
          99   1%                        - bounds-of-thing-at-point
          96   1%                         - #<byte-code-function D71>
          96   1%                          - forward-thing
          94   1%                           - forward-word
          93   0%                            - internal--syntax-propertize
          93   0%                             - syntax-propertize
          82   0%                                seed7-mode-syntax-propertize
           6   0%                              - #<byte-code-function 060>
           6   0%                               - syntax-propertize-wholelines
           1   0%                                  syntax--lbp
           1   0%                           re-search-forward
           1   0%                         - #<byte-code-function F86>
           1   0%                          - forward-thing
           1   0%                             intern-soft
          59   0%                      - seed7-line-inside-until-logic-expression
          59   0%                       - seed7-re-search-backward
          56   0%                          re-search-backward
           3   0%                        - run-with-timer
           3   0%                         - run-at-time
           1   0%                          - timer-set-time
           1   0%                             timer--time-setter
           1   0%                          - timer-activate
           1   0%                           - timer--activate
           1   0%                              timer--time-less-p
           1   0%                            timer-relative-time
          50   0%                      - seed7-line-inside-argument-list-section
          50   0%                       - seed7-re-search-backward
          50   0%                          re-search-backward
          46   0%                      - seed7-line-inside-func-return-statement
          46   0%                       - seed7-re-search-backward
          44   0%                          re-search-backward
           2   0%                        - run-with-timer
           2   0%                         - run-at-time
           1   0%                            timer-relative-time
           1   0%                          - timer-activate
           1   0%                           - timer--activate
           1   0%                              timer--time-less-p
          45   0%                      - seed7-line-inside-assign-statement-continuation
          44   0%                       - seed7-assign-op-pos
          44   0%                        - seed7-re-search-backward
          37   0%                           re-search-backward
           4   0%                         - run-with-timer
           4   0%                          - run-at-time
           4   0%                           - timer-activate
           4   0%                            - timer--activate
           4   0%                               timer--time-less-p
           2   0%                         - seed7-inside-comment-p
           2   0%                          - syntax-ppss
           2   0%                             parse-partial-sexp
           1   0%                       - seed7-statement-end-pos
           1   0%                        - seed7-forward-char-pos
           1   0%                         - seed7-re-search-forward
           1   0%                          - seed7-inside-comment-p
           1   0%                             syntax-ppss
          43   0%                      - seed7-line-ends-with
          34   0%                       - seed7-re-search-backward
          33   0%                        - run-with-timer
          33   0%                         - run-at-time
          21   0%                          - timer-activate
          21   0%                           - timer--activate
          21   0%                              timer--time-less-p
           7   0%                          - timer-set-time
           7   0%                             timer--time-setter
           4   0%                            timer-relative-time
           1   0%                          re-search-backward
           8   0%                       - seed7-move-to-line
           8   0%                        - seed7-to-previous-non-empty-line
           3   0%                         - seed7-inside-comment-p
           3   0%                          - syntax-ppss
           3   0%                             parse-partial-sexp
          18   0%                      - seed7-current-line-start-inside-comment-p
          18   0%                       - seed7-inside-comment-p
          18   0%                        - syntax-ppss
          18   0%                           parse-partial-sexp
          11   0%                      - seed7-line-is-defun-end
           7   0%                       - seed7--safe-current-line-defun-start-indent
           7   0%                        - seed7-to-block-backward
           7   0%                         - seed7-re-search-backward
           7   0%                            re-search-backward
           2   0%                       - seed7-beg-of-defun
           2   0%                        - seed7-re-search-backward
           2   0%                           re-search-backward
           1   0%                         line-beginning-position
           1   0%                         looking-back
           1   0%                       seed7-to-indent
          30   0%         - seed7-complete-statement-or-indent
          30   0%          - seed7-indent-region
          30   0%           - seed7--indent-one-line
          30   0%            - seed7-calc-indent
          17   0%             - seed7-comment-column
          15   0%              - seed7-calc-indent
           4   0%               - seed7-line-inside-parens-pair-column
           4   0%                - seed7-line-inside-parens-pair
           3   0%                 - seed7-re-search-backward
           3   0%                  - seed7-inside-comment-p
           3   0%                   - syntax-ppss
           3   0%                      parse-partial-sexp
           1   0%                 - seed7-line-inside-syntax-parens-pair
           1   0%                  - syntax-ppss
           1   0%                     parse-partial-sexp
           3   0%               - seed7-line-at-endof-array-definition-block
           3   0%                - seed7-move-to-line
           3   0%                 - seed7-to-previous-non-empty-line
           3   0%                  - seed7-inside-comment-p
           3   0%                   - syntax-ppss
           2   0%                      parse-partial-sexp
           1   0%                      syntax-propertize
           2   0%               - seed7-line-is-defun-end
           2   0%                - seed7-move-to-line
           2   0%                 - seed7-to-previous-non-empty-line
           2   0%                  - seed7-inside-comment-p
           2   0%                   - syntax-ppss
           2   0%                      parse-partial-sexp
           2   0%               - seed7-line-at-endof-set-definition-block
           2   0%                - seed7-move-to-line
           2   0%                 - seed7-to-previous-non-empty-line
           2   0%                  - seed7-inside-comment-p
           2   0%                   - syntax-ppss
           2   0%                      parse-partial-sexp
           1   0%               - seed7-line-after-func-return-logic-operator-column
           1   0%                - seed7-move-to-line
           1   0%                 - seed7-to-previous-non-empty-line
           1   0%                  - seed7-inside-comment-p
           1   0%                   - syntax-ppss
           1   0%                      parse-partial-sexp
           1   0%               - seed7-current-line-start-inside-comment-p
           1   0%                - seed7-inside-comment-p
           1   0%                 - syntax-ppss
           1   0%                    parse-partial-sexp
           1   0%               - seed7-line-after-short-func-end
           1   0%                - seed7-move-to-line
           1   0%                 - seed7-to-previous-non-empty-line
           1   0%                  - seed7-inside-comment-p
           1   0%                   - syntax-ppss
           1   0%                      parse-partial-sexp
           1   0%               - seed7-line-starts-with-open-paren-after-logic-operator
           1   0%                - seed7-move-to-line
           1   0%                 - seed7-to-previous-non-empty-line
           1   0%                  - seed7-inside-comment-p
           1   0%                   - syntax-ppss
           1   0%                      parse-partial-sexp
           2   0%              - seed7-line-code-ends-with
           2   0%               - seed7-move-to-line
           2   0%                - seed7-to-previous-non-empty-line
           2   0%                 - seed7-inside-comment-p
           2   0%                  - syntax-ppss
           2   0%                     parse-partial-sexp
          12   0%             - seed7-line-is-defun-end
          10   0%              - seed7-move-to-line
          10   0%               - seed7-to-previous-non-empty-line
          10   0%                - seed7-inside-comment-p
          10   0%                 - syntax-ppss
          10   0%                    parse-partial-sexp
           2   0%              - seed7-beg-of-defun
           2   0%               - seed7-re-search-backward-closest
           2   0%                - seed7-re-search-backward
           2   0%                   re-search-backward
           1   0%             - seed7-line-after-short-func-end
           1   0%              - seed7-move-to-line
           1   0%               - seed7-to-previous-non-empty-line
           1   0%                - seed7-inside-comment-p
           1   0%                 - syntax-ppss
           1   0%                    parse-partial-sexp
         980  10%   Automatic GC
