         459  90% - ...
         459  90%  - apply
         459  90%   - call-interactively@ido-cr+-record-current-command
         459  90%    - #<primitive-function call-interactively>
         459  90%     - funcall-interactively
         458  89%      - pel-profile-all
         458  89%       - pel-profile-dir
         458  89%        - pel-profile-indent
         458  89%         - pel-profile-indentation-test-of
         458  89%          - call-interactively
         458  89%           - apply
         458  89%            - call-interactively@ido-cr+-record-current-command
         458  89%             - #<primitive-function call-interactively>
         458  89%              - funcall-interactively
         458  89%               - seed7-complete-statement-or-indent
         458  89%                - seed7-indent-region
         458  89%                 - seed7--indent-one-line
         458  89%                  - seed7-calc-indent
         242  47%                   - seed7--indent-search-boundary
         242  47%                    - seed7--indent-search-boundary-uncached
         239  46%                     - syntax-ppss
         235  46%                        parse-partial-sexp
           1   0%                        make-closure
           1   0%                      - #<byte-code-function 28D>
           1   0%                         set-syntax-table
           1   0%                        syntax-ppss--update-stats
           1   0%                        set-syntax-table
          93  18%                   - seed7-line-is-defun-end
          82  16%                    - seed7-end-of-defun
          45   8%                     - seed7-top-block-name
          44   8%                      - seed7--to-top
          40   7%                       - seed7-re-search-backward
          31   6%                        - seed7-inside-comment-p
          31   6%                         - syntax-ppss
          30   5%                            parse-partial-sexp
           7   1%                        - run-with-timer
           7   1%                         - run-at-time
           5   0%                          - timer-activate
           5   0%                           - timer--activate
           5   0%                              timer--time-less-p
           1   0%                            timer-relative-time
           1   0%                          - timer-set-time
           1   0%                             timer--time-setter
           1   0%                          re-search-backward
           4   0%                       - run-with-timer
           4   0%                        - run-at-time
           3   0%                         - timer-set-time
           3   0%                            timer--time-setter
           1   0%                         - timer-activate
           1   0%                          - timer--activate
           1   0%                             timer--time-less-p
           1   0%                      - seed7--block-name
           1   0%                       - seed7-re-search-forward
           1   0%                        - seed7-inside-string-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
          35   6%                     - seed7-re-search-forward
          18   3%                      - seed7-inside-comment-p
          18   3%                       - syntax-ppss
          16   3%                          parse-partial-sexp
           2   0%                        - syntax-propertize
           1   0%                         - #<byte-code-function 99B>
           1   0%                            set-syntax-table
           1   0%                           seed7-mode-syntax-propertize
           8   1%                      - seed7-inside-string-p
           8   1%                       - syntax-ppss
           8   1%                          parse-partial-sexp
           2   0%                     - seed7-re-search-backward
           1   0%                      - run-with-timer
           1   0%                       - run-at-time
           1   0%                        - timer-activate
           1   0%                         - timer--activate
           1   0%                            timer--time-less-p
           1   0%                      - seed7-inside-comment-p
           1   0%                       - syntax-ppss
           1   0%                          parse-partial-sexp
           9   1%                    - seed7-beg-of-defun
           6   1%                     - seed7-re-search-backward
           4   0%                      - seed7-inside-comment-p
           4   0%                       - syntax-ppss
           4   0%                          parse-partial-sexp
           1   0%                        re-search-backward
           1   0%                      - run-with-timer
           1   0%                       - run-at-time
           1   0%                        - timer-set-time
           1   0%                           timer--time-setter
           3   0%                     - seed7-re-search-backward-closest
           3   0%                      - seed7-re-search-backward
           2   0%                         re-search-backward
           1   0%                       - run-with-timer
           1   0%                        - run-at-time
           1   0%                         - timer-set-time
           1   0%                            timer--time-setter
           1   0%                    - seed7-inside-comment-p
           1   0%                     - syntax-ppss
           1   0%                        parse-partial-sexp
           1   0%                    - seed7-move-to-line
           1   0%                     - seed7-to-previous-non-empty-line
           1   0%                      - seed7-inside-comment-p
           1   0%                       - syntax-ppss
           1   0%                          parse-partial-sexp
          59  11%                   - seed7-comment-column
          57  11%                    - seed7-calc-indent
          21   4%                     - seed7--indent-search-boundary
          21   4%                      - seed7--indent-search-boundary-uncached
          21   4%                       - syntax-ppss
          21   4%                          parse-partial-sexp
           9   1%                     - seed7-line-is-defun-end
           5   0%                      - seed7-end-of-defun
           4   0%                       - seed7-re-search-forward
           2   0%                        - seed7-inside-comment-p
           2   0%                         - syntax-ppss
           2   0%                            parse-partial-sexp
           1   0%                       - seed7-top-block-name
           1   0%                        - seed7--to-top
           1   0%                         - seed7-re-search-backward
           1   0%                          - run-with-timer
           1   0%                           - run-at-time
           1   0%                            - timer-activate
           1   0%                             - timer--activate
           1   0%                                timer--time-less-p
           2   0%                      - seed7-move-to-line
           2   0%                       - seed7-to-previous-non-empty-line
           2   0%                        - seed7-inside-comment-p
           2   0%                         - syntax-ppss
           2   0%                            parse-partial-sexp
           1   0%                        looking-back
           1   0%                      - seed7-beg-of-defun
