     19,479,734  99% - ...
     19,479,734  99%  - #<primitive-function call-interactively>
     19,479,734  99%   - funcall-interactively
     19,479,734  99%    - smex
     19,479,734  99%     - smex-read-and-run
     19,479,734  99%      - execute-extended-command
     19,479,734  99%       - command-execute
     19,479,734  99%        - call-interactively
     19,479,734  99%         - apply
     19,479,734  99%          - call-interactively@ido-cr+-record-current-command
     19,479,734  99%           - #<primitive-function call-interactively>
     19,479,734  99%            - funcall-interactively
     19,479,734  99%             - pel-profile-all
     19,479,734  99%              - pel-profile-dir
     19,479,734  99%               - pel-profile-indent
     19,479,734  99%                - pel-profile-indentation-test-of
     17,910,202  91%                 - call-interactively
     17,910,202  91%                  - apply
     17,910,202  91%                   - call-interactively@ido-cr+-record-current-command
     17,910,202  91%                    - #<primitive-function call-interactively>
     17,910,202  91%                     - funcall-interactively
     17,910,186  91%                      - seed7-complete-statement-or-indent
     17,910,186  91%                       - seed7-indent-region
     17,910,186  91%                        - seed7--indent-one-line
     17,910,186  91%                         - seed7-calc-indent
      6,081,628  31%                          - seed7-line-is-defun-end
      2,937,368  15%                           - seed7-end-of-defun
      2,574,397  13%                            - seed7-top-block-name
      2,574,397  13%                             - seed7--to-top
      2,461,141  12%                              - seed7-re-search-backward
      2,453,880  12%                               - run-with-timer
      2,453,880  12%                                - run-at-time
      1,196,520   6%                                 - timer-activate
      1,196,520   6%                                  - timer--activate
      1,196,520   6%                                     timer--time-less-p
        770,640   3%                                   timer-relative-time
        486,720   2%                                 - timer-set-time
        486,720   2%                                    timer--time-setter
          7,261   0%                               - seed7-inside-comment-p
          7,261   0%                                - syntax-ppss
          7,261   0%                                 - syntax-propertize
          7,261   0%                                    seed7-mode-syntax-propertize
        113,256   0%                              - run-with-timer
        113,256   0%                               - run-at-time
         55,224   0%                                - timer-activate
         55,224   0%                                 - timer--activate
         55,224   0%                                    timer--time-less-p
         35,568   0%                                  timer-relative-time
         22,464   0%                                - timer-set-time
         22,464   0%                                   timer--time-setter
        113,256   0%                            - seed7-re-search-backward
        113,256   0%                             - run-with-timer
        113,256   0%                              - run-at-time
         55,224   0%                               - timer-activate
         55,224   0%                                - timer--activate
         55,224   0%                                   timer--time-less-p
         35,568   0%                                 timer-relative-time
         22,464   0%                               - timer-set-time
         22,464   0%                                  timer--time-setter
         98,101   0%                            - seed7-re-search-forward
         17,973   0%                             - seed7-inside-comment-p
         17,973   0%                              - syntax-ppss
         17,973   0%                               - syntax-propertize
         17,973   0%                                  seed7-mode-syntax-propertize
         40,920   0%                              match-string
         16,368   0%                              match-string-no-properties
      1,262,763   6%                           - seed7-beg-of-defun
        469,350   2%                            - seed7-re-search-backward
        371,712   1%                             - run-with-timer
        371,712   1%                              - run-at-time
