     21,543,081  99% - ...
     21,543,081  99%  - #<primitive-function call-interactively>
     21,543,081  99%   - funcall-interactively
     21,543,081  99%    - smex
     21,543,081  99%     - smex-read-and-run
     21,543,081  99%      - execute-extended-command
     21,543,081  99%       - command-execute
     21,543,081  99%        - call-interactively
     21,543,081  99%         - apply
     21,543,081  99%          - call-interactively@ido-cr+-record-current-command
     21,543,081  99%           - #<primitive-function call-interactively>
     21,543,081  99%            - funcall-interactively
     21,543,081  99%             - pel-profile-all
     21,543,081  99%              - pel-profile-dir
     21,543,081  99%               - pel-profile-indent
     21,543,081  99%                - pel-profile-indentation-test-of
     19,979,181  92%                 - call-interactively
     19,979,181  92%                  - apply
     19,979,181  92%                   - call-interactively@ido-cr+-record-current-command
     19,979,181  92%                    - #<primitive-function call-interactively>
     19,979,181  92%                     - funcall-interactively
     19,979,165  92%                      - seed7-complete-statement-or-indent
     19,979,165  92%                       - seed7-indent-region
     19,979,165  92%                        - seed7--indent-one-line
     19,979,165  92%                         - seed7-calc-indent
      7,427,994  34%                          - seed7-line-is-defun-end
      3,360,068  15%                           - seed7-end-of-defun
      2,796,024  12%                            - seed7-top-block-name
      2,787,840  12%                             - seed7--to-top
      2,648,448  12%                              - seed7-re-search-backward
      2,648,448  12%                               - run-with-timer
      2,648,448  12%                                - run-at-time
      1,291,392   5%                                 - timer-activate
      1,291,392   5%                                  - timer--activate
      1,291,392   5%                                     timer--time-less-p
        831,744   3%                                   timer-relative-time
        525,312   2%                                 - timer-set-time
        525,312   2%                                    timer--time-setter
        139,392   0%                              - run-with-timer
        139,392   0%                               - run-at-time
         67,968   0%                                - timer-activate
         67,968   0%                                 - timer--activate
         67,968   0%                                    timer--time-less-p
         43,776   0%                                  timer-relative-time
         27,648   0%                                - timer-set-time
         27,648   0%                                   timer--time-setter
          8,184   0%                               seed7--block-name
        225,404   1%                            - seed7-re-search-forward
        126,972   0%                             - seed7-inside-comment-p
        126,972   0%                              - syntax-ppss
        126,972   0%                               - syntax-propertize
        126,972   0%                                  seed7-mode-syntax-propertize
        139,392   0%                            - seed7-re-search-backward
        139,392   0%                             - run-with-timer
        139,392   0%                              - run-at-time
