         189  85% - ...
         189  85%  - pel-profile-indentation-test-of
         189  85%   - call-interactively
         189  85%    - apply
         189  85%     - call-interactively@ido-cr+-record-current-command
         189  85%      - #<primitive-function call-interactively>
         189  85%       - funcall-interactively
         179  80%        - pel-profile-all
         179  80%         - pel-profile-dir
         179  80%          - pel-profile-indent
         179  80%           - pel-profile-indentation-test-of
         179  80%            - call-interactively
         179  80%             - apply
         179  80%              - call-interactively@ido-cr+-record-current-command
         179  80%               - #<primitive-function call-interactively>
         179  80%                - funcall-interactively
         179  80%                 - seed7-complete-statement-or-indent
         179  80%                  - seed7-indent-region
         179  80%                   - seed7--indent-one-line
         179  80%                    - seed7-calc-indent
          82  37%                     - seed7--indent-search-boundary
          82  37%                      - seed7--indent-search-boundary-uncached
          81  36%                       - syntax-ppss
          81  36%                          parse-partial-sexp
          31  14%                     - seed7-line-inside-a-block-cached
          31  14%                      - seed7-line-inside-a-block
          20   9%                       - seed7--safe-enclosing-block-bounds
          20   9%                        - seed7--block-end-pos-for
          19   8%                         - seed7-to-block-forward
          16   7%                          - seed7-end-of-defun
          16   7%                           - seed7-top-block-name
          16   7%                            - seed7--to-top
          15   6%                             - seed7-re-search-backward
          11   4%                              - run-with-timer
          11   4%                               - run-at-time
           9   4%                                - timer-activate
           9   4%                                 - timer--activate
           9   4%                                    timer--time-less-p
           2   0%                                - timer-set-time
           2   0%                                   timer--time-setter
           4   1%                              - seed7-inside-comment-p
           4   1%                               - syntax-ppss
           4   1%                                  parse-partial-sexp
           1   0%                             - run-with-timer
           1   0%                              - run-at-time
           1   0%                               - timer-activate
           1   0%                                - timer--activate
           1   0%                                   timer--time-less-p
           2   0%                          - seed7-re-search-forward
           1   0%                           - seed7-inside-string-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           1   0%                          - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
          10   4%                       - seed7-re-search-backward
           4   1%                        - run-with-timer
           4   1%                         - run-at-time
           3   1%                          - timer-activate
           3   1%                           - timer--activate
           3   1%                            - timer--time-less-p
           1   0%                               timer--time
           1   0%                          - timer-set-time
           1   0%                             timer--time-setter
           4   1%                        - seed7-inside-comment-p
           4   1%                         - syntax-ppss
           4   1%                            parse-partial-sexp
           2   0%                          re-search-backward
           1   0%                       - seed7-calc-indent
           1   0%                        - seed7-line-inside-parens-pair-column
           1   0%                         - seed7-line-inside-parens-pair
           1   0%                          - seed7-re-search-backward
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
          30  13%                     - seed7-line-inside-parens-pair-column
          30  13%                      - seed7-line-inside-parens-pair
          30  13%                       - seed7-re-search-backward
          26  11%                        - run-with-timer
          26  11%                         - run-at-time
          21   9%                          - timer-activate
          21   9%                           - timer--activate
          21   9%                              timer--time-less-p
           4   1%                          - timer-set-time
           4   1%                             timer--time-setter
           1   0%                            timer-relative-time
           3   1%                        - seed7-inside-comment-p
           3   1%                         - syntax-ppss
           3   1%                            parse-partial-sexp
           1   0%                          re-search-backward
           8   3%                     - seed7-line-inside-set-definition-block
           8   3%                      - seed7-re-search-backward
           5   2%                       - run-with-timer
           5   2%                        - run-at-time
           4   1%                         - timer-activate
           4   1%                          - timer--activate
           4   1%                             timer--time-less-p
           1   0%                         - timer-set-time
           1   0%                            timer--time-setter
           3   1%                         re-search-backward
           7   3%                     - seed7-comment-column
           7   3%                      - seed7-calc-indent
           2   0%                       - seed7-line-is-defun-end
           2   0%                        - seed7-move-to-line
           2   0%                         - seed7-to-previous-non-empty-line
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           2   0%                       - seed7-line-at-endof-parenthesized-statement
           2   0%                        - seed7-move-to-line
           2   0%                         - seed7-to-previous-non-empty-line
           2   0%                          - seed7-inside-comment-p
           2   0%                           - syntax-ppss
           2   0%                              parse-partial-sexp
           2   0%                       - seed7-line-at-endof-array-definition-block
           2   0%                        - seed7-move-to-line
           2   0%                         - seed7-to-previous-non-empty-line
           2   0%                          - seed7-inside-comment-p
           2   0%                           - syntax-ppss
           2   0%                              parse-partial-sexp
           1   0%                       - seed7-line-inside-parens-pair-column
           1   0%                        - seed7-line-inside-parens-pair
           1   0%                         - seed7-re-search-backward
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           7   3%                     - seed7-line-inside-array-definition-block
           7   3%                      - seed7-re-search-backward
           5   2%                       - run-with-timer
           5   2%                        - run-at-time
           4   1%                         - timer-activate
           4   1%                          - timer--activate
           4   1%                             timer--time-less-p
           1   0%                         - timer-set-time
           1   0%                            timer--time-setter
           1   0%                       - seed7-inside-string-p
           1   0%                        - syntax-ppss
           1   0%                           parse-partial-sexp
           1   0%                         re-search-backward
           6   2%                     - seed7-line-inside-func-return-statement
           6   2%                      - seed7-re-search-backward
           6   2%                       - run-with-timer
           6   2%                        - run-at-time
           4   1%                         - timer-activate
           4   1%                          - timer--activate
           4   1%                             timer--time-less-p
           2   0%                         - timer-set-time
           2   0%                            timer--time-setter
           4   1%                     - seed7-line-inside-assign-statement-continuation
           4   1%                      - seed7-assign-op-pos
           4   1%                       - seed7-re-search-backward
           2   0%                        - run-with-timer
           2   0%                         - run-at-time
           1   0%                          - timer-set-time
           1   0%                             timer--time-setter
           1   0%                          - timer-activate
           1   0%                           - timer--activate
           1   0%                              timer--time-less-p
           2   0%                        - seed7-inside-comment-p
           2   0%                         - syntax-ppss
           2   0%                            parse-partial-sexp
           3   1%                     - seed7-line-inside-argument-list-section
           3   1%                      - seed7-re-search-backward
           2   0%                       - run-with-timer
           2   0%                        - run-at-time
           1   0%                         - timer-activate
           1   0%                          - timer--activate
           1   0%                             timer--time-less-p
           1   0%                         - timer-set-time
           1   0%                            timer--time-setter
           1   0%                       - seed7-inside-comment-p
           1   0%                        - syntax-ppss
           1   0%                           parse-partial-sexp
           1   0%                     - seed7-line-after-func-return-logic-operator-column
           1   0%                      - seed7-move-to-line
           1   0%                       - seed7-to-previous-non-empty-line
           1   0%                        - seed7-inside-comment-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
          10   4%        - seed7-complete-statement-or-indent
          10   4%         - seed7-indent-region
          10   4%          - seed7--indent-one-line
          10   4%           - seed7-calc-indent
           4   1%            - seed7-line-inside-logic-check-expression
           4   1%             - seed7-to-previous-line-starts-with
           4   1%              - seed7-re-search-backward
           4   1%               - run-with-timer
           4   1%                - run-at-time
           4   1%                 - timer-activate
           4   1%                  - timer--activate
           4   1%                     timer--time-less-p
           3   1%            - seed7-line-is-defun-end
           3   1%             - seed7-beg-of-defun
           3   1%              - seed7-re-search-backward
           2   0%               - run-with-timer
           2   0%                - run-at-time
           2   0%                 - timer-set-time
           2   0%                    timer--time-setter
           1   0%               - seed7-inside-comment-p
           1   0%                - syntax-ppss
           1   0%                   parse-partial-sexp
           1   0%            - seed7-line-at-endof-parenthesized-statement
           1   0%             - seed7-line-code-ends-with
           1   0%              - seed7-re-search-backward
           1   0%               - run-with-timer
           1   0%                - run-at-time
           1   0%                 - timer-activate
           1   0%                  - timer--activate
           1   0%                     timer--time-less-p
           1   0%            - seed7-line-at-endof-set-definition-block
           1   0%             - seed7-line-code-ends-with
           1   0%              - seed7-re-search-backward
           1   0%               - run-with-timer
           1   0%                - run-at-time
           1   0%                 - timer-activate
           1   0%                  - timer--activate
           1   0%                     timer--time-less-p
           1   0%            - seed7-line-inside-nested-parens-pairs-column
           1   0%             - seed7-line-inside-nested-parens-pairs
           1   0%              - seed7-line-inside-parens-pair
           1   0%               - seed7-re-search-backward
           1   0%                - run-with-timer
           1   0%                 - run-at-time
           1   0%                  - timer-set-time
           1   0%                     timer--time-setter
          32  14%   Automatic GC
